Simulation,Precision,Recall,F1 Score,Tool
Gut_Medium_Halfnormal,0.027777777777777776,1.0,0.05405405405405406,Earth Virome
Gut_Full_Lognormal,0.040421248257704816,1.0,0.07770169693361119,Earth Virome
Gut_Medium_Lognormal,0.02848224736636754,1.0,0.05538694992412747,Earth Virome
Soil_Medium_Exponential,0.020505309410472353,1.0,0.04018658055256548,Earth Virome
Soil_Medium_Uniform,0.022419928825622777,1.0,0.04385659589279499,Earth Virome
Gut_Full_Uniform,0.03333816495144224,1.0,0.06452517884696311,Earth Virome
Soil_Full_Halfnormal,0.03768198686839851,1.0,0.07262723521320495,Earth Virome
Soil_Medium_Zero,0.027900146842878122,1.0,0.05428571428571429,Earth Virome
Soil_Medium_Lognormal,0.026410564225690276,1.0,0.05146198830409357,Earth Virome
Gut_Medium_Exponential,0.02406015037593985,1.0,0.04698972099853157,Earth Virome
Soil_Low_Halfnormal,0.026915113871635612,1.0,0.05241935483870967,Earth Virome
Soil_Medium_Halfnormal,0.020754064337599448,1.0,0.040664181633344634,Earth Virome
Gut_Full_Halfnormal,0.028128031037827354,1.0,0.05471698113207547,Earth Virome
Gut_Low_Zero,0.04276315789473684,1.0,0.08201892744479494,Earth Virome
Gut_Medium_Zero,0.023946360153256706,1.0,0.04677268475210477,Earth Virome
Gut_Medium_Uniform,0.022109917877447885,1.0,0.043263288009888747,Earth Virome
Soil_Low_Uniform,0.031630170316301706,1.0,0.06132075471698113,Earth Virome
Soil_Low_Lognormal,0.02050473186119874,1.0,0.0401854714064915,Earth Virome
Gut_Low_Exponential,0.05687203791469194,1.0,0.10762331838565023,Earth Virome
Soil_Full_Lognormal,0.04941531497548095,1.0,0.09417685118619697,Earth Virome
Gut_Full_Exponential,0.03625045770779934,1.0,0.06996466431095406,Earth Virome
Gut_Low_Uniform,0.051181102362204724,1.0,0.09737827715355805,Earth Virome
Gut_Low_Halfnormal,0.04868913857677903,1.0,0.09285714285714287,Earth Virome
Soil_Low_Exponential,0.04040404040404041,1.0,0.07766990291262137,Earth Virome
Gut_Full_Zero,0.04127621597501115,1.0,0.07928005142489822,Earth Virome
Soil_Low_Zero,0.02832244008714597,1.0,0.055084745762711856,Earth Virome
Soil_Full_Uniform,0.07848753938699513,1.0,0.1455511288180611,Earth Virome
Soil_Full_Zero,0.048848122866894196,1.0,0.09314622737441529,Earth Virome
Soil_Full_Exponential,0.04087373820949859,1.0,0.07853736089030207,Earth Virome
Gut_Low_Lognormal,0.027600849256900213,1.0,0.05371900826446281,Earth Virome
Soil_Low_Lognormal,0.21428571428571427,0.9230769230769231,0.34782608695652173,Metaphinder
Soil_Full_Lognormal,0.3545197740112994,0.9580152671755725,0.5175257731958763,Metaphinder
Gut_Low_Exponential,0.4782608695652174,0.9166666666666666,0.6285714285714286,Metaphinder
Gut_Medium_Uniform,0.18285714285714286,0.9142857142857143,0.30476190476190473,Metaphinder
Soil_Low_Uniform,0.41379310344827586,0.9230769230769231,0.5714285714285715,Metaphinder
Gut_Low_Uniform,0.46153846153846156,0.9230769230769231,0.6153846153846155,Metaphinder
Soil_Full_Halfnormal,0.2795100222717149,0.9507575757575758,0.4320137693631669,Metaphinder
Soil_Full_Zero,0.3012729844413013,0.9301310043668122,0.4551282051282052,Metaphinder
