Simulation,Precision,Recall,F1 Score,Tool
Gut_Medium_Halfnormal,0.01913199794555727,0.861271676300578,0.03743248335636227,Earth Virome
Gut_Full_Lognormal,0.021618559160305344,0.8182844243792325,0.04212422288071583,Earth Virome
Gut_Medium_Lognormal,0.008449117536612843,0.7964601769911505,0.016720854621458434,Earth Virome
Soil_Medium_Exponential,0.024799210934197548,0.7963800904977375,0.04810057392730254,Earth Virome
Soil_Medium_Uniform,0.021465808034345293,0.9722222222222222,0.04200420042004201,Earth Virome
Gut_Full_Uniform,0.008114876731932608,0.8087520259319287,0.01606852469046354,Earth Virome
Soil_Full_Halfnormal,0.016241213466518682,0.7371956339210747,0.03178223018587899,Earth Virome
Soil_Medium_Zero,0.01138627953316254,0.975609756097561,0.022509848058525607,Earth Virome
Soil_Medium_Lognormal,0.00994105744699569,0.8968253968253969,0.01966414339162969,Earth Virome
Gut_Medium_Exponential,0.021035186129525752,0.8870967741935484,0.04109589041095891,Earth Virome
Soil_Low_Halfnormal,0.025830258302583026,0.9333333333333333,0.05026929982046679,Earth Virome
Soil_Medium_Halfnormal,0.012201321809862735,0.8571428571428571,0.024060150375939848,Earth Virome
Gut_Full_Halfnormal,0.019115563399537648,0.8002081165452654,0.0373391599902889,Earth Virome
Gut_Low_Zero,0.03939393939393939,0.9285714285714286,0.0755813953488372,Earth Virome
Gut_Medium_Zero,0.01552713987473904,0.8439716312056738,0.030493273542600896,Earth Virome
Gut_Medium_Uniform,0.02189578713968958,0.9518072289156626,0.0428068274180439,Earth Virome
Soil_Low_Uniform,0.028384279475982533,1.0,0.055201698513800426,Earth Virome
Soil_Low_Lognormal,0.011636927851047323,0.9375,0.022988505747126433,Earth Virome
Gut_Low_Exponential,0.05309734513274336,1.0,0.10084033613445377,Earth Virome
Soil_Full_Lognormal,0.02653735736170418,0.7801418439716312,0.051328713749095915,Earth Virome
Gut_Full_Exponential,0.024054642645020788,0.8209459459459459,0.0467397576457011,Earth Virome
Gut_Low_Uniform,0.047619047619047616,1.0,0.0909090909090909,Earth Virome
Gut_Low_Halfnormal,0.045774647887323945,1.0,0.08754208754208755,Earth Virome
Soil_Low_Exponential,0.03625377643504532,0.9230769230769231,0.06976744186046513,Earth Virome
Gut_Full_Zero,0.023894479413061782,0.7842105263157895,0.04637590942691515,Earth Virome
Soil_Low_Zero,0.010220125786163521,0.9285714285714286,0.02021772939346812,Earth Virome
Soil_Full_Uniform,0.011326143694292608,0.7198748043818466,0.022301408382420673,Earth Virome
Soil_Full_Zero,0.021924195196060457,0.7303664921465969,0.04257050581084862,Earth Virome
Soil_Full_Exponential,0.024614132784092354,0.7457627118644068,0.04765538461538461,Earth Virome
Gut_Low_Lognormal,0.023381294964028777,0.9285714285714286,0.0456140350877193,Earth Virome
Soil_Low_Lognormal,0.0319634703196347,0.9333333333333333,0.06181015452538631,Metaphinder
