Simulation,Precision,Recall,F1 Score,Tool
Gut_Medium_Halfnormal,0.005079447772857515,0.6964285714285714,0.01008533747090768,Earth Virome
Gut_Full_Lognormal,0.0064799394398183194,0.740484429065744,0.012847451521882693,Earth Virome
Gut_Medium_Lognormal,0.0028323262839879152,0.5660377358490566,0.005636449037106623,Earth Virome
Soil_Medium_Exponential,0.0057463008188478664,0.7843137254901961,0.011409013120365089,Earth Virome
Soil_Medium_Uniform,0.003746487667811427,0.9230769230769231,0.00746268656716418,Earth Virome
Gut_Full_Uniform,0.005170445278094927,0.7337962962962963,0.010268536814486086,Earth Virome
Soil_Full_Halfnormal,0.005479195885928004,0.5689320388349515,0.010853861826264122,Earth Virome
Soil_Medium_Zero,0.003586286042174724,0.9615384615384616,0.007145919679862799,Earth Virome
Soil_Medium_Lognormal,0.004335132265770149,0.8032786885245902,0.008623724040830692,Earth Virome
Gut_Medium_Exponential,0.006597671410090556,0.8095238095238095,0.013088669318619274,Earth Virome
Soil_Low_Halfnormal,0.001890359168241966,1.0,0.0037735849056603774,Earth Virome
Soil_Medium_Halfnormal,0.0028226841159866563,0.8148148148148148,0.005625879043600562,Earth Virome
Gut_Full_Halfnormal,0.0054440971872164534,0.7081967213114754,0.010805132437908007,Earth Virome
Gut_Low_Zero,0.0031446540880503146,1.0,0.006269592476489028,Earth Virome
Gut_Medium_Zero,0.006714060031595577,0.7285714285714285,0.013305504826506654,Earth Virome
Gut_Medium_Uniform,0.007592800899887514,0.8709677419354839,0.015054362977418455,Earth Virome
Soil_Low_Uniform,0.002242152466367713,1.0,0.00447427293064877,Earth Virome
Soil_Low_Lognormal,0.000784313725490196,1.0,0.001567398119122257,Earth Virome
Gut_Low_Exponential,0.004651162790697674,1.0,0.009259259259259259,Earth Virome
Soil_Full_Lognormal,0.007819223487176966,0.6162790697674418,0.015442515478936505,Earth Virome
Gut_Full_Exponential,0.005447392313124181,0.7297297297297297,0.010814058275758487,Earth Virome
Gut_Low_Uniform,0.0038314176245210726,1.0,0.007633587786259542,Earth Virome
Gut_Low_Halfnormal,0.003676470588235294,1.0,0.007326007326007326,Earth Virome
Soil_Low_Exponential,0.003125,1.0,0.006230529595015576,Earth Virome
Gut_Full_Zero,0.008107227246801922,0.6815068493150684,0.01602383444721797,Earth Virome
Soil_Low_Zero,0.0007936507936507937,1.0,0.0015860428231562252,Earth Virome
Soil_Full_Uniform,0.007685654269121463,0.6372950819672131,0.0151881425048226,Earth Virome
Soil_Full_Zero,0.00839175695772254,0.5776965265082267,0.0165432034133445,Earth Virome
Soil_Full_Exponential,0.008503928866832093,0.6126629422718808,0.016775015933715744,Earth Virome
Gut_Low_Lognormal,0.001838235294117647,1.0,0.0036697247706422016,Earth Virome
Soil_Low_Lognormal,0.0,0.0,0.0,Metaphinder
Soil_Full_Lognormal,0.008924362882192125,0.5503875968992248,0.017563932094375213,Metaphinder
Gut_Low_Exponential,0.03333333333333333,1.0,0.06451612903225806,Metaphinder
Gut_Medium_Uniform,0.03143712574850299,0.6774193548387096,0.06008583690987124,Metaphinder
Soil_Low_Uniform,0.0,0.0,0.0,Metaphinder
Gut_Low_Uniform,0.029411764705882353,1.0,0.05714285714285715,Metaphinder
Soil_Full_Halfnormal,0.0068841970569417784,0.5223300970873787,0.013589290224804245,Metaphinder
Soil_Full_Zero,0.007866742155606544,0.4826325411334552,0.015481147012255909,Metaphinder
Gut_Low_Halfnormal,0.02857142857142857,1.0,0.05555555555555556,Metaphinder
Gut_Full_Uniform,0.004273655211386995,0.5601851851851852,0.00848259665603421,Metaphinder
Soil_Low_Exponential,0.0,0.0,0.0,Metaphinder
Gut_Low_Lognormal,0.00909090909090909,1.0,0.018018018018018018,Metaphinder
Soil_Low_Zero,0.0,0.0,0.0,Metaphinder
Gut_Full_Lognormal,0.005236907730673317,0.5086505190311419,0.010367079234105576,Metaphinder
Soil_Full_Exponential,0.00980297933685728,0.5698324022346368,0.019274376417233563,Metaphinder
Gut_Medium_Lognormal,0.0022982165839308694,0.4716981132075472,0.004574146921599121,Metaphinder
Soil_Medium_Exponential,0.00857775318206973,0.6078431372549019,0.016916780354706687,Metaphinder
Gut_Medium_Halfnormal,0.005049625631203204,0.5178571428571429,0.010001724435247454,Metaphinder
Gut_Full_Halfnormal,0.004755909917470975,0.5573770491803278,0.00943134535367545,Metaphinder
