seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Bacteria_NZ_CP053841_16_length_2815_cov_64.026087||full	0.987	0.873	0.987	dsDNAphage	2379	0	100.000	0.000
Bacteria_NZ_LR824569_4_length_504369_cov_23.472462||0_partial	0.920	0.007	0.920	dsDNAphage	18096	4	29.200	16.700
Bacteria_NZ_LR824569_4_length_504369_cov_23.472462||1_partial	0.960	0.080	0.960	dsDNAphage	15082	1	41.200	17.600
Phage_NC_048650_1_length_112357_cov_110.500045||full	1.000	0.027	1.000	dsDNAphage	112302	8	33.000	2.800
Bacteria_NZ_CP040586_2_length_291893_cov_136.380780||0_partial	0.960	0.000	0.960	dsDNAphage	86614	15	33.600	19.600
Bacteria_NZ_CP040586_30_length_14110_cov_144.739879||full	0.633	0.087	0.633	dsDNAphage	13463	0	75.000	12.500
Prophage_NZ_CP045702_20_length_138240_cov_10.172349||0_partial	0.953	0.013	0.953	dsDNAphage	62666	8	48.700	18.400
Bacteria_NZ_CP045702_25_length_122012_cov_9.723927||full	0.860	0.000	0.860	dsDNAphage	114362	12	40.000	18.000
Bacteria_NZ_CP045702_31_length_80786_cov_9.855012||0_partial	0.780	0.000	0.780	dsDNAphage	38745	4	19.400	27.800
Bacteria_NZ_CP053841_1_length_418028_cov_45.516471||0_partial	0.973	0.000	0.973	dsDNAphage	16952	4	46.200	11.500
Bacteria_NZ_CP053841_2_length_392622_cov_45.678587||0_partial	0.813	0.000	0.813	dsDNAphage	15312	3	15.400	38.500
Bacteria_NZ_CP053841_8_length_83757_cov_47.014647||0_partial	0.953	0.000	0.953	dsDNAphage	25801	7	43.300	26.700
Bacteria_NZ_CP053929_2_length_585458_cov_13.815122||0_partial	0.953	0.013	0.953	dsDNAphage	34045	12	43.800	31.200
Bacteria_NZ_CP053929_19_length_120917_cov_13.764798||0_partial	0.920	0.007	0.920	dsDNAphage	12735	1	10.300	17.200
Bacteria_NZ_CP054920_6_length_174748_cov_6.674915||0_partial	0.927	0.000	0.927	dsDNAphage	21213	4	30.300	6.100
Bacteria_NZ_CP054920_15_length_121522_cov_6.534944||0_partial	0.840	0.000	0.840	dsDNAphage	18590	4	25.000	25.000
Bacteria_NZ_CP054920_121_length_16011_cov_5.641765||0_partial	0.713	0.000	0.713	dsDNAphage	11968	1	5.600	16.700
Bacteria_NZ_CP058259_132_length_5953_cov_4.676670||full	0.500	0.020	0.500	dsDNAphage	5568	0	75.000	25.000
Bacteria_NZ_CP059603_2_length_339670_cov_389.888288||0_partial	0.973	0.000	0.973	dsDNAphage	34949	5	40.500	19.000
Bacteria_NZ_CP059603_14_length_42650_cov_360.672332||full	0.980	0.000	0.980	dsDNAphage	41644	6	46.000	4.800
Bacteria_NZ_CP059603_19_length_4854_cov_726.631590||full	0.907	0.593	0.907	dsDNAphage	4198	0	80.000	0.000
Bacteria_NZ_CP060192_2_length_551371_cov_52.065868||0_partial	0.953	0.000	0.953	dsDNAphage	86277	13	32.400	31.500
Bacteria_NZ_CP060192_4_length_420858_cov_53.955637||0_partial	0.893	0.000	0.893	dsDNAphage	25301	6	40.600	40.600
Bacteria_NZ_CP060192_5_length_381495_cov_51.638929||0_partial	0.727	0.000	0.727	dsDNAphage	11382	1	23.500	52.900
Bacteria_NZ_CP060192_7_length_259995_cov_51.577287||0_partial	0.940	0.000	0.940	dsDNAphage	85255	14	31.100	20.200
Bacteria_NZ_CP060192_7_length_259995_cov_51.577287||1_partial	0.967	0.007	0.967	dsDNAphage	16802	3	42.300	30.800
Bacteria_NZ_CP060192_8_length_227087_cov_52.651093||full	0.713	0.000	0.713	dsDNAphage	226837	12	18.200	31.600
Bacteria_NZ_CP060192_9_length_199846_cov_51.351998||0_partial	0.767	0.000	0.767	dsDNAphage	15671	1	28.600	38.100
Bacteria_NZ_CP060192_10_length_154694_cov_50.865778||0_partial	0.820	0.000	0.820	dsDNAphage	17196	1	29.200	20.800
Bacteria_NZ_LR824569_1_length_1075728_cov_23.640111||0_partial	0.960	0.013	0.960	dsDNAphage	80929	6	31.900	11.800
Bacteria_NZ_LR824569_3_length_587334_cov_23.623666||0_partial	0.847	0.000	0.847	dsDNAphage	20422	1	16.000	20.000
Phage_NC_047764_1_length_73778_cov_154.863774||full	1.000	0.080	1.000	dsDNAphage	71905	9	52.100	2.000
Phage_NC_048099_1_length_38314_cov_1305.836849||full	0.993	0.040	0.993	dsDNAphage	38144	8	39.700	2.900
Phage_NC_048166_1_length_88402_cov_1362.758022||full	1.000	0.067	1.000	dsDNAphage	88337	11	30.500	0.000
Phage_NC_048639_1_length_42159_cov_1522.446751||full	1.000	0.007	1.000	dsDNAphage	41966	6	65.700	5.700
Phage_NC_048639_2_length_14251_cov_1469.130882||full	0.973	0.387	0.973	dsDNAphage	14030	0	48.000	0.000
Phage_NC_048639_3_length_11572_cov_1525.872449||full	0.980	0.233	0.980	dsDNAphage	11570	0	43.500	0.000
Phage_NC_048698_1_length_41807_cov_172.363767||full	1.000	0.207	1.000	dsDNAphage	41671	12	75.900	0.000
