ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Bacteria_NZ_AP023239_111_length_8764_cov_4_210013,1,Viruses,Bacteria,8764
VIRSorter_Bacteria_NZ_CP043571_1051_length_1621_cov_2_512771,1,Viruses,Bacteria,1621
VIRSorter_Bacteria_NZ_CP043571_207_length_5728_cov_3_312181,1,Viruses,Bacteria,5728
VIRSorter_Bacteria_NZ_CP043571_355_length_4339_cov_2_829832,1,Viruses,Bacteria,4339
VIRSorter_Bacteria_NZ_CP043571_933_length_1890_cov_3_510082,1,Viruses,Bacteria,1890
VIRSorter_Bacteria_NZ_CP043571_93_length_7680_cov_2_639475,1,Viruses,Bacteria,7680
VIRSorter_Bacteria_NZ_CP045492_235_length_2272_cov_3_097429,1,Viruses,Bacteria,2272
VIRSorter_Bacteria_NZ_CP045554_28_length_4261_cov_2_671184,1,Viruses,Bacteria,4261
VIRSorter_Bacteria_NZ_CP045554_60_length_3570_cov_2_825320,1,Viruses,Bacteria,3570
VIRSorter_Bacteria_NZ_CP045702_203_length_4428_cov_3_777270,1,Viruses,Bacteria,4428
VIRSorter_Bacteria_NZ_CP045702_612_length_2875_cov_2_896099,1,Viruses,Bacteria,2875
VIRSorter_Bacteria_NZ_CP048659_118_length_4579_cov_2_706454,1,Viruses,Bacteria,4579
VIRSorter_Bacteria_NZ_CP048659_166_length_4020_cov_7_187390,1,Viruses,Bacteria,4020
VIRSorter_Bacteria_NZ_CP048659_704_length_1693_cov_1_592796,1,Viruses,Bacteria,1693
VIRSorter_Bacteria_NZ_CP048659_97_length_4899_cov_2_836912,1,Viruses,Bacteria,4899
VIRSorter_Bacteria_NZ_CP050296_619_length_3769_cov_3_313409,1,Viruses,Bacteria,3769
VIRSorter_Bacteria_NZ_CP050308_9_length_3332_cov_1_892280,1,Viruses,Bacteria,3332
VIRSorter_Bacteria_NZ_CP051189_335_length_2129_cov_1_657184,1,Viruses,Bacteria,2129
VIRSorter_Bacteria_NZ_CP051857_250_length_5235_cov_3_055985,1,Viruses,Bacteria,5235
VIRSorter_Bacteria_NZ_CP051857_325_length_4566_cov_3_431168,1,Viruses,Bacteria,4566
VIRSorter_Bacteria_NZ_CP053015_59_length_7719_cov_5_606733,1,Viruses,Bacteria,7719
VIRSorter_Bacteria_NZ_CP053222_191_length_3629_cov_2_522384,1,Viruses,Bacteria,3629
VIRSorter_Bacteria_NZ_CP053222_367_length_2649_cov_3_429453,1,Viruses,Bacteria,2649
VIRSorter_Bacteria_NZ_CP053222_82_length_4820_cov_3_274921,1,Viruses,Bacteria,4820
VIRSorter_Bacteria_NZ_CP053573_153_length_12021_cov_4_240264,1,Viruses,Bacteria,12021
VIRSorter_Bacteria_NZ_CP053573_274_length_4940_cov_4_425793,1,Viruses,Bacteria,4940
VIRSorter_Bacteria_NZ_CP053573_64_length_20675_cov_4_491610,1,Viruses,Bacteria,20675
VIRSorter_Bacteria_NZ_CP053609_241_length_4666_cov_3_189980,1,Viruses,Bacteria,4666
VIRSorter_Bacteria_NZ_CP053609_257_length_4366_cov_3_647414,1,Viruses,Bacteria,4366
VIRSorter_Bacteria_NZ_CP053609_308_length_3636_cov_3_216420,1,Viruses,Bacteria,3636
VIRSorter_Bacteria_NZ_CP054027_69_length_9049_cov_5_866355,1,Viruses,Bacteria,9049
VIRSorter_Bacteria_NZ_CP054205_442_length_2486_cov_3_071575,1,Viruses,Bacteria,2486
VIRSorter_Bacteria_NZ_CP054205_47_length_5474_cov_2_669312,1,Viruses,Bacteria,5474
VIRSorter_Bacteria_NZ_CP054614_4_length_35334_cov_8_694266,1,Viruses,Bacteria,35334
VIRSorter_Bacteria_NZ_CP054931_81_length_11412_cov_3_947962,1,Viruses,Bacteria,11412
VIRSorter_Bacteria_NZ_CP056030_919_length_1791_cov_2_251152,1,Viruses,Bacteria,1791
VIRSorter_Bacteria_NZ_CP056180_145_length_1593_cov_1_676203,1,Viruses,Bacteria,1593
VIRSorter_Bacteria_NZ_CP056200_100_length_1958_cov_2_620599,1,Viruses,Bacteria,1958
VIRSorter_Bacteria_NZ_CP056219_189_length_4009_cov_3_532625,1,Viruses,Bacteria,4009
VIRSorter_Bacteria_NZ_CP056219_341_length_3148_cov_2_775946,1,Viruses,Bacteria,3148
VIRSorter_Bacteria_NZ_CP056219_664_length_2180_cov_2_735059,1,Viruses,Bacteria,2180
VIRSorter_Bacteria_NZ_CP056219_82_length_5161_cov_2_836859,1,Viruses,Bacteria,5161
VIRSorter_Bacteria_NZ_CP056219_967_length_1593_cov_3_141743,1,Viruses,Bacteria,1593
VIRSorter_Bacteria_NZ_CP056267_111_length_3905_cov_3_517143,1,Viruses,Bacteria,3905
VIRSorter_Bacteria_NZ_CP056267_299_length_2809_cov_3_031227,1,Viruses,Bacteria,2809
VIRSorter_Bacteria_NZ_CP056267_399_length_2498_cov_2_519034,1,Viruses,Bacteria,2498
VIRSorter_Bacteria_NZ_CP056267_69_length_4510_cov_2_983838,1,Viruses,Bacteria,4510
VIRSorter_Bacteria_NZ_CP056267_707_length_1845_cov_3_022346,1,Viruses,Bacteria,1845
VIRSorter_Bacteria_NZ_CP056284_51_length_1115_cov_1_365094,1,Viruses,Bacteria,1115
VIRSorter_Bacteria_NZ_CP056381_273_length_5391_cov_3_760870,1,Viruses,Bacteria,5391
VIRSorter_Bacteria_NZ_CP056381_276_length_5329_cov_2_862344,1,Viruses,Bacteria,5329
VIRSorter_Bacteria_NZ_CP056381_294_length_5216_cov_3_473358,1,Viruses,Bacteria,5216
VIRSorter_Bacteria_NZ_CP056381_404_length_4010_cov_3_120860,1,Viruses,Bacteria,4010
VIRSorter_Bacteria_NZ_CP056381_800_length_1681_cov_3_279213,1,Viruses,Bacteria,1681
VIRSorter_Bacteria_NZ_CP056546_204_length_1397_cov_1_421759,1,Viruses,Bacteria,1397
VIRSorter_Bacteria_NZ_CP056546_235_length_1315_cov_1_311111,1,Viruses,Bacteria,1315
VIRSorter_Bacteria_NZ_CP056546_64_length_1908_cov_2_470049,1,Viruses,Bacteria,1908
VIRSorter_Bacteria_NZ_CP056834_28_length_4343_cov_2_669776,1,Viruses,Bacteria,4343
VIRSorter_Bacteria_NZ_CP056861_1091_length_1190_cov_1_688987,1,Viruses,Bacteria,1190
VIRSorter_Bacteria_NZ_CP056861_155_length_3404_cov_3_478053,1,Viruses,Bacteria,3404
VIRSorter_Bacteria_NZ_CP056861_20_length_5719_cov_2_166843,1,Viruses,Bacteria,5719
VIRSorter_Bacteria_NZ_CP056861_34_length_5194_cov_3_235454,1,Viruses,Bacteria,5194
VIRSorter_Bacteria_NZ_CP056861_351_length_2479_cov_2_330033,1,Viruses,Bacteria,2479
VIRSorter_Bacteria_NZ_CP056861_360_length_2451_cov_3_727462,1,Viruses,Bacteria,2451
VIRSorter_Bacteria_NZ_CP056861_575_length_1930_cov_3_047467,1,Viruses,Bacteria,1930
VIRSorter_Bacteria_NZ_CP056861_712_length_1681_cov_1_585486,1,Viruses,Bacteria,1681
VIRSorter_Bacteria_NZ_CP056861_734_length_1660_cov_2_226791,1,Viruses,Bacteria,1660
