ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Phage_NC_047747_1_length_40338_cov_1325_342676-circular,1,Viruses,Phage,40338
VIRSorter_Phage_NC_048168_1_length_43444_cov_335_194104,1,Viruses,Phage,43444
VIRSorter_Phage_NC_048675_1_length_66173_cov_74_350434,1,Viruses,Phage,66173
VIRSorter_Bacteria_NZ_CP041372_28_length_47196_cov_162_275514,2,Viruses,Bacteria,47196
VIRSorter_Bacteria_NZ_CP041372_30_length_31635_cov_324_197150,2,Viruses,Bacteria,31635
VIRSorter_Bacteria_NZ_CP053109_95_length_28541_cov_7_318507,2,Viruses,Bacteria,28541
VIRSorter_Bacteria_NZ_LR824639_526_length_3072_cov_3_349022,2,Viruses,Bacteria,3072
VIRSorter_Phage_NC_047933_1_length_43183_cov_579_332429,2,Viruses,Phage,43183
VIRSorter_Phage_NC_047954_1_length_46602_cov_22_617054,2,Viruses,Phage,46602
VIRSorter_Phage_NC_048639_1_length_41548_cov_81_577736,2,Viruses,Phage,41548
VIRSorter_Phage_NC_048639_2_length_14237_cov_78_997038,2,Viruses,Phage,14237
VIRSorter_Phage_NC_048639_3_length_11572_cov_81_240080,2,Viruses,Phage,11572
VIRSorter_Phage_NC_048641_1_length_40095_cov_148_210589,2,Viruses,Phage,40095
VIRSorter_Phage_NC_048641_2_length_1275_cov_163_892623,2,Viruses,Phage,1275
VIRSorter_Phage_NC_048706_1_length_45935_cov_1312_615606-circular,2,Viruses,Phage,45935
VIRSorter_Phage_NC_049456_1_length_75471_cov_108_633022-circular,2,Viruses,Phage,75471
VIRSorter_Phage_NC_049976_1_length_18746_cov_192_392435,2,Viruses,Phage,18746
