ID,True_Label,Contig_Length,Assigned_TaxID,Predicted_Label
Bacteria_NZ_CP030047_1_length_1524315_cov_32.542514,Bacteria,1524315,2057741,Bacteria
Bacteria_NZ_CP030047_2_length_1237435_cov_32.733700,Bacteria,1237435,2057741,Bacteria
Bacteria_NZ_CP030047_3_length_951071_cov_32.735634,Bacteria,951071,2057741,Bacteria
Bacteria_NZ_CP030047_4_length_843164_cov_32.007915,Bacteria,843164,2057741,Bacteria
Bacteria_NZ_CP030047_5_length_717793_cov_33.074667,Bacteria,717793,2057741,Bacteria
Bacteria_NZ_CP030047_6_length_516595_cov_31.958572,Bacteria,516595,2057741,Bacteria
Bacteria_NZ_CP030047_7_length_445074_cov_32.355908,Bacteria,445074,2057741,Bacteria
Bacteria_NZ_CP030047_8_length_363389_cov_32.173386,Bacteria,363389,2057741,Bacteria
Bacteria_NZ_CP030047_9_length_352219_cov_32.742833,Bacteria,352219,2057741,Bacteria
Bacteria_NZ_CP030047_10_length_342938_cov_32.194130,Bacteria,342938,2057741,Bacteria
Bacteria_NZ_CP030047_11_length_286447_cov_32.653475,Bacteria,286447,2057741,Bacteria
Bacteria_NZ_CP030047_13_length_249429_cov_33.638242,Bacteria,249429,2057741,Bacteria
Bacteria_NZ_CP030047_14_length_215781_cov_31.959898,Bacteria,215781,2057741,Bacteria
Bacteria_NZ_CP030047_16_length_178605_cov_32.157424,Bacteria,178605,2057741,Bacteria
Bacteria_NZ_CP030047_19_length_106411_cov_31.591024,Bacteria,106411,2057741,Bacteria
Bacteria_NZ_CP030047_21_length_51723_cov_32.612720,Bacteria,51723,2057741,Bacteria
Bacteria_NZ_CP030047_22_length_47525_cov_32.667601,Bacteria,47525,2057741,Bacteria
Bacteria_NZ_CP030047_23_length_3179_cov_65.352433,Bacteria,3179,2057741,Bacteria
Bacteria_NZ_CP030047_12_length_261759_cov_32.324344,Bacteria,261759,1274631,Bacteria
Bacteria_NZ_CP030047_15_length_185499_cov_33.012311,Bacteria,185499,1355477,Bacteria
Bacteria_NZ_CP030047_17_length_136781_cov_32.610330,Bacteria,136781,1355477,Bacteria
Bacteria_NZ_CP030047_20_length_91941_cov_31.176719,Bacteria,91941,1355477,Bacteria
Bacteria_NZ_CP030047_18_length_119584_cov_32.746313,Bacteria,119584,224911,Bacteria
Bacteria_NZ_CP030047_24_length_2751_cov_97.200668,Bacteria,2751,288000,Bacteria
Bacteria_NZ_CP030047_25_length_1666_cov_64.721291,Bacteria,1666,2018025,Bacteria
Bacteria_NZ_CP040094_1_length_247159_cov_17.324879,Bacteria,247159,63737,Bacteria
Bacteria_NZ_CP040094_2_length_215264_cov_14.529978,Bacteria,215264,63737,Bacteria
