ID,Predicted_Label,Contig_Length,True_Label
Bacteria_NZ_CP030047_1_length_2524254_cov_60.377954,negative,2524254,Bacteria
Bacteria_NZ_CP030047_2_length_2042484_cov_60.619525,negative,2042484,Bacteria
Bacteria_NZ_CP030047_3_length_1471167_cov_60.955068,negative,1471167,Bacteria
Bacteria_NZ_CP030047_4_length_843779_cov_58.976849,negative,843779,Bacteria
Bacteria_NZ_CP030047_5_length_716767_cov_60.556955,negative,716767,Bacteria
Bacteria_NZ_CP030047_6_length_516603_cov_58.773793,negative,516603,Bacteria
Bacteria_NZ_CP030047_7_length_286303_cov_59.550799,negative,286303,Bacteria
Bacteria_NZ_CP030047_8_length_261759_cov_58.898015,negative,261759,Bacteria
Bacteria_NZ_CP030047_9_length_215781_cov_58.828634,negative,215781,Bacteria
Bacteria_NZ_CP030047_10_length_136781_cov_59.169990,negative,136781,Bacteria
Bacteria_NZ_CP030047_11_length_91941_cov_58.124078,negative,91941,Bacteria
Bacteria_NZ_CP030047_12_length_74797_cov_60.139881,negative,74797,Bacteria
Bacteria_NZ_CP030047_13_length_51723_cov_60.069482,negative,51723,Bacteria
Bacteria_NZ_CP030047_14_length_2751_cov_182.057493,phage,2751,Bacteria
Bacteria_NZ_CP030047_15_length_1637_cov_114.674463,negative,1637,Bacteria
Bacteria_NZ_CP040094_1_length_247320_cov_12.067470,negative,247320,Bacteria
Bacteria_NZ_CP040094_2_length_215264_cov_10.070954,negative,215264,Bacteria
Bacteria_NZ_CP040094_3_length_177917_cov_9.464264,negative,177917,Bacteria
Bacteria_NZ_CP040094_4_length_162173_cov_9.496965,negative,162173,Bacteria
Bacteria_NZ_CP040094_5_length_157950_cov_9.330498,negative,157950,Bacteria
Bacteria_NZ_CP040094_6_length_148978_cov_9.749689,negative,148978,Bacteria
Bacteria_NZ_CP040094_7_length_137210_cov_9.297342,negative,137210,Bacteria
Bacteria_NZ_CP040094_8_length_128041_cov_9.517142,negative,128041,Bacteria
Bacteria_NZ_CP040094_9_length_126963_cov_9.335314,negative,126963,Bacteria
Bacteria_NZ_CP040094_10_length_108192_cov_9.334964,negative,108192,Bacteria
Bacteria_NZ_CP040094_11_length_107884_cov_12.659795,negative,107884,Bacteria
Bacteria_NZ_CP040094_12_length_106336_cov_9.571748,negative,106336,Bacteria
Bacteria_NZ_CP040094_13_length_102754_cov_9.880973,negative,102754,Bacteria
Bacteria_NZ_CP040094_14_length_101576_cov_9.247988,negative,101576,Bacteria
Bacteria_NZ_CP040094_15_length_101360_cov_9.213020,negative,101360,Bacteria
Bacteria_NZ_CP040094_16_length_94797_cov_9.461369,negative,94797,Bacteria
Bacteria_NZ_CP040094_17_length_92860_cov_12.454372,negative,92860,Bacteria
Bacteria_NZ_CP040094_18_length_88711_cov_9.309624,negative,88711,Bacteria
Bacteria_NZ_CP040094_19_length_88327_cov_9.362403,negative,88327,Bacteria
Bacteria_NZ_CP040094_20_length_87170_cov_9.520852,negative,87170,Bacteria
Bacteria_NZ_CP040094_21_length_86813_cov_9.184559,negative,86813,Bacteria
Bacteria_NZ_CP040094_22_length_85655_cov_9.181729,negative,85655,Bacteria
Bacteria_NZ_CP040094_23_length_82255_cov_9.614051,negative,82255,Bacteria
Bacteria_NZ_CP040094_24_length_81709_cov_9.527372,negative,81709,Bacteria
Bacteria_NZ_CP040094_25_length_80762_cov_9.084255,negative,80762,Bacteria
Bacteria_NZ_CP040094_26_length_78721_cov_10.033127,negative,78721,Bacteria
Bacteria_NZ_CP040094_27_length_78688_cov_14.464093,negative,78688,Bacteria
Bacteria_NZ_CP040094_28_length_75994_cov_9.530360,negative,75994,Bacteria
Bacteria_NZ_CP040094_29_length_75347_cov_9.682463,negative,75347,Bacteria
Bacteria_NZ_CP040094_30_length_75335_cov_9.388802,negative,75335,Bacteria
Bacteria_NZ_CP040094_31_length_73966_cov_8.804075,negative,73966,Bacteria
Bacteria_NZ_CP040094_32_length_71575_cov_9.924427,negative,71575,Bacteria
Bacteria_NZ_CP040094_33_length_70762_cov_9.615498,negative,70762,Bacteria
Bacteria_NZ_CP040094_34_length_70372_cov_9.234339,negative,70372,Bacteria
Bacteria_NZ_CP040094_35_length_69435_cov_9.239983,negative,69435,Bacteria
