"","name","length","score","pvalue"
"1","Bacteria_NZ_AP023239_1_length_123260_cov_5.664543",123260,0.0139768101534393,0.674993936454038
"2","Bacteria_NZ_AP023239_2_length_83250_cov_5.647479",83250,0.0117908508884556,0.700460829493088
"3","Bacteria_NZ_AP023239_3_length_73209_cov_5.376657",73209,0.0458954845770642,0.46701430996847
"4","Bacteria_NZ_AP023239_4_length_67195_cov_5.162452",67195,0.0132228461797865,0.68251273344652
"5","Bacteria_NZ_AP023239_5_length_64651_cov_5.696220",64651,0.0134850402965318,0.67948096046568
"6","Bacteria_NZ_AP023239_6_length_60373_cov_6.052041",60373,0.0159964339035581,0.652801358234295
"7","Bacteria_NZ_AP023239_7_length_59072_cov_6.359422",59072,0.0220914914363415,0.599199611933058
"8","Bacteria_NZ_AP023239_8_length_55406_cov_5.648986",55406,0.0149189528892203,0.665656075673054
"9","Bacteria_NZ_AP023239_9_length_54456_cov_5.605265",54456,0.0270559722889858,0.564516129032258
"10","Bacteria_NZ_AP023239_10_length_53966_cov_5.781380",53966,0.123057073656438,0.300873150618482
"11","Bacteria_NZ_AP023239_11_length_52480_cov_5.628307",52480,0.0160759298682662,0.65158864904196
"12","Bacteria_NZ_AP023239_12_length_51707_cov_5.581972",51707,0.0697099734671238,0.395707009459132
"13","Bacteria_NZ_AP023239_13_length_51197_cov_5.896328",51197,0.027564533050764,0.561241814212952
"14","Bacteria_NZ_AP023239_14_length_50448_cov_5.557339",50448,0.00583971402895728,0.798205190395343
"15","Bacteria_NZ_AP023239_15_length_50193_cov_5.409430",50193,0.0192671199833619,0.62236235750667
"16","Bacteria_NZ_AP023239_16_length_47708_cov_5.545359",47708,0.0314221122557427,0.535774921173902
"17","Bacteria_NZ_AP023239_17_length_46858_cov_6.210093",46858,0.00756841932649395,0.764613145767645
"18","Bacteria_NZ_AP023239_18_length_45944_cov_5.625488",45944,0.0646515664828861,0.406621392190153
"19","Bacteria_NZ_AP023239_19_length_45703_cov_5.699834",45703,0.0289782833193225,0.550084889643463
"20","Bacteria_NZ_AP023239_20_length_45594_cov_6.019610",45594,0.0304479911412925,0.542081008974048
"21","Bacteria_NZ_AP023239_21_length_45186_cov_5.668986",45186,0.0276216538428146,0.560878001455251
"22","Bacteria_NZ_AP023239_22_length_44895_cov_5.810169",44895,0.0123551626979268,0.693184574339074
