ID,True_Label,Contig_Length,Assigned_TaxID,Predicted_Label
Bacteria_NZ_AP023239_1_length_301536_cov_10.753729,Bacteria,301536,1268072,Bacteria
Bacteria_NZ_AP023239_2_length_275099_cov_10.026530,Bacteria,275099,1268072,Bacteria
Bacteria_NZ_AP023239_3_length_268959_cov_10.146205,Bacteria,268959,1268072,Bacteria
Bacteria_NZ_AP023239_4_length_238762_cov_9.841793,Bacteria,238762,1268072,Bacteria
Bacteria_NZ_AP023239_5_length_190046_cov_9.931118,Bacteria,190046,1268072,Bacteria
Bacteria_NZ_AP023239_7_length_154121_cov_10.425649,Bacteria,154121,1268072,Bacteria
Bacteria_NZ_AP023239_8_length_146804_cov_10.062297,Bacteria,146804,1268072,Bacteria
Bacteria_NZ_AP023239_9_length_145242_cov_10.170773,Bacteria,145242,1268072,Bacteria
Bacteria_NZ_AP023239_10_length_145126_cov_9.796079,Bacteria,145126,1268072,Bacteria
Bacteria_NZ_AP023239_11_length_140226_cov_9.852402,Bacteria,140226,1268072,Bacteria
Bacteria_NZ_AP023239_12_length_139823_cov_11.276973,Bacteria,139823,1268072,Bacteria
Bacteria_NZ_AP023239_14_length_130902_cov_10.120706,Bacteria,130902,1268072,Bacteria
Bacteria_NZ_AP023239_15_length_117070_cov_9.469154,Bacteria,117070,1268072,Bacteria
Bacteria_NZ_AP023239_16_length_114964_cov_10.276393,Bacteria,114964,1268072,Bacteria
Bacteria_NZ_AP023239_17_length_112819_cov_10.310356,Bacteria,112819,1268072,Bacteria
Bacteria_NZ_AP023239_18_length_101886_cov_9.883326,Bacteria,101886,1268072,Bacteria
Bacteria_NZ_AP023239_19_length_98834_cov_9.595380,Bacteria,98834,1268072,Bacteria
Bacteria_NZ_AP023239_20_length_95816_cov_9.672988,Bacteria,95816,1268072,Bacteria
Bacteria_NZ_AP023239_21_length_92362_cov_9.583098,Bacteria,92362,1268072,Bacteria
Bacteria_NZ_AP023239_22_length_84599_cov_10.240396,Bacteria,84599,1268072,Bacteria
Bacteria_NZ_AP023239_23_length_83818_cov_9.811946,Bacteria,83818,1268072,Bacteria
Bacteria_NZ_AP023239_24_length_80684_cov_9.851121,Bacteria,80684,1268072,Bacteria
Bacteria_NZ_AP023239_25_length_77580_cov_10.463837,Bacteria,77580,1268072,Bacteria
Bacteria_NZ_AP023239_26_length_76862_cov_9.813754,Bacteria,76862,1268072,Bacteria
Bacteria_NZ_AP023239_27_length_75055_cov_10.615467,Bacteria,75055,1268072,Bacteria
Bacteria_NZ_AP023239_28_length_74565_cov_9.742155,Bacteria,74565,1268072,Bacteria
Bacteria_NZ_AP023239_29_length_70825_cov_10.141430,Bacteria,70825,1268072,Bacteria
Bacteria_NZ_AP023239_30_length_70676_cov_10.114456,Bacteria,70676,1268072,Bacteria
Bacteria_NZ_AP023239_31_length_65454_cov_10.059160,Bacteria,65454,1268072,Bacteria
Bacteria_NZ_AP023239_32_length_65452_cov_10.074117,Bacteria,65452,1268072,Bacteria
Bacteria_NZ_AP023239_33_length_63976_cov_10.390185,Bacteria,63976,1268072,Bacteria
