seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Phage_NC_047738_1_length_42987_cov_29.647419||full	1.000	0.207	1.000	dsDNAphage	42932	8	63.300	0.000
Phage_NC_047826_1_length_40050_cov_79.906988||full	1.000	0.200	1.000	dsDNAphage	39995	15	85.100	0.000
Phage_NC_047952_1_length_42924_cov_109.377149||full	1.000	0.127	1.000	dsDNAphage	42869	13	90.700	0.000
Phage_NC_047997_1_length_40699_cov_50.501058||full	1.000	0.147	1.000	dsDNAphage	40644	17	86.300	0.000
Phage_NC_048075_1_length_103211_cov_11.527841||full	1.000	0.067	1.000	dsDNAphage	103156	14	33.700	0.600
Phage_NC_048200_1_length_40274_cov_51.278475||full	1.000	0.233	1.000	dsDNAphage	40255	14	85.700	0.000
Phage_NC_048684_1_length_45012_cov_305.553596||full	0.993	0.000	0.993	dsDNAphage	44733	1	30.000	5.000
Phage_NC_048722_1_length_121848_cov_37.325216||full	0.993	0.040	0.993	dsDNAphage	121793	10	35.300	2.400
Phage_NC_048728_1_length_128336_cov_47.754141||full	0.993	0.020	0.993	dsDNAphage	128205	9	34.200	3.700
Phage_NC_048742_1_length_127627_cov_33.068698||full	1.000	0.040	1.000	dsDNAphage	127572	7	34.200	2.700
Phage_NC_050146_1_length_65429_cov_82.862392||full	1.000	0.300	1.000	dsDNAphage	65374	26	96.800	0.000
Bacteria_NZ_AP023239_56_length_29375_cov_5.761562||0_partial	0.733	0.007	0.733	dsDNAphage	10837	1	13.300	46.700
Bacteria_NZ_AP023239_62_length_27055_cov_5.130333||full	1.000	0.027	1.000	dsDNAphage	27051	9	85.700	2.900
Bacteria_NZ_AP023239_66_length_26048_cov_5.961644||0_partial	0.720	0.000	0.720	dsDNAphage	22149	2	33.300	33.300
Bacteria_NZ_AP023239_211_length_7921_cov_4.318841||full	0.913	0.027	0.913	dsDNAphage	7799	2	54.500	9.100
Bacteria_NZ_AP023239_254_length_4355_cov_5.796512||full	0.880	0.100	0.880	dsDNAphage	4205	0	44.400	11.100
Bacteria_NZ_AP023440_1_length_1410237_cov_36.712068||0_partial	0.887	0.007	0.887	dsDNAphage	11495	1	10.000	5.000
Bacteria_NZ_AP023440_4_length_693312_cov_35.675415||0_partial	0.973	0.033	0.973	dsDNAphage	23396	1	13.500	13.500
Bacteria_NZ_AP023440_19_length_174834_cov_35.972989||0_partial	0.927	0.007	0.927	dsDNAphage	30375	4	33.300	19.000
Bacteria_NZ_CP033364_17_length_7116_cov_3.104093||full	0.913	0.020	0.913	dsDNAphage	7114	0	33.300	6.700
Bacteria_NZ_CP033364_206_length_3852_cov_2.593363||full	0.987	0.513	0.987	dsDNAphage	3620	1	66.700	0.000
Bacteria_NZ_CP033364_224_length_3715_cov_3.062568||full	0.407	0.593	0.593	ssDNA	3579	0	50.000	0.000
Bacteria_NZ_CP033364_229_length_3669_cov_2.217211||full	0.993	0.100	0.993	dsDNAphage	3410	3	66.700	16.700
Bacteria_NZ_CP033364_293_length_3376_cov_2.557663||full	0.780	0.347	0.780	dsDNAphage	3372	0	25.000	0.000
Bacteria_NZ_CP033364_365_length_3083_cov_2.517503||full	0.993	0.980	0.993	dsDNAphage	3080	2	75.000	0.000
Bacteria_NZ_CP033364_375_length_3055_cov_1.574667||full	0.780	0.660	0.780	dsDNAphage	3052	0	50.000	0.000
Bacteria_NZ_CP033364_408_length_2955_cov_2.289655||full	0.720	0.060	0.720	dsDNAphage	2439	1	50.000	0.000
Bacteria_NZ_CP033364_568_length_2525_cov_3.090688||full	0.640	0.460	0.640	dsDNAphage	2491	0	50.000	0.000
Bacteria_NZ_CP033364_577_length_2501_cov_2.630826||full	0.547	0.033	0.547	dsDNAphage	2355	0	50.000	25.000
Bacteria_NZ_CP033364_701_length_2259_cov_3.028131||full	0.733	0.093	0.733	dsDNAphage	2193	1	33.300	0.000
Bacteria_NZ_CP033364_726_length_2222_cov_2.690817||full	0.693	0.680	0.693	dsDNAphage	2221	0	33.300	0.000
Bacteria_NZ_CP033364_751_length_2189_cov_2.606842||full	0.953	0.533	0.953	dsDNAphage	1856	0	100.000	0.000
Bacteria_NZ_CP033364_753_length_2188_cov_2.577590||full	0.820	0.807	0.820	dsDNAphage	2187	0	50.000	0.000
Bacteria_NZ_CP033364_811_length_2098_cov_3.266765||full	0.320	0.813	0.813	ssDNA	1745	0	50.000	0.000
Bacteria_NZ_CP033364_904_length_1948_cov_2.318014||full	0.847	0.127	0.847	dsDNAphage	1948	0	16.700	0.000
Bacteria_NZ_CP033364_905_length_1947_cov_1.868922||full	1.000	0.987	1.000	dsDNAphage	1734	2	75.000	0.000
Bacteria_NZ_CP033364_997_length_1815_cov_2.655114||full	0.820	0.227	0.820	dsDNAphage	1750	0	33.300	0.000
Bacteria_NZ_CP033364_1050_length_1755_cov_2.796471||full	0.627	0.053	0.627	dsDNAphage	1712	0	66.700	33.300
Bacteria_NZ_CP033364_1079_length_1722_cov_2.107379||full	0.880	0.413	0.880	dsDNAphage	1496	0	100.000	0.000
Bacteria_NZ_CP033364_1181_length_1606_cov_2.373308||full	0.313	0.687	0.687	ssDNA	1597	0	50.000	0.000
Bacteria_NZ_CP033364_1205_length_1572_cov_2.618326||full	0.547	0.973	0.973	ssDNA	1570	0	33.300	0.000
Bacteria_NZ_CP033364_1212_length_1564_cov_1.965540||full	0.380	0.727	0.727	ssDNA	1510	0	50.000	0.000
Bacteria_NZ_CP033364_1223_length_1553_cov_1.833778||full	0.953	0.473	0.953	dsDNAphage	1549	0	25.000	0.000
Bacteria_NZ_CP033364_1230_length_1544_cov_1.713230||full	0.780	0.847	0.847	ssDNA	1542	0	25.000	0.000
Bacteria_NZ_CP033364_1315_length_1448_cov_2.410625||full	0.433	0.860	0.860	ssDNA	1358	0	50.000	0.000
Bacteria_NZ_CP033364_1412_length_1351_cov_2.719907||full	0.713	0.733	0.733	ssDNA	1350	0	25.000	0.000
Bacteria_NZ_CP033364_1441_length_1316_cov_1.532117||full	0.180	0.967	0.967	ssDNA	1232	0	50.000	0.000
Bacteria_NZ_CP033364_1445_length_1309_cov_2.237640||full	0.473	0.653	0.653	ssDNA	933	0	50.000	0.000
Bacteria_NZ_CP033364_1469_length_1281_cov_1.851550||full	0.533	0.920	0.920	ssDNA	1225	0	50.000	0.000
Bacteria_NZ_CP033364_1604_length_1163_cov_1.542419||full	0.673	0.747	0.747	ssDNA	1033	0	50.000	0.000
Bacteria_NZ_CP033364_1696_length_1089_cov_1.695358||full	0.480	0.940	0.940	ssDNA	1017	0	50.000	0.000
Bacteria_NZ_CP033364_1746_length_1055_cov_2.245000||full	0.827	0.867	0.867	ssDNA	944	0	50.000	0.000
Bacteria_NZ_CP033364_1802_length_1011_cov_1.561715||full	0.980	0.993	0.993	ssDNA	793	0	100.000	0.000
Bacteria_NZ_CP039143_2_length_287843_cov_70.468536||0_partial	0.953	0.000	0.953	dsDNAphage	76245	6	36.200	14.900
Bacteria_NZ_CP039143_29_length_1840_cov_428.627451||full	0.660	0.953	0.953	ssDNA	1808	0	50.000	0.000
Bacteria_NZ_CP045492_3_length_360067_cov_8.199110||0_partial	0.953	0.000	0.953	dsDNAphage	113455	10	26.400	17.900
Bacteria_NZ_CP045492_5_length_267677_cov_8.264511||0_partial	0.953	0.007	0.953	dsDNAphage	73397	8	35.400	22.200
Bacteria_NZ_CP045492_5_length_267677_cov_8.264511||1_partial	0.940	0.000	0.940	dsDNAphage	11058	1	19.000	4.800
Bacteria_NZ_CP045492_10_length_169309_cov_8.385799||0_partial	0.940	0.007	0.940	dsDNAphage	32142	10	31.000	33.300
Bacteria_NZ_CP046907_21_length_41556_cov_5.273993||0_partial	0.773	0.007	0.773	dsDNAphage	18276	1	8.300	8.300
Bacteria_NZ_CP056899_6_length_219682_cov_14.938637||0_partial	0.953	0.000	0.953	dsDNAphage	37059	11	45.800	33.300
Bacteria_NZ_CP056899_47_length_21330_cov_13.696122||full	0.993	0.047	0.993	dsDNAphage	21328	4	64.700	2.900
Bacteria_NZ_CP056899_64_length_2273_cov_29.733544||full	0.480	0.927	0.927	ssDNA	2180	0	50.000	0.000
Bacteria_NZ_CP057125_1_length_1463287_cov_10.550539||0_partial	0.953	0.000	0.953	dsDNAphage	55975	14	44.400	34.700
Bacteria_NZ_CP057125_1_length_1463287_cov_10.550539||1_partial	0.853	0.000	0.853	dsDNAphage	17453	1	30.400	26.100
Bacteria_NZ_CP057125_2_length_547529_cov_10.538080||0_partial	0.913	0.000	0.913	dsDNAphage	15700	1	26.100	17.400
Bacteria_NZ_CP057125_6_length_401662_cov_10.526617||0_partial	0.953	0.000	0.953	dsDNAphage	72799	19	46.400	34.500
Bacteria_NZ_CP057147_3_length_65613_cov_4.949983||0_partial	0.773	0.000	0.773	dsDNAphage	24367	2	26.700	43.300
Prophage_NZ_CP057147_12_length_46841_cov_5.157611||full	0.880	0.000	0.880	dsDNAphage	46839	13	30.000	46.700
Bacteria_NZ_CP057147_27_length_36986_cov_4.875254||full	1.000	0.007	1.000	dsDNAphage	36986	3	44.900	18.400
Bacteria_NZ_CP057147_79_length_21490_cov_5.068533||0_partial	0.733	0.000	0.733	dsDNAphage	16057	1	26.300	26.400
Bacteria_NZ_CP057147_87_length_21012_cov_5.268598||0_partial	0.720	0.000	0.720	dsDNAphage	11158	1	25.000	37.500
Bacteria_NZ_CP057147_132_length_14666_cov_5.405585||full	1.000	0.293	1.000	dsDNAphage	14664	5	78.300	0.000
Bacteria_NZ_CP057147_140_length_13959_cov_5.081559||full	1.000	0.013	1.000	dsDNAphage	13955	8	52.400	4.800
Prophage_NZ_CP057147_154_length_12314_cov_5.343584||full	1.000	0.040	1.000	dsDNAphage	12314	4	66.700	6.700
Bacteria_NZ_CP057147_177_length_10084_cov_5.218865||full	0.993	0.240	0.993	dsDNAphage	10083	6	70.600	0.000
Prophage_NZ_CP057147_200_length_8157_cov_4.604172||full	0.827	0.753	0.827	dsDNAphage	8157	0	69.200	0.000
Prophage_NZ_CP057147_212_length_7220_cov_5.385066||full	0.960	0.073	0.960	dsDNAphage	7219	2	54.500	0.000
Prophage_NZ_CP057147_237_length_5707_cov_5.595364||full	0.953	0.460	0.953	dsDNAphage	5347	0	70.000	0.000
Prophage_NZ_CP057147_250_length_4846_cov_4.699854||full	0.953	0.013	0.953	dsDNAphage	4805	5	62.500	12.500
Prophage_NZ_CP057147_260_length_4454_cov_3.554444||full	1.000	0.613	1.000	dsDNAphage	4453	4	66.700	0.000
Bacteria_NZ_CP057147_277_length_3811_cov_5.098509||full	0.740	0.740	0.740	dsDNAphage	3720	0	50.000	0.000
Bacteria_NZ_CP057147_285_length_3323_cov_5.135557||full	0.573	0.333	0.573	dsDNAphage	3321	0	66.700	0.000
Prophage_NZ_CP057147_298_length_2696_cov_4.224915||full	1.000	0.953	1.000	dsDNAphage	2610	1	83.300	0.000
Prophage_NZ_CP057147_314_length_1951_cov_3.277954||full	1.000	0.993	1.000	dsDNAphage	1949	1	66.700	0.000
Bacteria_NZ_CP057147_315_length_1943_cov_6.042373||full	0.393	0.933	0.933	ssDNA	1583	0	50.000	0.000
Bacteria_NZ_CP058556_119_length_3585_cov_3.355241||full	0.620	0.013	0.620	dsDNAphage	3549	1	25.000	0.000
Bacteria_NZ_CP058556_161_length_3300_cov_3.542373||full	0.553	0.227	0.553	dsDNAphage	3160	0	50.000	0.000
Bacteria_NZ_CP058556_229_length_2936_cov_2.814995||full	0.707	0.227	0.707	dsDNAphage	2936	0	66.700	0.000
Bacteria_NZ_CP058556_312_length_2675_cov_2.870611||full	0.993	0.973	0.993	dsDNAphage	2672	4	100.000	0.000
Bacteria_NZ_CP058556_348_length_2544_cov_2.410607||full	0.680	0.547	0.680	dsDNAphage	2426	0	66.700	0.000
Bacteria_NZ_CP058556_419_length_2370_cov_2.356803||full	0.633	0.227	0.633	dsDNAphage	2366	0	33.300	0.000
Bacteria_NZ_CP058556_473_length_2254_cov_2.817190||full	0.820	0.353	0.820	dsDNAphage	2251	0	66.700	0.000
Bacteria_NZ_CP058556_491_length_2204_cov_2.697068||full	0.547	0.313	0.547	dsDNAphage	2202	0	33.300	0.000
Bacteria_NZ_CP058556_580_length_2072_cov_2.230045||full	0.867	0.340	0.867	dsDNAphage	2071	0	66.700	0.000
Bacteria_NZ_CP058556_583_length_2069_cov_2.441410||full	0.887	0.040	0.887	dsDNAphage	1909	1	25.000	0.000
Bacteria_NZ_CP058556_610_length_2041_cov_2.021148||full	0.687	0.567	0.687	dsDNAphage	2039	0	66.700	0.000
Bacteria_NZ_CP058556_638_length_2008_cov_2.614439||full	0.967	0.620	0.967	dsDNAphage	1931	0	80.000	0.000
Bacteria_NZ_CP058556_668_length_1971_cov_2.167537||full	0.653	0.393	0.653	dsDNAphage	1535	0	50.000	0.000
Bacteria_NZ_CP058556_695_length_1947_cov_2.812368||full	0.940	0.967	0.967	ssDNA	1947	0	100.000	0.000
Bacteria_NZ_CP058556_713_length_1926_cov_2.628541||full	0.680	0.113	0.680	dsDNAphage	1924	1	33.300	0.000
Bacteria_NZ_CP058556_732_length_1909_cov_2.659655||full	0.547	0.200	0.547	dsDNAphage	1563	0	50.000	0.000
Bacteria_NZ_CP058556_739_length_1904_cov_2.583018||full	0.487	0.700	0.700	ssDNA	1847	0	33.300	0.000
Bacteria_NZ_CP058556_779_length_1852_cov_2.036171||full	0.700	0.193	0.700	dsDNAphage	1817	0	33.300	0.000
Bacteria_NZ_CP058556_938_length_1693_cov_2.169109||full	0.653	0.353	0.653	dsDNAphage	1523	0	50.000	0.000
Bacteria_NZ_CP058556_991_length_1640_cov_1.846057||full	0.627	0.173	0.627	dsDNAphage	1334	0	50.000	0.000
Bacteria_NZ_CP058556_1065_length_1565_cov_2.405960||full	0.813	0.520	0.813	dsDNAphage	1564	2	50.000	0.000
Bacteria_NZ_CP058556_1179_length_1471_cov_1.529661||full	0.533	0.293	0.533	dsDNAphage	1070	0	50.000	0.000
Bacteria_NZ_CP058556_1214_length_1436_cov_1.881245||full	0.767	0.247	0.767	dsDNAphage	1412	0	100.000	0.000
Bacteria_NZ_CP058556_1262_length_1390_cov_2.199251||full	0.427	0.567	0.567	ssDNA	1339	0	50.000	0.000
Bacteria_NZ_CP058556_1311_length_1351_cov_2.243827||full	0.693	0.313	0.693	dsDNAphage	1348	0	25.000	0.000
Bacteria_NZ_CP058556_1466_length_1229_cov_2.151618||full	0.600	0.093	0.600	dsDNAphage	1162	0	33.300	0.000
Bacteria_NZ_CP058556_1591_length_1128_cov_2.434296||full	0.987	0.993	0.993	ssDNA	1127	0	100.000	0.000
Bacteria_NZ_CP058556_1627_length_1104_cov_1.824595||full	0.620	0.613	0.620	dsDNAphage	1104	0	33.300	0.000
Bacteria_NZ_CP058556_1785_length_1007_cov_1.546218||full	0.680	0.120	0.680	dsDNAphage	1006	0	25.000	0.000
Bacteria_NZ_CP059400_8_length_178420_cov_17.632080||0_partial	0.827	0.007	0.827	dsDNAphage	11025	1	29.400	29.400
Bacteria_NZ_CP059400_46_length_5456_cov_21.243473||full	0.840	0.000	0.840	dsDNAphage	5281	1	20.000	0.000
Bacteria_NZ_CP060008_3_length_695544_cov_38.462978||0_partial	0.953	0.000	0.953	dsDNAphage	43049	19	48.400	20.300
Bacteria_NZ_CP060137_6_length_201510_cov_13.126966||0_partial	0.720	0.000	0.720	dsDNAphage	14652	1	23.800	38.100
Bacteria_NZ_CP061378_750_length_3051_cov_3.612817||full	0.833	0.267	0.833	dsDNAphage	2834	0	14.300	0.000
Bacteria_NZ_CP061378_774_length_2822_cov_3.718106||full	0.660	0.407	0.660	dsDNAphage	2819	0	25.000	0.000
Bacteria_NZ_CP061378_811_length_2519_cov_2.877029||full	0.660	0.420	0.660	dsDNAphage	2339	0	100.000	0.000
Prophage_NZ_CP061378_855_length_2136_cov_2.960115||full	0.800	0.580	0.800	dsDNAphage	2133	0	33.300	0.000
Bacteria_NZ_CP061378_863_length_2072_cov_4.710957||full	0.907	0.247	0.907	dsDNAphage	2071	1	33.300	0.000
Bacteria_NZ_CP061378_868_length_2014_cov_4.164370||full	0.980	0.827	0.980	dsDNAphage	2014	0	16.700	0.000
Bacteria_NZ_CP061378_884_length_1959_cov_3.180147||full	0.520	0.827	0.827	ssDNA	1809	0	50.000	0.000
Bacteria_NZ_CP061378_917_length_1786_cov_1.806470||full	0.773	0.327	0.773	dsDNAphage	1601	0	20.000	0.000
Bacteria_NZ_CP061378_957_length_1587_cov_2.399478||full	0.773	1.000	1.000	ssDNA	1036	0	100.000	0.000
Bacteria_NZ_CP061378_978_length_1426_cov_3.389497||full	0.960	0.967	0.967	ssDNA	1182	0	75.000	0.000
Bacteria_NZ_CP061378_988_length_1363_cov_2.909021||full	0.887	0.967	0.967	ssDNA	1347	0	33.300	0.000
Bacteria_NZ_CP061378_994_length_1343_cov_4.099379||full	0.947	1.000	1.000	ssDNA	1270	0	33.300	0.000
Bacteria_NZ_CP061378_1012_length_1284_cov_3.619203||full	0.873	0.987	0.987	ssDNA	1280	0	50.000	0.000
Bacteria_NZ_CP061470_48_length_1929_cov_182.961046||full	0.667	0.927	0.927	ssDNA	1667	0	100.000	0.000
Bacteria_NZ_CP062165_9_length_2757_cov_2.766099||full	1.000	0.973	1.000	dsDNAphage	2718	3	100.000	0.000
Bacteria_NZ_CP062165_15_length_2583_cov_2.165744||full	0.527	0.067	0.527	dsDNAphage	2582	0	60.000	20.000
Bacteria_NZ_CP062165_43_length_2253_cov_2.958144||full	0.767	0.980	0.980	ssDNA	1912	0	33.300	0.000
Bacteria_NZ_CP062165_48_length_2169_cov_1.754494||full	0.793	0.947	0.947	ssDNA	2069	0	66.700	0.000
Bacteria_NZ_CP062165_52_length_2143_cov_3.147510||full	0.900	0.980	0.980	ssDNA	2142	0	33.300	0.000
Bacteria_NZ_CP062165_67_length_2047_cov_3.432731||full	0.987	1.000	1.000	ssDNA	2044	0	100.000	0.000
Bacteria_NZ_CP062165_74_length_2007_cov_1.703893||full	0.600	0.927	0.927	ssDNA	1886	0	50.000	0.000
Bacteria_NZ_CP062165_122_length_1807_cov_1.419521||full	0.727	0.980	0.980	ssDNA	1804	0	100.000	0.000
Bacteria_NZ_CP062165_131_length_1781_cov_1.462920||full	0.787	0.227	0.787	dsDNAphage	1725	0	66.700	0.000
Bacteria_NZ_CP062165_143_length_1751_cov_2.755307||full	0.813	0.140	0.813	dsDNAphage	1737	0	25.000	0.000
Bacteria_NZ_CP062165_158_length_1709_cov_2.128779||full	0.547	0.927	0.927	ssDNA	1613	0	33.300	0.000
Bacteria_NZ_CP062165_175_length_1667_cov_1.856079||full	0.707	0.273	0.707	dsDNAphage	1665	0	33.300	0.000
Bacteria_NZ_CP062165_226_length_1544_cov_1.605104||full	0.480	0.887	0.887	ssDNA	1497	0	50.000	0.000
Bacteria_NZ_CP062165_258_length_1471_cov_1.772599||full	0.793	0.973	0.973	ssDNA	1467	0	33.300	0.000
Bacteria_NZ_CP062165_263_length_1460_cov_2.362278||full	0.993	1.000	1.000	ssDNA	1117	0	100.000	0.000
Bacteria_NZ_CP062165_271_length_1449_cov_1.654950||full	0.760	0.913	0.913	ssDNA	1022	0	50.000	0.000
