seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Bacteria_NZ_CP059567_2_length_73837_cov_7.480456||full	0.927	0.000	0.927	dsDNAphage	73562	11	31.200	28.100
Phage_NC_047859_1_length_108713_cov_19.159491||full	1.000	0.280	1.000	dsDNAphage	108663	14	92.800	0.000
Phage_NC_048135_1_length_39745_cov_154.347014||full	0.987	0.133	0.987	dsDNAphage	39690	11	78.000	0.000
Phage_NC_048849_1_length_174176_cov_34.868499||full	1.000	0.280	1.000	dsDNAphage	174121	50	79.400	1.000
Phage_NC_050144_1_length_65597_cov_82.610601||full	1.000	0.260	1.000	dsDNAphage	65542	26	97.800	0.000
Bacteria_NZ_AP023189_2_length_485291_cov_30.077204||0_partial	0.787	0.000	0.787	dsDNAphage	15413	1	21.100	42.100
Bacteria_NZ_AP023189_40_length_39774_cov_28.836602||full	0.947	0.000	0.947	dsDNAphage	39227	9	51.200	22.000
Prophage_NZ_AP023189_43_length_32433_cov_29.700476||full	0.793	0.000	0.793	dsDNAphage	29923	0	39.500	11.600
Prophage_NZ_AP023189_45_length_8405_cov_29.689461||full	0.993	0.327	0.993	dsDNAphage	8404	1	30.000	0.000
Prophage_NZ_AP023189_46_length_8348_cov_30.144339||full	0.980	0.207	0.980	dsDNAphage	8347	1	22.200	0.000
Prophage_NZ_AP023189_47_length_7751_cov_56.898259||full	1.000	0.107	1.000	dsDNAphage	7565	3	50.000	0.000
Prophage_NZ_AP023189_53_length_2864_cov_60.390174||full	1.000	0.773	1.000	dsDNAphage	2848	1	100.000	0.000
Prophage_NZ_AP023189_56_length_1833_cov_59.944319||full	0.973	0.320	0.973	dsDNAphage	1831	1	33.300	0.000
Bacteria_NZ_AP023189_57_length_1313_cov_139.198728||full	0.800	0.940	0.940	ssDNA	1223	0	100.000	0.000
Bacteria_NZ_AP023440_11_length_2383_cov_1.794244||full	0.827	0.447	0.827	dsDNAphage	2243	0	100.000	0.000
Bacteria_NZ_AP023440_20_length_2205_cov_2.047442||full	0.793	0.440	0.793	dsDNAphage	1952	0	50.000	0.000
Bacteria_NZ_AP023440_73_length_1748_cov_2.220910||full	0.900	0.427	0.900	dsDNAphage	1700	0	100.000	0.000
Bacteria_NZ_AP023440_205_length_1352_cov_1.284503||full	0.487	0.520	0.520	ssDNA	1352	0	25.000	0.000
Bacteria_NZ_AP023440_305_length_1195_cov_1.630702||full	1.000	0.427	1.000	dsDNAphage	969	1	50.000	0.000
Bacteria_NZ_AP023440_421_length_1031_cov_1.315574||full	0.707	0.633	0.707	dsDNAphage	779	0	50.000	0.000
Bacteria_NZ_AP023440_425_length_1026_cov_1.427394||full	0.567	0.267	0.567	dsDNAphage	981	0	33.300	0.000
Bacteria_NZ_CP035946_1_length_282049_cov_7.901111||0_partial	0.947	0.000	0.947	dsDNAphage	33972	3	20.000	15.000
Bacteria_NZ_CP035946_19_length_19590_cov_7.963706||full	0.880	0.013	0.880	dsDNAphage	19518	1	17.400	13.000
Bacteria_NZ_CP035946_30_length_3140_cov_22.806807||full	0.827	0.713	0.827	dsDNAphage	2904	0	60.000	0.000
Bacteria_NZ_CP040630_15_length_12637_cov_3.590049||0_partial	0.707	0.000	0.707	dsDNAphage	11377	1	33.300	25.000
Bacteria_NZ_CP040630_105_length_7889_cov_3.058335||full	0.967	0.900	0.967	dsDNAphage	7886	0	100.000	0.000
Bacteria_NZ_CP040630_122_length_7323_cov_3.263759||full	0.993	0.040	0.993	dsDNAphage	7321	2	63.600	9.100
Bacteria_NZ_CP040630_163_length_6621_cov_3.360189||full	0.540	0.020	0.540	dsDNAphage	6577	0	40.000	0.000
Bacteria_NZ_CP040630_184_length_6405_cov_3.109134||full	0.673	0.187	0.673	dsDNAphage	6402	0	62.500	0.000
Bacteria_NZ_CP040630_246_length_5620_cov_3.423001||full	0.973	0.900	0.973	dsDNAphage	5082	0	83.300	0.000
Bacteria_NZ_CP040630_283_length_5259_cov_4.039008||full	0.773	0.887	0.887	ssDNA	4875	0	50.000	0.000
Bacteria_NZ_CP040630_295_length_5142_cov_3.732848||full	0.767	0.860	0.860	ssDNA	5075	0	50.000	0.000
Bacteria_NZ_CP040630_432_length_4017_cov_2.523221||full	0.553	0.660	0.660	ssDNA	4017	0	16.700	0.000
Bacteria_NZ_CP040630_460_length_3876_cov_3.425281||full	0.973	0.713	0.973	dsDNAphage	3873	0	33.300	0.000
Bacteria_NZ_CP040630_477_length_3780_cov_2.958658||full	0.900	0.007	0.900	dsDNAphage	3666	1	40.000	20.000
Bacteria_NZ_CP040630_511_length_3564_cov_2.989456||full	0.707	0.053	0.707	dsDNAphage	3562	0	57.100	14.300
Bacteria_NZ_CP040630_512_length_3559_cov_3.961473||full	0.513	0.047	0.513	dsDNAphage	3556	0	60.000	20.000
Bacteria_NZ_CP040630_516_length_3538_cov_2.824864||full	0.640	0.773	0.773	ssDNA	3331	0	50.000	0.000
Bacteria_NZ_CP040630_518_length_3529_cov_3.796200||full	0.747	0.920	0.920	ssDNA	3490	0	100.000	0.000
Bacteria_NZ_CP040630_525_length_3492_cov_3.126564||full	0.833	0.840	0.840	ssDNA	3490	0	100.000	0.000
Bacteria_NZ_CP040630_534_length_3461_cov_3.682619||full	0.573	0.440	0.573	dsDNAphage	3277	0	66.700	0.000
Bacteria_NZ_CP040630_537_length_3441_cov_3.079445||full	0.933	0.960	0.960	ssDNA	2838	0	50.000	0.000
Bacteria_NZ_CP040630_591_length_3191_cov_2.928571||full	0.753	0.973	0.973	ssDNA	3187	0	60.000	0.000
Bacteria_NZ_CP040630_594_length_3168_cov_3.854802||full	0.787	0.820	0.820	ssDNA	3166	0	66.700	0.000
Bacteria_NZ_CP040630_619_length_3057_cov_3.530313||full	0.480	0.733	0.733	ssDNA	3056	0	25.000	0.000
Bacteria_NZ_CP040630_624_length_3029_cov_5.786483||full	0.647	0.107	0.647	dsDNAphage	3027	0	50.000	0.000
Bacteria_NZ_CP040630_659_length_2861_cov_3.408767||full	0.640	0.167	0.640	dsDNAphage	2859	0	40.000	0.000
Bacteria_NZ_CP040630_696_length_2684_cov_2.582351||full	0.693	0.360	0.693	dsDNAphage	2682	0	66.700	0.000
Bacteria_NZ_CP040630_701_length_2668_cov_3.039801||full	0.500	0.060	0.500	dsDNAphage	2665	0	33.300	0.000
Bacteria_NZ_CP040630_709_length_2621_cov_2.494544||full	0.567	0.027	0.567	dsDNAphage	2620	0	28.600	14.300
Bacteria_NZ_CP040630_731_length_2548_cov_4.185720||full	0.887	0.067	0.887	dsDNAphage	2092	1	33.300	0.000
Bacteria_NZ_CP040630_738_length_2528_cov_2.805499||full	0.627	0.993	0.993	ssDNA	2527	0	50.000	0.000
Bacteria_NZ_CP040630_740_length_2525_cov_3.239676||full	0.713	0.973	0.973	ssDNA	2524	0	60.000	0.000
Bacteria_NZ_CP040630_765_length_2462_cov_2.505193||full	0.940	0.980	0.980	ssDNA	2429	0	100.000	0.000
Bacteria_NZ_CP040630_766_length_2460_cov_3.086902||full	0.533	0.813	0.813	ssDNA	2440	0	33.300	0.000
Bacteria_NZ_CP040630_796_length_2341_cov_2.841207||full	0.980	1.000	1.000	ssDNA	2339	0	100.000	0.000
Bacteria_NZ_CP040630_859_length_2149_cov_3.422636||full	0.800	0.987	0.987	ssDNA	2017	0	75.000	0.000
Bacteria_NZ_CP040630_864_length_2134_cov_3.784031||full	0.873	0.967	0.967	ssDNA	2133	0	75.000	0.000
Bacteria_NZ_CP040630_870_length_2107_cov_2.847466||full	0.460	0.820	0.820	ssDNA	1970	0	50.000	0.000
