ID,True_Label,Contig_Length,Assigned_TaxID,Predicted_Label
Bacteria_NZ_AP023189_1_length_7068_cov_3.497077,Bacteria,7068,316,Bacteria
Bacteria_NZ_AP023189_40_length_3738_cov_2.244909,Bacteria,3738,316,Bacteria
Bacteria_NZ_AP023189_69_length_3175_cov_2.402564,Bacteria,3175,316,Bacteria
Bacteria_NZ_AP023189_114_length_2830_cov_3.034595,Bacteria,2830,316,Bacteria
Bacteria_NZ_AP023189_146_length_2631_cov_1.824922,Bacteria,2631,316,Bacteria
Bacteria_NZ_AP023189_216_length_2398_cov_3.107554,Bacteria,2398,316,Bacteria
Bacteria_NZ_AP023189_382_length_1983_cov_2.340249,Bacteria,1983,316,Bacteria
Bacteria_NZ_AP023189_433_length_1892_cov_1.299946,Bacteria,1892,316,Bacteria
Bacteria_NZ_AP023189_568_length_1728_cov_2.257023,Bacteria,1728,316,Bacteria
Bacteria_NZ_AP023189_689_length_1570_cov_2.201980,Bacteria,1570,316,Bacteria
Bacteria_NZ_AP023189_761_length_1496_cov_1.857044,Bacteria,1496,316,Bacteria
Bacteria_NZ_AP023189_1049_length_1223_cov_2.191781,Bacteria,1223,316,Bacteria
Bacteria_NZ_AP023189_1110_length_1170_cov_1.454709,Bacteria,1170,316,Bacteria
Bacteria_NZ_AP023189_1181_length_1109_cov_1.786528,Bacteria,1109,316,Bacteria
Bacteria_NZ_CP060008_431_length_1612_cov_2.149647,Bacteria,1612,316,Bacteria
Bacteria_NZ_CP060008_487_length_1529_cov_1.756445,Bacteria,1529,316,Bacteria
Bacteria_NZ_CP060008_542_length_1456_cov_1.800143,Bacteria,1456,316,Bacteria
Bacteria_NZ_CP060008_628_length_1343_cov_2.644410,Bacteria,1343,316,Bacteria
Bacteria_NZ_CP060008_859_length_1081_cov_2.147173,Bacteria,1081,316,Bacteria
Bacteria_NZ_CP060008_917_length_1030_cov_2.566154,Bacteria,1030,316,Bacteria
Bacteria_NZ_AP023189_2_length_6303_cov_6.801697,Bacteria,6303,43263,Bacteria
Bacteria_NZ_AP023189_48_length_3488_cov_1.966502,Bacteria,3488,43263,Bacteria
Bacteria_NZ_AP023189_51_length_3446_cov_2.603067,Bacteria,3446,43263,Bacteria
Bacteria_NZ_AP023189_66_length_3243_cov_1.911543,Bacteria,3243,43263,Bacteria
Bacteria_NZ_AP023189_117_length_2800_cov_2.781421,Bacteria,2800,43263,Bacteria
Bacteria_NZ_AP023189_136_length_2683_cov_2.114536,Bacteria,2683,43263,Bacteria
Bacteria_NZ_AP023189_159_length_2589_cov_1.589582,Bacteria,2589,43263,Bacteria
Bacteria_NZ_AP023189_166_length_2572_cov_2.351609,Bacteria,2572,43263,Bacteria
Bacteria_NZ_AP023189_181_length_2531_cov_2.418821,Bacteria,2531,43263,Bacteria
Bacteria_NZ_AP023189_184_length_2529_cov_1.860146,Bacteria,2529,43263,Bacteria
Bacteria_NZ_AP023189_231_length_2350_cov_1.905447,Bacteria,2350,43263,Bacteria
Bacteria_NZ_AP023189_236_length_2341_cov_2.593176,Bacteria,2341,43263,Bacteria
