seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Bacteria_NZ_CP040586_2_length_291891_cov_36.542359||0_partial	0.960	0.000	0.960	dsDNAphage	86614	15	33.600	19.600
Bacteria_NZ_CP040586_3_length_198283_cov_37.644460||0_partial	0.833	0.000	0.833	dsDNAphage	12277	1	33.300	16.700
Bacteria_NZ_CP040586_26_length_14995_cov_38.866198||full	0.613	0.080	0.613	dsDNAphage	14901	0	66.700	11.100
Prophage_NZ_CP045702_21_length_138241_cov_36.770881||0_partial	0.953	0.013	0.953	dsDNAphage	62666	8	48.700	18.400
Bacteria_NZ_CP045702_24_length_122012_cov_35.351780||full	0.893	0.000	0.893	dsDNAphage	107772	12	40.300	18.100
Bacteria_NZ_CP045702_30_length_80786_cov_35.981333||0_partial	0.780	0.000	0.780	dsDNAphage	38745	4	19.400	27.800
Bacteria_NZ_CP053707_5_length_282678_cov_82.756244||0_partial	0.927	0.000	0.927	dsDNAphage	10885	1	5.000	10.000
Bacteria_NZ_CP053841_1_length_418130_cov_429.121155||0_partial	0.973	0.000	0.973	dsDNAphage	16952	4	46.200	11.500
Bacteria_NZ_CP053841_2_length_392467_cov_428.047114||0_partial	0.827	0.000	0.827	dsDNAphage	14091	3	16.000	36.000
Bacteria_NZ_CP053841_8_length_83605_cov_442.493441||0_partial	0.907	0.000	0.907	dsDNAphage	30249	7	50.000	23.100
Bacteria_NZ_CP053841_17_length_2851_cov_587.902718||full	0.967	0.393	0.967	dsDNAphage	2850	0	75.000	0.000
Bacteria_NZ_CP054920_5_length_563742_cov_28.758050||0_partial	0.847	0.000	0.847	dsDNAphage	22614	4	23.100	23.100
Bacteria_NZ_CP054920_6_length_515628_cov_28.165936||0_partial	0.927	0.000	0.927	dsDNAphage	21308	4	30.300	6.100
Bacteria_NZ_CP058259_10_length_127835_cov_20.693630||0_partial	0.767	0.000	0.767	dsDNAphage	14085	1	18.200	27.300
Bacteria_NZ_CP059603_2_length_337629_cov_55.554231||0_partial	0.940	0.000	0.940	dsDNAphage	41488	5	36.400	22.700
Bacteria_NZ_CP059603_13_length_42632_cov_51.068629||full	0.980	0.000	0.980	dsDNAphage	41644	6	46.000	4.800
