seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Phage_NC_047747_1_length_40338_cov_564.031477||full	1.000	0.187	1.000	dsDNAphage	40283	15	87.800	0.000
Phage_NC_048706_1_length_45935_cov_189.203814||full	0.993	0.007	0.993	dsDNAphage	45880	2	36.900	3.100
Phage_NC_049456_1_length_75471_cov_432.068898||full	1.000	0.127	1.000	dsDNAphage	75416	5	58.500	0.000
Bacteria_NZ_CP030047_3_length_903237_cov_27.662848||0_partial	0.713	0.000	0.713	dsDNAphage	12305	1	17.400	39.100
Bacteria_NZ_CP030047_4_length_843371_cov_26.837090||0_partial	0.967	0.000	0.967	dsDNAphage	29921	2	18.000	10.000
Prophage_NZ_CP041372_5_length_213887_cov_61.915883||full	0.733	0.000	0.733	dsDNAphage	212684	13	20.400	27.700
Bacteria_NZ_CP041372_27_length_47196_cov_61.927685||full	0.993	0.000	0.993	dsDNAphage	46368	10	51.400	4.200
Bacteria_NZ_CP041372_29_length_31632_cov_125.788200||full	0.993	0.033	0.993	dsDNAphage	31533	13	57.700	3.800
Bacteria_NZ_CP041372_47_length_3864_cov_125.557889||full	1.000	0.113	1.000	dsDNAphage	3610	1	42.900	0.000
Bacteria_NZ_CP041372_51_length_1398_cov_179.852569||full	0.873	0.933	0.933	ssDNA	1216	0	66.700	0.000
Bacteria_NZ_CP048810_1_length_522469_cov_24.287446||0_partial	0.960	0.000	0.960	dsDNAphage	77975	12	37.000	26.100
Bacteria_NZ_CP048810_35_length_36665_cov_23.971592||full	0.887	0.000	0.887	dsDNAphage	33664	13	37.800	28.900
Bacteria_NZ_CP048810_44_length_1930_cov_99.435200||full	0.553	0.873	0.873	ssDNA	1859	0	50.000	0.000
Bacteria_NZ_CP053109_2_length_506193_cov_61.529036||0_partial	0.953	0.013	0.953	dsDNAphage	43292	5	32.800	12.500
Bacteria_NZ_CP053109_7_length_355630_cov_61.331533||0_partial	0.953	0.000	0.953	dsDNAphage	26578	2	24.100	9.300
Bacteria_NZ_CP053109_7_length_355630_cov_61.331533||1_partial	0.953	0.000	0.953	dsDNAphage	28317	6	36.400	15.900
Bacteria_NZ_CP053109_10_length_339428_cov_61.645317||0_partial	0.820	0.000	0.820	dsDNAphage	30297	4	23.300	23.300
Bacteria_NZ_CP053109_18_length_203744_cov_61.383511||0_partial	0.947	0.000	0.947	dsDNAphage	46163	5	23.400	11.700
Bacteria_NZ_CP053609_1_length_490283_cov_22.210439||0_partial	0.953	0.007	0.953	dsDNAphage	62849	15	47.500	22.500
Bacteria_NZ_CP053609_10_length_118060_cov_22.291996||0_partial	0.927	0.000	0.927	dsDNAphage	15243	2	44.400	22.200
Bacteria_NZ_CP053609_38_length_1324_cov_67.741529||full	0.853	1.000	1.000	ssDNA	1238	0	100.000	0.000
Bacteria_NZ_CP053610_18_length_1396_cov_38.439224||full	0.693	0.907	0.907	ssDNA	1310	0	50.000	0.000
Bacteria_NZ_CP061335_1_length_797590_cov_41.667015||0_partial	0.967	0.007	0.967	dsDNAphage	58295	11	40.200	19.500
Bacteria_NZ_CP061476_27_length_4634_cov_96.611050||full	0.687	0.080	0.687	dsDNAphage	4340	0	20.000	0.000
Bacteria_NZ_LR824639_1_length_483912_cov_107.325972||0_partial	0.907	0.000	0.907	dsDNAphage	25783	4	32.300	41.900
Phage_NC_047933_1_length_43177_cov_154.939799||full	0.993	0.227	0.993	dsDNAphage	42928	9	63.000	0.000
Phage_NC_047954_1_length_46642_cov_87.569923||full	0.993	0.087	0.993	dsDNAphage	46548	7	62.000	0.000
Phage_NC_048168_1_length_43445_cov_492.987947||full	1.000	0.153	1.000	dsDNAphage	43392	14	92.600	0.000
Phage_NC_048639_1_length_42159_cov_766.026862||full	1.000	0.007	1.000	dsDNAphage	41966	6	65.700	5.700
Phage_NC_048639_2_length_14251_cov_739.048817||full	0.973	0.387	0.973	dsDNAphage	14030	0	48.000	0.000
Phage_NC_048639_3_length_11572_cov_768.561605||full	0.980	0.233	0.980	dsDNAphage	11570	0	43.500	0.000
Phage_NC_048675_1_length_66181_cov_270.186281||full	1.000	0.320	1.000	dsDNAphage	65218	26	97.800	0.000
Phage_NC_049976_1_length_18751_cov_810.950043||full	1.000	0.093	1.000	dsDNAphage	18292	5	60.000	0.000
