seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Bacteria_NZ_CP059567_98_length_6752_cov_8.224578||full	0.613	0.120	0.613	dsDNAphage	6639	0	57.100	0.000
Phage_NC_047748_1_length_43696_cov_26.184574||full	1.000	0.067	1.000	dsDNAphage	43641	8	63.200	1.800
Phage_NC_047773_1_length_41156_cov_27.820126||full	1.000	0.213	1.000	dsDNAphage	41101	11	92.000	0.000
Phage_NC_047783_1_length_44486_cov_25.716504||full	0.987	0.100	0.987	dsDNAphage	44014	8	70.200	0.000
Phage_NC_047798_1_length_40994_cov_27.932241||full	1.000	0.207	1.000	dsDNAphage	40939	11	91.700	0.000
Phage_NC_047827_1_length_40327_cov_28.371449||full	1.000	0.187	1.000	dsDNAphage	39820	15	83.300	0.000
Phage_NC_047859_1_length_108949_cov_10.466242||full	1.000	0.267	1.000	dsDNAphage	108894	14	93.400	0.000
Phage_NC_047923_1_length_39437_cov_29.013128||full	1.000	0.287	1.000	dsDNAphage	39416	12	98.000	0.000
Phage_NC_048002_1_length_39763_cov_28.773144||full	0.993	0.213	0.993	dsDNAphage	39708	12	77.100	0.000
Phage_NC_048023_1_length_39623_cov_28.893955||full	0.987	0.113	0.987	dsDNAphage	39522	11	77.400	0.000
Phage_NC_048067_1_length_41545_cov_27.571174||full	1.000	0.000	1.000	dsDNAphage	41490	8	47.400	5.300
Phage_NC_048135_1_length_39745_cov_28.809121||full	0.987	0.133	0.987	dsDNAphage	39690	11	78.000	0.000
Phage_NC_048143_1_length_49084_cov_23.300251||full	1.000	0.240	1.000	dsDNAphage	48803	15	74.000	0.000
Phage_NC_048626_1_length_66181_cov_17.264329||full	1.000	0.293	1.000	dsDNAphage	66126	26	96.800	0.000
Phage_NC_048650_1_length_112357_cov_10.147807||full	1.000	0.027	1.000	dsDNAphage	112177	8	33.100	2.800
Phage_NC_048681_1_length_38569_cov_29.645142||full	1.000	0.140	1.000	dsDNAphage	38455	11	88.500	0.000
Phage_NC_048684_1_length_45012_cov_25.415175||full	1.000	0.000	1.000	dsDNAphage	44957	1	30.000	5.000
Phage_NC_048686_1_length_45874_cov_24.935114||full	0.993	0.000	0.993	dsDNAphage	45819	1	34.400	3.300
Phage_NC_048700_1_length_73330_cov_15.594500||full	1.000	0.180	1.000	dsDNAphage	73275	7	76.600	0.000
Phage_NC_048742_1_length_127627_cov_8.904031||full	1.000	0.033	1.000	dsDNAphage	127572	7	34.500	2.700
Phage_NC_049460_1_length_30092_cov_38.037853||full	1.000	0.133	1.000	dsDNAphage	30037	12	88.600	0.000
Phage_NC_049832_1_length_49992_cov_22.876084||full	0.993	0.140	0.993	dsDNAphage	49937	15	94.800	0.000
Phage_NC_050144_1_length_65597_cov_17.419853||full	1.000	0.260	1.000	dsDNAphage	65542	26	97.800	0.000
Bacteria_NZ_CP060825_1593_length_1233_cov_2.929542||full	0.813	0.133	0.813	dsDNAphage	1230	0	33.300	0.000
Bacteria_NZ_CP060825_1595_length_1231_cov_1.905612||full	0.653	0.100	0.653	dsDNAphage	1228	0	33.300	0.000
Bacteria_NZ_CP060828_20_length_3954_cov_2.451911||full	0.887	0.080	0.887	dsDNAphage	3853	0	14.300	0.000
Bacteria_NZ_CP060828_246_length_2436_cov_2.465771||full	0.867	0.347	0.867	dsDNAphage	2067	0	20.000	0.000
Bacteria_NZ_CP060828_251_length_2420_cov_1.602537||full	0.647	0.387	0.647	dsDNAphage	2419	0	75.000	0.000
Bacteria_NZ_CP060828_331_length_2256_cov_2.843253||full	0.553	0.267	0.553	dsDNAphage	2009	0	50.000	0.000
Bacteria_NZ_CP060828_339_length_2242_cov_1.959305||full	0.820	0.420	0.820	dsDNAphage	2074	0	50.000	0.000
Bacteria_NZ_CP060828_349_length_2227_cov_1.612339||full	0.653	0.193	0.653	dsDNAphage	2226	0	33.300	0.000
Bacteria_NZ_CP060828_477_length_2009_cov_3.563460||full	0.513	0.113	0.513	dsDNAphage	2007	0	33.300	0.000
Bacteria_NZ_CP060828_528_length_1945_cov_1.378307||full	0.660	0.120	0.660	dsDNAphage	1831	1	50.000	0.000
Bacteria_NZ_CP060828_530_length_1942_cov_1.649179||full	0.693	0.120	0.693	dsDNAphage	1938	0	33.300	0.000
Bacteria_NZ_CP060828_693_length_1752_cov_2.012375||full	0.560	0.167	0.560	dsDNAphage	1750	0	33.300	0.000
Bacteria_NZ_CP060828_709_length_1744_cov_1.988751||full	0.920	0.400	0.920	dsDNAphage	1230	0	50.000	0.000
Bacteria_NZ_CP060828_718_length_1736_cov_1.826294||full	0.740	0.253	0.740	dsDNAphage	1624	0	50.000	0.000
Bacteria_NZ_CP060828_724_length_1732_cov_2.423375||full	0.633	0.327	0.633	dsDNAphage	1730	0	25.000	0.000
Bacteria_NZ_CP060828_757_length_1705_cov_2.003030||full	0.693	0.207	0.693	dsDNAphage	1701	0	33.300	0.000
Bacteria_NZ_CP060828_945_length_1561_cov_2.601594||full	0.900	0.493	0.900	dsDNAphage	1507	0	66.700	0.000
Bacteria_NZ_CP060828_974_length_1533_cov_1.956022||full	0.653	0.287	0.653	dsDNAphage	1530	0	33.300	0.000
Bacteria_NZ_CP060828_1077_length_1462_cov_3.659559||full	0.613	0.340	0.613	dsDNAphage	1318	0	50.000	0.000
Bacteria_NZ_CP060828_1108_length_1442_cov_2.291997||full	0.820	0.180	0.820	dsDNAphage	1440	1	33.300	0.000
Bacteria_NZ_CP060828_1140_length_1416_cov_2.192506||full	0.653	0.307	0.653	dsDNAphage	1414	0	50.000	0.000
Bacteria_NZ_CP060828_1232_length_1350_cov_2.013900||full	0.580	0.267	0.580	dsDNAphage	1347	0	33.300	0.000
Bacteria_NZ_CP060828_1248_length_1338_cov_2.095869||full	0.533	0.293	0.533	dsDNAphage	1237	0	33.300	0.000
Bacteria_NZ_CP060828_1290_length_1310_cov_2.814343||full	0.547	0.467	0.547	dsDNAphage	794	0	50.000	0.000
Bacteria_NZ_CP060828_1413_length_1233_cov_2.100170||full	0.500	0.253	0.500	dsDNAphage	912	0	50.000	0.000
Bacteria_NZ_CP060828_1492_length_1183_cov_2.843085||full	0.893	0.280	0.893	dsDNAphage	858	1	50.000	0.000
Bacteria_NZ_CP060828_1539_length_1153_cov_1.992714||full	0.687	0.900	0.900	ssDNA	1099	0	50.000	0.000
Bacteria_NZ_CP060828_1846_length_1007_cov_1.504202||full	0.587	0.147	0.587	dsDNAphage	1005	0	33.300	0.000
Bacteria_NZ_CP061032_1_length_429406_cov_7.225172||0_partial	0.960	0.007	0.960	dsDNAphage	36761	5	32.800	20.700
Prophage_NZ_CP061032_8_length_79545_cov_7.295886||full	0.913	0.000	0.913	dsDNAphage	77451	6	22.200	10.100
Prophage_NZ_CP061032_13_length_66360_cov_7.472679||0_partial	0.973	0.000	0.973	dsDNAphage	19759	3	16.700	8.300
Bacteria_NZ_CP061072_26_length_5173_cov_2.628761||full	0.727	0.260	0.727	dsDNAphage	5169	0	37.500	0.000
Bacteria_NZ_CP061072_29_length_4923_cov_2.125924||full	0.593	0.007	0.593	dsDNAphage	4873	0	28.600	14.300
Bacteria_NZ_CP061072_171_length_3429_cov_2.649970||full	0.613	0.340	0.613	dsDNAphage	3311	0	50.000	0.000
Bacteria_NZ_CP061072_235_length_3092_cov_2.938097||full	0.573	0.180	0.573	dsDNAphage	2912	0	50.000	0.000
Bacteria_NZ_CP061072_365_length_2700_cov_2.286957||full	0.513	0.033	0.513	dsDNAphage	2698	0	33.300	0.000
Bacteria_NZ_CP061072_410_length_2575_cov_2.366270||full	0.813	0.293	0.813	dsDNAphage	2573	0	50.000	0.000
Bacteria_NZ_CP061072_414_length_2554_cov_2.319328||full	0.720	0.340	0.720	dsDNAphage	2484	0	50.000	0.000
Bacteria_NZ_CP061072_476_length_2413_cov_2.898219||full	0.620	0.480	0.620	dsDNAphage	2411	0	66.700	0.000
Bacteria_NZ_CP061072_526_length_2325_cov_2.149339||full	0.660	0.487	0.660	dsDNAphage	2322	0	25.000	0.000
Bacteria_NZ_CP061072_538_length_2294_cov_2.800357||full	0.587	0.340	0.587	dsDNAphage	2293	0	50.000	0.000
Bacteria_NZ_CP061072_611_length_2169_cov_3.405866||full	0.940	0.207	0.940	dsDNAphage	1967	1	33.300	0.000
Bacteria_NZ_CP061072_646_length_2114_cov_1.050024||full	0.600	0.180	0.600	dsDNAphage	2114	0	33.300	0.000
Bacteria_NZ_CP061072_759_length_1989_cov_2.003102||full	0.660	0.120	0.660	dsDNAphage	1985	0	50.000	0.000
Bacteria_NZ_CP061072_919_length_1813_cov_2.291240||full	0.660	0.847	0.847	ssDNA	1811	0	66.700	0.000
Bacteria_NZ_CP061072_955_length_1771_cov_2.710956||full	0.700	0.113	0.700	dsDNAphage	1768	0	33.300	0.000
Bacteria_NZ_CP061072_958_length_1765_cov_2.059064||full	0.500	0.053	0.500	dsDNAphage	1524	0	66.700	33.300
Bacteria_NZ_CP061072_990_length_1730_cov_1.786866||full	0.527	0.213	0.527	dsDNAphage	1646	0	50.000	0.000
