seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Phage_NC_047827_1_length_40327_cov_29.848555||full	1.000	0.187	1.000	dsDNAphage	39820	15	83.300	0.000
Phage_NC_047923_1_length_39477_cov_150.631449||full	1.000	0.287	1.000	dsDNAphage	39422	12	98.000	0.000
Phage_NC_048002_1_length_39763_cov_64.099325||full	0.993	0.213	0.993	dsDNAphage	39708	12	77.100	0.000
Phage_NC_048023_1_length_39623_cov_163.456682||full	0.987	0.113	0.987	dsDNAphage	39568	11	77.400	0.000
Phage_NC_048067_1_length_41545_cov_12.920174||full	1.000	0.000	1.000	dsDNAphage	41490	8	47.400	5.300
Phage_NC_048135_1_length_39745_cov_19.801386||full	0.987	0.133	0.987	dsDNAphage	39690	11	78.000	0.000
Phage_NC_048143_1_length_49084_cov_29.814926||full	1.000	0.240	1.000	dsDNAphage	48803	15	74.000	0.000
Phage_NC_048626_1_length_66181_cov_16.539939||full	1.000	0.293	1.000	dsDNAphage	66126	26	96.800	0.000
Phage_NC_048684_1_length_45012_cov_20.444269||full	1.000	0.000	1.000	dsDNAphage	44957	1	30.000	5.000
Phage_NC_048686_1_length_45874_cov_83.447391||full	0.993	0.000	0.993	dsDNAphage	45819	1	34.400	3.300
Phage_NC_050144_1_length_65597_cov_9.998901||full	1.000	0.260	1.000	dsDNAphage	65455	26	97.800	0.000
Phage_NC_049437_1_length_31464_cov_4.033971||full	1.000	0.387	1.000	dsDNAphage	31461	9	97.900	0.000
Phage_NC_049437_2_length_30308_cov_4.332992||full	1.000	0.227	1.000	dsDNAphage	30308	19	96.000	0.000
Phage_NC_049437_3_length_16372_cov_4.512472||full	1.000	0.293	1.000	dsDNAphage	16370	2	88.900	0.000
Phage_NC_049437_4_length_16337_cov_3.797322||full	0.993	0.207	0.993	dsDNAphage	16334	1	90.600	0.000
Phage_NC_049437_5_length_12124_cov_3.844560||full	1.000	0.367	1.000	dsDNAphage	12122	1	90.000	0.000
Phage_NC_049437_6_length_11582_cov_3.642492||full	1.000	0.233	1.000	dsDNAphage	11581	3	100.000	0.000
Phage_NC_049437_7_length_10699_cov_4.700770||full	1.000	0.867	1.000	dsDNAphage	10699	4	100.000	0.000
Phage_NC_049437_8_length_10556_cov_4.299305||full	1.000	0.740	1.000	dsDNAphage	10554	7	100.000	0.000
Phage_NC_049437_9_length_4179_cov_3.270854||full	0.907	0.993	0.993	ssDNA	4135	0	100.000	0.000
Phage_NC_049437_10_length_3914_cov_5.337652||full	1.000	0.687	1.000	dsDNAphage	3910	3	100.000	0.000
Phage_NC_049437_11_length_3236_cov_2.706067||full	1.000	0.960	1.000	dsDNAphage	3057	1	60.000	0.000
Phage_NC_049437_13_length_2391_cov_4.094178||full	0.873	0.987	0.987	ssDNA	2339	0	100.000	0.000
Phage_NC_049439_2_length_1013_cov_1.075157||full	0.993	0.953	0.993	dsDNAphage	986	0	100.000	0.000
Phage_NC_049443_1_length_3389_cov_2.510498||full	0.980	0.833	0.980	dsDNAphage	3386	0	77.800	0.000
Phage_NC_049443_2_length_3107_cov_2.349607||full	1.000	0.980	1.000	dsDNAphage	3103	5	100.000	0.000
Phage_NC_049443_3_length_2886_cov_2.631226||full	1.000	0.973	1.000	dsDNAphage	2880	1	100.000	0.000
Phage_NC_049443_4_length_2831_cov_2.120317||full	0.800	0.960	0.960	ssDNA	2782	0	100.000	0.000
Phage_NC_049443_5_length_2668_cov_1.941064||full	0.980	1.000	1.000	ssDNA	2668	0	100.000	0.000
Phage_NC_049443_6_length_2435_cov_2.076891||full	1.000	1.000	1.000	dsDNAphage	2433	1	100.000	0.000
Phage_NC_049443_7_length_2422_cov_1.421631||full	0.687	0.960	0.960	ssDNA	2404	0	75.000	0.000
Phage_NC_049443_8_length_2391_cov_1.885702||full	1.000	0.973	1.000	dsDNAphage	2391	1	83.300	0.000
Phage_NC_049443_9_length_2314_cov_1.588313||full	0.973	1.000	1.000	ssDNA	2313	0	60.000	0.000
Phage_NC_049443_11_length_2026_cov_1.313546||full	0.987	0.827	0.987	dsDNAphage	1920	2	100.000	0.000
Phage_NC_049443_12_length_1990_cov_1.496124||full	0.980	0.993	0.993	ssDNA	1866	0	100.000	0.000
Phage_NC_049443_13_length_1874_cov_2.594832||full	0.987	0.907	0.987	dsDNAphage	1872	4	83.300	0.000
Phage_NC_049443_15_length_1819_cov_1.801587||full	0.980	0.960	0.980	dsDNAphage	1670	3	100.000	0.000
Phage_NC_049443_16_length_1769_cov_1.609685||full	1.000	1.000	1.000	dsDNAphage	1768	0	100.000	0.000
Phage_NC_049443_17_length_1702_cov_2.099575||full	0.980	1.000	1.000	ssDNA	1700	0	100.000	0.000
Phage_NC_049443_19_length_1534_cov_1.937796||full	0.880	0.993	0.993	ssDNA	1530	0	100.000	0.000
Phage_NC_049443_20_length_1433_cov_1.862845||full	0.940	0.993	0.993	ssDNA	1378	0	100.000	0.000
Phage_NC_049443_22_length_1353_cov_1.570108||full	0.987	1.000	1.000	ssDNA	1350	0	100.000	0.000
Phage_NC_049443_23_length_1284_cov_1.366151||full	0.967	0.980	0.980	ssDNA	1209	0	100.000	0.000
Phage_NC_049443_24_length_1282_cov_1.492258||full	0.987	0.940	0.987	dsDNAphage	1041	0	100.000	0.000
Phage_NC_049443_25_length_1278_cov_1.554374||full	1.000	1.000	1.000	dsDNAphage	946	0	100.000	0.000
Phage_NC_049443_27_length_1226_cov_1.458582||full	0.987	0.967	0.987	dsDNAphage	1222	1	100.000	0.000
Phage_NC_049443_28_length_1206_cov_2.005213||full	0.933	1.000	1.000	ssDNA	1202	0	66.700	0.000
Phage_NC_049443_30_length_1077_cov_1.355186||full	0.973	0.973	0.973	dsDNAphage	1075	0	75.000	0.000
Phage_NC_049443_32_length_1026_cov_2.435633||full	0.867	0.993	0.993	ssDNA	691	0	100.000	0.000
Phage_NC_049444_1_length_70284_cov_11.640562||full	0.993	0.207	0.993	dsDNAphage	70133	4	76.500	0.000
Phage_NC_049451_1_length_34119_cov_20.525892||full	1.000	0.007	1.000	dsDNAphage	34117	20	71.800	5.100
Phage_NC_049460_1_length_29417_cov_7.392208||full	1.000	0.153	1.000	dsDNAphage	29414	12	86.100	0.000
Phage_NC_049465_1_length_48199_cov_53.986374||full	1.000	0.013	1.000	dsDNAphage	47921	8	36.000	4.000
Phage_NC_049466_1_length_53259_cov_14.287008||full	1.000	0.133	1.000	dsDNAphage	52903	12	71.600	1.200
Phage_NC_049467_1_length_4026_cov_2.182322||full	0.960	0.987	0.987	ssDNA	4023	0	66.700	0.000
Phage_NC_049467_2_length_2644_cov_2.120124||full	0.967	0.960	0.967	dsDNAphage	2527	0	71.400	0.000
Phage_NC_049467_3_length_2109_cov_1.744401||full	0.867	0.607	0.867	dsDNAphage	1785	0	28.600	0.000
Phage_NC_049467_4_length_1771_cov_1.445804||full	0.787	1.000	1.000	ssDNA	1768	0	100.000	0.000
Phage_NC_049467_5_length_1749_cov_1.446871||full	0.980	1.000	1.000	ssDNA	1746	0	100.000	0.000
Phage_NC_049467_6_length_1618_cov_1.698656||full	0.933	1.000	1.000	ssDNA	1574	0	66.700	0.000
Phage_NC_049467_9_length_1127_cov_1.751866||full	0.927	1.000	1.000	ssDNA	1116	0	100.000	0.000
Phage_NC_049468_1_length_50764_cov_49.369086||full	1.000	0.047	1.000	dsDNAphage	50610	7	32.900	6.800
Phage_NC_049478_1_length_60039_cov_12.690801||full	0.993	0.060	0.993	dsDNAphage	59968	5	38.200	2.900
