ID,True_Label,Contig_Length,Assigned_TaxID,Predicted_Label
Bacteria_NZ_AP023239_1_length_83250_cov_5.343771,Bacteria,83250,1268072,Bacteria
Bacteria_NZ_AP023239_2_length_73209_cov_5.143437,Bacteria,73209,1268072,Bacteria
Bacteria_NZ_AP023239_3_length_66753_cov_5.658715,Bacteria,66753,1268072,Bacteria
Bacteria_NZ_AP023239_4_length_64374_cov_5.270838,Bacteria,64374,1268072,Bacteria
Bacteria_NZ_AP023239_6_length_59613_cov_5.089224,Bacteria,59613,1268072,Bacteria
Bacteria_NZ_AP023239_7_length_59073_cov_6.037921,Bacteria,59073,1268072,Bacteria
Bacteria_NZ_AP023239_8_length_58887_cov_5.476951,Bacteria,58887,1268072,Bacteria
Bacteria_NZ_AP023239_9_length_57972_cov_5.619110,Bacteria,57972,1268072,Bacteria
Bacteria_NZ_AP023239_10_length_57456_cov_5.181687,Bacteria,57456,1268072,Bacteria
Bacteria_NZ_AP023239_12_length_53376_cov_5.400818,Bacteria,53376,1268072,Bacteria
Bacteria_NZ_AP023239_15_length_45830_cov_5.393687,Bacteria,45830,1268072,Bacteria
Bacteria_NZ_AP023239_16_length_45594_cov_5.734294,Bacteria,45594,1268072,Bacteria
Bacteria_NZ_AP023239_17_length_44895_cov_5.475491,Bacteria,44895,1268072,Bacteria
Bacteria_NZ_AP023239_18_length_42397_cov_5.728071,Bacteria,42397,1268072,Bacteria
Bacteria_NZ_AP023239_19_length_42197_cov_5.090575,Bacteria,42197,1268072,Bacteria
Bacteria_NZ_AP023239_20_length_41791_cov_5.246142,Bacteria,41791,1268072,Bacteria
Bacteria_NZ_AP023239_21_length_40807_cov_5.294121,Bacteria,40807,1268072,Bacteria
Bacteria_NZ_AP023239_22_length_40147_cov_5.233114,Bacteria,40147,1268072,Bacteria
Bacteria_NZ_AP023239_23_length_40078_cov_6.055368,Bacteria,40078,1268072,Bacteria
Bacteria_NZ_AP023239_24_length_39682_cov_5.488783,Bacteria,39682,1268072,Bacteria
Bacteria_NZ_AP023239_25_length_39317_cov_5.182594,Bacteria,39317,1268072,Bacteria
Bacteria_NZ_AP023239_26_length_37981_cov_4.773480,Bacteria,37981,1268072,Bacteria
Bacteria_NZ_AP023239_29_length_36864_cov_5.099731,Bacteria,36864,1268072,Bacteria
Bacteria_NZ_AP023239_30_length_36519_cov_6.415944,Bacteria,36519,1268072,Bacteria
Bacteria_NZ_AP023239_31_length_36461_cov_5.191891,Bacteria,36461,1268072,Bacteria
Bacteria_NZ_AP023239_32_length_36298_cov_5.563888,Bacteria,36298,1268072,Bacteria
Bacteria_NZ_AP023239_33_length_35585_cov_5.574106,Bacteria,35585,1268072,Bacteria
Bacteria_NZ_AP023239_34_length_34944_cov_5.730660,Bacteria,34944,1268072,Bacteria
Bacteria_NZ_AP023239_35_length_34870_cov_5.549505,Bacteria,34870,1268072,Bacteria
Bacteria_NZ_AP023239_36_length_34352_cov_5.479721,Bacteria,34352,1268072,Bacteria
Bacteria_NZ_AP023239_38_length_34030_cov_4.899220,Bacteria,34030,1268072,Bacteria
Bacteria_NZ_AP023239_39_length_33458_cov_5.409125,Bacteria,33458,1268072,Bacteria
Bacteria_NZ_AP023239_40_length_32943_cov_5.272561,Bacteria,32943,1268072,Bacteria
