seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Phage_NC_047859_1_length_108713_cov_13.511394||full	1.000	0.273	1.000	dsDNAphage	108663	14	93.400	0.000
Phage_NC_048135_1_length_39745_cov_108.796170||full	0.987	0.133	0.987	dsDNAphage	39690	11	78.000	0.000
Phage_NC_048849_1_length_174176_cov_23.514395||full	1.000	0.280	1.000	dsDNAphage	174121	50	79.400	1.000
Phage_NC_048852_1_length_108121_cov_72.238123||full	1.000	0.173	1.000	dsDNAphage	108066	15	91.000	0.000
Phage_NC_050144_1_length_65597_cov_147.772238||full	1.000	0.260	1.000	dsDNAphage	65542	26	97.800	0.000
Bacteria_NZ_CP064663_33_length_24407_cov_29.199737||full	0.687	0.013	0.687	dsDNAphage	20697	0	50.000	12.500
Bacteria_NZ_CP064951_1_length_716848_cov_103.847712||0_partial	0.693	0.000	0.693	dsDNAphage	15165	1	21.100	26.300
Bacteria_NZ_CP064951_4_length_166536_cov_105.527291||0_partial	0.833	0.053	0.833	dsDNAphage	11016	1	23.100	23.100
Bacteria_NZ_CP064954_4_length_105681_cov_28.449028||full	0.847	0.000	0.847	dsDNAphage	97979	7	28.700	22.100
Bacteria_NZ_CP064954_64_length_1351_cov_113.608796||full	0.953	1.000	1.000	ssDNA	1265	0	100.000	0.000
Phage_NC_047792_1_length_37814_cov_64.521995||full	0.960	0.020	0.960	dsDNAphage	37795	8	40.700	1.900
Phage_NC_047794_1_length_39518_cov_125.440565||full	0.953	0.013	0.953	dsDNAphage	39518	7	38.200	3.600
Phage_NC_047906_1_length_42881_cov_157.499626||full	1.000	0.047	1.000	dsDNAphage	42749	5	49.200	1.700
Phage_NC_047918_1_length_80977_cov_18.397432||full	0.993	0.020	0.993	dsDNAphage	80296	9	41.500	1.600
Phage_NC_047933_1_length_43170_cov_121.310727||full	0.993	0.227	0.993	dsDNAphage	42928	9	63.000	0.000
Phage_NC_048009_1_length_2435_cov_2.551681||full	1.000	0.980	1.000	dsDNAphage	2318	2	100.000	0.000
Phage_NC_048009_2_length_2382_cov_2.174044||full	0.947	0.993	0.993	ssDNA	2378	0	100.000	0.000
Phage_NC_048009_3_length_2250_cov_2.338041||full	0.993	0.993	0.993	dsDNAphage	2202	0	66.700	0.000
Phage_NC_048009_4_length_2160_cov_2.214252||full	0.973	0.980	0.980	ssDNA	2160	0	75.000	0.000
Phage_NC_048009_6_length_1888_cov_1.948718||full	0.800	0.993	0.993	ssDNA	1832	0	60.000	0.000
Phage_NC_048009_7_length_1826_cov_1.735743||full	0.993	0.967	0.993	dsDNAphage	1092	0	100.000	0.000
Phage_NC_048009_8_length_1672_cov_2.082870||full	0.813	0.967	0.967	ssDNA	1669	0	100.000	0.000
Phage_NC_048009_9_length_1595_cov_1.675974||full	0.947	1.000	1.000	ssDNA	1593	0	66.700	0.000
Phage_NC_048009_10_length_1490_cov_2.367944||full	0.973	0.953	0.973	dsDNAphage	1488	0	100.000	0.000
Phage_NC_048009_11_length_1460_cov_1.456940||full	1.000	0.947	1.000	dsDNAphage	1457	0	100.000	0.000
Phage_NC_048009_12_length_1399_cov_2.505952||full	0.980	1.000	1.000	ssDNA	1389	0	100.000	0.000
Phage_NC_048009_13_length_1352_cov_1.818813||full	0.973	0.993	0.993	ssDNA	1242	0	100.000	0.000
Phage_NC_048009_14_length_1312_cov_1.498011||full	0.780	0.993	0.993	ssDNA	1310	0	66.700	0.000
Phage_NC_048009_15_length_1239_cov_2.302365||full	0.667	0.360	0.667	dsDNAphage	1236	0	66.700	0.000
Phage_NC_048009_19_length_1070_cov_2.283744||full	1.000	0.980	1.000	dsDNAphage	610	0	100.000	0.000
Phage_NC_048009_20_length_1065_cov_2.253465||full	0.967	0.933	0.967	dsDNAphage	886	1	50.000	0.000
Phage_NC_048009_21_length_1018_cov_2.067497||full	0.920	1.000	1.000	ssDNA	1016	0	100.000	0.000
Phage_NC_048009_22_length_1013_cov_1.691023||full	0.760	0.927	0.927	ssDNA	1013	0	66.700	0.000
Phage_NC_048062_1_length_114219_cov_46.226402||full	1.000	0.153	1.000	dsDNAphage	114116	15	91.300	0.000
Phage_NC_048085_1_length_131652_cov_16.578387||full	1.000	0.020	1.000	dsDNAphage	130421	18	45.800	1.800
Phage_NC_048085_2_length_8772_cov_15.779397||full	0.980	0.600	0.980	dsDNAphage	8771	4	60.000	0.000
Phage_NC_048096_1_length_44089_cov_94.441636||full	1.000	0.047	1.000	dsDNAphage	44037	5	34.800	0.000
Phage_NC_048110_1_length_25058_cov_4.985002||full	0.980	0.147	0.980	dsDNAphage	24803	0	83.300	0.000
Phage_NC_048110_2_length_24364_cov_5.111893||full	1.000	0.240	1.000	dsDNAphage	24329	1	92.300	0.000
Phage_NC_048110_3_length_19162_cov_5.164861||full	1.000	0.307	1.000	dsDNAphage	19094	1	95.500	0.000
Phage_NC_048110_4_length_17431_cov_4.352037||full	0.960	0.320	0.960	dsDNAphage	17377	0	81.100	0.000
Phage_NC_048110_5_length_8326_cov_4.666425||full	1.000	0.967	1.000	dsDNAphage	8322	4	100.000	0.000
Phage_NC_048110_6_length_6990_cov_5.313194||full	1.000	0.287	1.000	dsDNAphage	6990	4	83.300	0.000
