seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Phage_NC_047859_1_length_108713_cov_18.116540||full	1.000	0.280	1.000	dsDNAphage	108663	14	92.800	0.000
Phage_NC_048681_1_length_38570_cov_117.106608||full	1.000	0.140	1.000	dsDNAphage	38456	11	88.500	0.000
Phage_NC_048849_1_length_174176_cov_30.910005||full	1.000	0.280	1.000	dsDNAphage	174121	50	79.400	1.000
Phage_NC_048852_1_length_108121_cov_56.242380||full	1.000	0.173	1.000	dsDNAphage	108018	15	91.000	0.000
Phage_NC_050144_1_length_65597_cov_20.697064||full	1.000	0.260	1.000	dsDNAphage	65542	26	97.800	0.000
Prophage_NZ_AP023189_4_length_6019_cov_3.711100||full	1.000	0.253	1.000	dsDNAphage	5970	3	62.500	0.000
Prophage_NZ_AP023189_62_length_3272_cov_3.268573||full	0.993	0.087	0.993	dsDNAphage	3201	2	42.900	0.000
Prophage_NZ_AP023189_83_length_3105_cov_2.905574||full	0.713	0.453	0.713	dsDNAphage	3104	0	20.000	0.000
Bacteria_NZ_AP023189_104_length_2951_cov_2.357735||full	0.600	0.380	0.600	dsDNAphage	2761	0	14.300	0.000
Bacteria_NZ_AP023189_113_length_2853_cov_1.995354||full	0.333	0.960	0.960	ssDNA	2831	0	50.000	0.000
Bacteria_NZ_AP023189_122_length_2776_cov_2.180081||full	1.000	0.820	1.000	dsDNAphage	2775	1	66.700	0.000
Bacteria_NZ_AP023189_127_length_2738_cov_2.360417||full	1.000	0.973	1.000	dsDNAphage	2597	1	80.000	0.000
Bacteria_NZ_AP023189_133_length_2706_cov_2.183327||full	0.640	0.533	0.640	dsDNAphage	2703	0	20.000	0.000
Bacteria_NZ_AP023189_135_length_2691_cov_2.715857||full	0.953	0.247	0.953	dsDNAphage	2682	0	57.100	14.300
Bacteria_NZ_AP023189_188_length_2514_cov_1.756812||full	0.600	0.053	0.600	dsDNAphage	2202	0	20.000	0.000
Prophage_NZ_AP023189_220_length_2368_cov_1.923044||full	0.947	0.660	0.947	dsDNAphage	2366	0	60.000	0.000
Prophage_NZ_AP023189_267_length_2230_cov_3.481379||full	0.987	0.820	0.987	dsDNAphage	2229	2	66.700	0.000
Bacteria_NZ_AP023189_293_length_2174_cov_2.831996||full	0.613	0.013	0.613	dsDNAphage	2171	1	20.000	0.000
Prophage_NZ_AP023189_386_length_1975_cov_2.330729||full	0.780	0.453	0.780	dsDNAphage	1974	0	75.000	0.000
Prophage_NZ_AP023189_428_length_1898_cov_3.232230||full	0.767	0.900	0.900	ssDNA	1844	0	100.000	0.000
Bacteria_NZ_AP023189_478_length_1826_cov_2.014681||full	0.627	0.147	0.627	dsDNAphage	1824	0	66.700	0.000
Bacteria_NZ_AP023189_505_length_1792_cov_6.379390||full	0.960	0.873	0.960	dsDNAphage	1514	0	66.700	0.000
Prophage_NZ_AP023189_510_length_1790_cov_2.153314||full	0.987	0.993	0.993	ssDNA	1784	0	66.700	0.000
Prophage_NZ_AP023189_575_length_1714_cov_1.489451||full	0.840	0.733	0.840	dsDNAphage	1619	0	50.000	0.000
