ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Bacteria_NZ_AP021972_131_length_6429_cov_3_365548,1,Viruses,Bacteria,6429
VIRSorter_Bacteria_NZ_AP021972_140_length_6323_cov_3_389279,1,Viruses,Bacteria,6323
VIRSorter_Bacteria_NZ_AP021972_14_length_11136_cov_3_931234,1,Viruses,Bacteria,11136
VIRSorter_Bacteria_NZ_AP021972_280_length_4656_cov_3_069333,1,Viruses,Bacteria,4656
VIRSorter_Bacteria_NZ_AP021972_290_length_4558_cov_2_012880,1,Viruses,Bacteria,4558
VIRSorter_Bacteria_NZ_AP021972_295_length_4531_cov_3_086238,1,Viruses,Bacteria,4531
VIRSorter_Bacteria_NZ_AP021972_336_length_4285_cov_3_139007,1,Viruses,Bacteria,4285
VIRSorter_Bacteria_NZ_AP021972_379_length_3949_cov_3_734206,1,Viruses,Bacteria,3949
VIRSorter_Bacteria_NZ_AP021972_769_length_2202_cov_2_717746,1,Viruses,Bacteria,2202
VIRSorter_Bacteria_NZ_AP022020_218_length_3092_cov_2_684886,1,Viruses,Bacteria,3092
VIRSorter_Bacteria_NZ_AP022020_227_length_3054_cov_1_695565,1,Viruses,Bacteria,3054
VIRSorter_Bacteria_NZ_AP022020_359_length_2519_cov_2_056006,1,Viruses,Bacteria,2519
VIRSorter_Bacteria_NZ_AP022020_415_length_2342_cov_1_969392,1,Viruses,Bacteria,2342
VIRSorter_Bacteria_NZ_AP022057_176_length_1881_cov_2_328039,1,Viruses,Bacteria,1881
VIRSorter_Bacteria_NZ_AP022189_129_length_3663_cov_2_253326,1,Viruses,Bacteria,3663
VIRSorter_Bacteria_NZ_AP022189_60_length_4668_cov_2_477347,1,Viruses,Bacteria,4668
VIRSorter_Bacteria_NZ_AP022195_99_length_1647_cov_1_252513,1,Viruses,Bacteria,1647
VIRSorter_Bacteria_NZ_AP022201_154_length_10165_cov_4_394263,1,Viruses,Bacteria,10165
VIRSorter_Bacteria_NZ_AP022201_161_length_9994_cov_5_074555,1,Viruses,Bacteria,9994
VIRSorter_Bacteria_NZ_AP022201_271_length_6546_cov_4_273918,1,Viruses,Bacteria,6546
VIRSorter_Bacteria_NZ_AP022201_472_length_2979_cov_3_905267,1,Viruses,Bacteria,2979
VIRSorter_Bacteria_NZ_AP022201_599_length_1562_cov_2_413404,1,Viruses,Bacteria,1562
VIRSorter_Bacteria_NZ_AP022201_65_length_15009_cov_4_059248,1,Viruses,Bacteria,15009
VIRSorter_Bacteria_NZ_CP016180_79_length_3488_cov_8_616953,1,Viruses,Bacteria,3488
VIRSorter_Bacteria_NZ_CP034105_19_length_8278_cov_3_402651,1,Viruses,Bacteria,8278
VIRSorter_Bacteria_NZ_CP034105_371_length_2980_cov_3_668376,1,Viruses,Bacteria,2980
VIRSorter_Bacteria_NZ_CP040586_116_length_4004_cov_3_549000,1,Viruses,Bacteria,4004
VIRSorter_Bacteria_NZ_CP043571_1176_length_1199_cov_1_602273,1,Viruses,Bacteria,1199
VIRSorter_Bacteria_NZ_CP043571_907_length_1516_cov_1_791239,1,Viruses,Bacteria,1516
VIRSorter_Bacteria_NZ_CP044546_409_length_5044_cov_3_573462,1,Viruses,Bacteria,5044
VIRSorter_Bacteria_NZ_CP045554_61_length_3570_cov_2_825320,1,Viruses,Bacteria,3570
VIRSorter_Bacteria_NZ_CP051218_173_length_3246_cov_2_488562,1,Viruses,Bacteria,3246
VIRSorter_Bacteria_NZ_CP051218_298_length_2659_cov_2_011905,1,Viruses,Bacteria,2659
VIRSorter_Bacteria_NZ_CP051218_310_length_2621_cov_2_627825,1,Viruses,Bacteria,2621
VIRSorter_Bacteria_NZ_CP053609_200_length_5685_cov_3_751510,1,Viruses,Bacteria,5685
VIRSorter_Bacteria_NZ_CP053609_241_length_4666_cov_3_296682,1,Viruses,Bacteria,4666
VIRSorter_Bacteria_NZ_CP053609_254_length_4366_cov_3_924379,1,Viruses,Bacteria,4366
VIRSorter_Bacteria_NZ_CP053688_186_length_9120_cov_4_639823,1,Viruses,Bacteria,9120
VIRSorter_Bacteria_NZ_CP053928_494_length_2467_cov_3_116086,1,Viruses,Bacteria,2467
VIRSorter_Bacteria_NZ_CP053928_91_length_5029_cov_2_437274,1,Viruses,Bacteria,5029
VIRSorter_Bacteria_NZ_CP054572_572_length_2057_cov_2_549950,1,Viruses,Bacteria,2057
VIRSorter_Bacteria_NZ_CP054880_1053_length_2051_cov_3_930361,1,Viruses,Bacteria,2051
VIRSorter_Bacteria_NZ_CP054880_140_length_7803_cov_3_537816,1,Viruses,Bacteria,7803
VIRSorter_Bacteria_NZ_CP054880_310_length_5391_cov_2_979198,1,Viruses,Bacteria,5391
VIRSorter_Bacteria_NZ_CP054880_973_length_2295_cov_2_924107,1,Viruses,Bacteria,2295
VIRSorter_Bacteria_NZ_CP056118_38_length_5951_cov_3_309193,1,Viruses,Bacteria,5951
VIRSorter_Bacteria_NZ_CP056118_63_length_5238_cov_3_286514,1,Viruses,Bacteria,5238
VIRSorter_Bacteria_NZ_CP056393_161_length_1692_cov_1_533903,1,Viruses,Bacteria,1692
VIRSorter_Bacteria_NZ_CP056393_336_length_1355_cov_1_802308,1,Viruses,Bacteria,1355
VIRSorter_Bacteria_NZ_CP056393_3_length_3407_cov_2_110084,1,Viruses,Bacteria,3407
VIRSorter_Bacteria_NZ_CP057782_96_length_2643_cov_3_007342,1,Viruses,Bacteria,2643
VIRSorter_Bacteria_NZ_CP058556_1093_length_1947_cov_3_327167,1,Viruses,Bacteria,1947
VIRSorter_Bacteria_NZ_CP058556_497_length_3003_cov_2_804613,1,Viruses,Bacteria,3003
VIRSorter_Bacteria_NZ_CP058556_650_length_2675_cov_3_142748,1,Viruses,Bacteria,2675
VIRSorter_Bacteria_NZ_CP059569_100_length_9033_cov_4_982513,1,Viruses,Bacteria,9033
VIRSorter_Bacteria_NZ_CP059571_118_length_6169_cov_4_649493,1,Viruses,Bacteria,6169
VIRSorter_Bacteria_NZ_CP059603_177_length_2411_cov_2_132428,1,Viruses,Bacteria,2411
VIRSorter_Bacteria_NZ_CP059603_58_length_3604_cov_3_767540,1,Viruses,Bacteria,3604
VIRSorter_Bacteria_NZ_CP060192_173_length_1124_cov_1_396632,1,Viruses,Bacteria,1124
VIRSorter_Bacteria_NZ_CP060414_140_length_6467_cov_4_301934,1,Viruses,Bacteria,6467
VIRSorter_Bacteria_NZ_CP061032_193_length_3420_cov_2_865973,1,Viruses,Bacteria,3420
VIRSorter_Bacteria_NZ_CP061801_362_length_2156_cov_2_330795,1,Viruses,Bacteria,2156
VIRSorter_Bacteria_NZ_CP063780_194_length_2731_cov_2_457773,1,Viruses,Bacteria,2731
VIRSorter_Bacteria_NZ_CP063780_691_length_1691_cov_1_575795,1,Viruses,Bacteria,1691
VIRSorter_Bacteria_NZ_CP064056_62_length_1890_cov_2_494278,1,Viruses,Bacteria,1890
VIRSorter_Bacteria_NZ_CP064056_63_length_1890_cov_1_954768,1,Viruses,Bacteria,1890
VIRSorter_Bacteria_NZ_CP064661_152_length_9155_cov_4_780110,1,Viruses,Bacteria,9155
VIRSorter_Bacteria_NZ_CP064661_284_length_6247_cov_3_879037,1,Viruses,Bacteria,6247
VIRSorter_Bacteria_NZ_CP064661_323_length_5354_cov_3_731081,1,Viruses,Bacteria,5354
VIRSorter_Bacteria_NZ_CP064661_521_length_2671_cov_3_178517,1,Viruses,Bacteria,2671
VIRSorter_Bacteria_NZ_CP064661_58_length_14302_cov_3_819471,1,Viruses,Bacteria,14302
VIRSorter_Bacteria_NZ_CP064661_70_length_13811_cov_4_742367,1,Viruses,Bacteria,13811
VIRSorter_Bacteria_NZ_CP064663_230_length_4052_cov_2_437078,1,Viruses,Bacteria,4052
VIRSorter_Bacteria_NZ_CP064663_43_length_7038_cov_3_087641,1,Viruses,Bacteria,7038
VIRSorter_Bacteria_NZ_CP064663_481_length_2744_cov_3_052436,1,Viruses,Bacteria,2744
VIRSorter_Bacteria_NZ_CP064663_894_length_1640_cov_2_078864,1,Viruses,Bacteria,1640
VIRSorter_Bacteria_NZ_CP064666_150_length_10804_cov_4_278258,1,Viruses,Bacteria,10804
VIRSorter_Bacteria_NZ_CP064674_115_length_3790_cov_6_822222,1,Viruses,Bacteria,3790
VIRSorter_Bacteria_NZ_CP065211_153_length_6052_cov_3_817242,1,Viruses,Bacteria,6052
VIRSorter_Bacteria_NZ_CP065211_167_length_5831_cov_3_810422,1,Viruses,Bacteria,5831
VIRSorter_Bacteria_NZ_CP065211_215_length_4407_cov_3_565487,1,Viruses,Bacteria,4407
VIRSorter_Phage_NC_047764_3_length_5719_cov_3_310028,1,Viruses,Phage,5719
VIRSorter_Phage_NC_047766_1_length_27476_cov_45_366070,1,Viruses,Phage,27476
VIRSorter_Phage_NC_047766_2_length_11433_cov_42_553700,1,Viruses,Phage,11433
VIRSorter_Phage_NC_047773_1_length_40983_cov_8_256744,1,Viruses,Phage,40983
VIRSorter_Phage_NC_047781_1_length_41680_cov_13_629790,1,Viruses,Phage,41680
VIRSorter_Phage_NC_047783_10_length_1286_cov_1_399675,1,Viruses,Phage,1286
VIRSorter_Phage_NC_047783_2_length_4248_cov_2_376819,1,Viruses,Phage,4248
VIRSorter_Phage_NC_047796_11_length_4183_cov_4_179990,1,Viruses,Phage,4183
VIRSorter_Phage_NC_047796_16_length_3520_cov_4_456277,1,Viruses,Phage,3520
VIRSorter_Phage_NC_047796_21_length_2268_cov_3_358337,1,Viruses,Phage,2268
VIRSorter_Phage_NC_047796_5_length_10735_cov_4_031367,1,Viruses,Phage,10735
VIRSorter_Phage_NC_047798_1_length_41100_cov_7_296553,1,Viruses,Phage,41100
