ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Bacteria_NZ_CP054128_903_length_1487_cov_2_363827,1,Viruses,Bacteria,1487
VIRSorter_Bacteria_NZ_CP057147_132_length_14666_cov_5_405585,1,Viruses,Bacteria,14666
VIRSorter_Bacteria_NZ_CP057147_177_length_10084_cov_5_218865,1,Viruses,Bacteria,10084
VIRSorter_Bacteria_NZ_CP058556_1065_length_1565_cov_2_405960,1,Viruses,Bacteria,1565
VIRSorter_Bacteria_NZ_CP058556_312_length_2675_cov_2_870611,1,Viruses,Bacteria,2675
VIRSorter_Bacteria_NZ_CP058556_695_length_1947_cov_2_812368,1,Viruses,Bacteria,1947
VIRSorter_Bacteria_NZ_CP062165_589_length_1027_cov_1_550412,1,Viruses,Bacteria,1027
VIRSorter_Bacteria_NZ_CP062165_67_length_2047_cov_3_432731,1,Viruses,Bacteria,2047
VIRSorter_Bacteria_NZ_CP062165_9_length_2757_cov_2_766099,1,Viruses,Bacteria,2757
VIRSorter_Phage_NC_047826_1_length_40050_cov_79_906988-circular,1,Viruses,Phage,40050
VIRSorter_Phage_NC_047952_1_length_42924_cov_109_377149-circular,1,Viruses,Phage,42924
VIRSorter_Phage_NC_047967_1_length_15425_cov_39_112167,1,Viruses,Phage,15425
VIRSorter_Phage_NC_047967_2_length_9292_cov_45_561221,1,Viruses,Phage,9292
VIRSorter_Phage_NC_047967_5_length_2738_cov_42_424898,1,Viruses,Phage,2738
VIRSorter_Phage_NC_047997_1_length_40699_cov_50_501058-circular,1,Viruses,Phage,40699
VIRSorter_Phage_NC_048155_1_length_41261_cov_190_197762,1,Viruses,Phage,41261
VIRSorter_Phage_NC_048200_1_length_40274_cov_51_278475-circular,1,Viruses,Phage,40274
VIRSorter_Phage_NC_048628_1_length_42908_cov_66_531351,1,Viruses,Phage,42908
VIRSorter_Phage_NC_048652_3_length_18894_cov_5_045915,1,Viruses,Phage,18894
VIRSorter_Phage_NC_048689_1_length_40610_cov_509_258735,1,Viruses,Phage,40610
VIRSorter_Phage_NC_048692_1_length_42262_cov_72_554458,1,Viruses,Phage,42262
VIRSorter_Phage_NC_049962_1_length_27202_cov_489_612333,1,Viruses,Phage,27202
VIRSorter_Phage_NC_049965_1_length_19103_cov_278_735038,1,Viruses,Phage,19103
VIRSorter_Phage_NC_050146_1_length_65429_cov_82_862392-circular,1,Viruses,Phage,65429
VIRSorter_Phage_NC_050148_1_length_66608_cov_8_928418,1,Viruses,Phage,66608
VIRSorter_Bacteria_NZ_AP023239_116_length_17871_cov_5_827739,2,Viruses,Bacteria,17871
VIRSorter_Bacteria_NZ_AP023239_258_length_4017_cov_4_351338,2,Viruses,Bacteria,4017
VIRSorter_Bacteria_NZ_AP023239_62_length_27055_cov_5_130333,2,Viruses,Bacteria,27055
VIRSorter_Bacteria_NZ_CP030846_10_length_75774_cov_9_831733,2,Viruses,Bacteria,75774
VIRSorter_Bacteria_NZ_CP033364_5_length_8602_cov_2_623962,2,Viruses,Bacteria,8602
VIRSorter_Bacteria_NZ_CP051190_514_length_3389_cov_2_353629,2,Viruses,Bacteria,3389
VIRSorter_Bacteria_NZ_CP051190_714_length_2459_cov_3_223378,2,Viruses,Bacteria,2459
VIRSorter_Bacteria_NZ_CP051293_1056_length_1998_cov_2_134843,2,Viruses,Bacteria,1998
VIRSorter_Bacteria_NZ_CP051293_235_length_4454_cov_3_260059,2,Viruses,Bacteria,4454
VIRSorter_Bacteria_NZ_CP051293_444_length_3330_cov_3_998168,2,Viruses,Bacteria,3330
VIRSorter_Bacteria_NZ_CP051293_880_length_2296_cov_2_194556,2,Viruses,Bacteria,2296
VIRSorter_Bacteria_NZ_CP053346_485_length_3738_cov_2_869671,2,Viruses,Bacteria,3738
VIRSorter_Bacteria_NZ_CP056834_67_length_3206_cov_6_567122,2,Viruses,Bacteria,3206
VIRSorter_Bacteria_NZ_CP056899_47_length_21330_cov_13_696122,2,Viruses,Bacteria,21330
VIRSorter_Bacteria_NZ_CP057147_140_length_13959_cov_5_081559,2,Viruses,Bacteria,13959
VIRSorter_Bacteria_NZ_CP057147_242_length_5529_cov_5_674826,2,Viruses,Bacteria,5529
VIRSorter_Bacteria_NZ_CP058556_1591_length_1128_cov_2_434296,2,Viruses,Bacteria,1128
VIRSorter_Bacteria_NZ_CP058556_638_length_2008_cov_2_614439,2,Viruses,Bacteria,2008
VIRSorter_Bacteria_NZ_CP061378_26_length_21517_cov_4_076694,2,Viruses,Bacteria,21517
VIRSorter_Bacteria_NZ_CP061378_681_length_3608_cov_3_555305,2,Viruses,Bacteria,3608
VIRSorter_Bacteria_NZ_CP063373_471_length_2985_cov_2_370307,2,Viruses,Bacteria,2985
VIRSorter_Phage_NC_047738_1_length_42987_cov_29_647419-circular,2,Viruses,Phage,42987
VIRSorter_Phage_NC_047793_1_length_38401_cov_33_719423,2,Viruses,Phage,38401
VIRSorter_Phage_NC_047795_1_length_40759_cov_61_366426,2,Viruses,Phage,40759
VIRSorter_Phage_NC_047870_1_length_45943_cov_45_471561,2,Viruses,Phage,45943
VIRSorter_Phage_NC_047873_1_length_39202_cov_26_671801,2,Viruses,Phage,39202
VIRSorter_Phage_NC_047894_1_length_47822_cov_25_084661,2,Viruses,Phage,47822
VIRSorter_Phage_NC_047904_1_length_42534_cov_62_681207,2,Viruses,Phage,42534
