seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Phage_NC_048650_1_length_112357_cov_126.907366||full	1.000	0.027	1.000	dsDNAphage	112302	8	33.000	2.800
Bacteria_NZ_CP040586_2_length_291891_cov_243.981880||0_partial	0.960	0.000	0.960	dsDNAphage	86614	15	33.600	19.600
Bacteria_NZ_CP040586_3_length_182205_cov_243.335355||0_partial	0.833	0.000	0.833	dsDNAphage	12277	1	33.300	16.700
Bacteria_NZ_CP040586_28_length_14110_cov_255.875987||full	0.633	0.087	0.633	dsDNAphage	13463	0	75.000	12.500
Prophage_NZ_CP045702_20_length_138241_cov_14.496881||0_partial	0.960	0.067	0.960	dsDNAphage	53825	8	58.700	17.500
Bacteria_NZ_CP045702_24_length_122012_cov_14.022754||full	0.860	0.000	0.860	dsDNAphage	114362	12	40.000	18.000
Bacteria_NZ_CP045702_30_length_80786_cov_14.176425||0_partial	0.780	0.000	0.780	dsDNAphage	38745	4	19.400	27.800
Bacteria_NZ_CP053707_5_length_282678_cov_216.882426||0_partial	0.927	0.000	0.927	dsDNAphage	10885	1	5.000	10.000
Bacteria_NZ_CP053841_1_length_417937_cov_38.694158||0_partial	0.973	0.000	0.973	dsDNAphage	16952	4	46.200	11.500
Bacteria_NZ_CP053841_2_length_392622_cov_38.796343||0_partial	0.813	0.000	0.813	dsDNAphage	15312	3	15.400	38.500
Bacteria_NZ_CP053841_8_length_83778_cov_39.765799||0_partial	0.913	0.000	0.913	dsDNAphage	30135	7	52.000	24.000
Bacteria_NZ_CP053841_17_length_2591_cov_41.514984||full	0.987	0.873	0.987	dsDNAphage	2304	0	100.000	0.000
Bacteria_NZ_CP053929_2_length_728555_cov_32.190148||0_partial	0.880	0.000	0.880	dsDNAphage	12182	1	12.500	16.700
Bacteria_NZ_CP053929_9_length_261923_cov_31.888005||0_partial	0.953	0.013	0.953	dsDNAphage	34045	12	43.800	31.200
Bacteria_NZ_CP053929_42_length_2289_cov_79.677261||full	0.860	0.760	0.860	dsDNAphage	1974	0	50.000	0.000
Bacteria_NZ_CP054920_5_length_515754_cov_15.068288||0_partial	0.913	0.000	0.913	dsDNAphage	26700	4	31.200	6.200
