ID,Predicted_Label,Contig_Length,True_Label
Bacteria_NZ_AP023239_1_length_301536_cov_10.753729,negative,301536,Bacteria
Bacteria_NZ_AP023239_2_length_275099_cov_10.026530,negative,275099,Bacteria
Bacteria_NZ_AP023239_3_length_268959_cov_10.146205,negative,268959,Bacteria
Bacteria_NZ_AP023239_4_length_238762_cov_9.841793,negative,238762,Bacteria
Bacteria_NZ_AP023239_5_length_190046_cov_9.931118,negative,190046,Bacteria
Bacteria_NZ_AP023239_6_length_175935_cov_10.151728,negative,175935,Bacteria
Bacteria_NZ_AP023239_7_length_154121_cov_10.425649,negative,154121,Bacteria
Bacteria_NZ_AP023239_8_length_146804_cov_10.062297,negative,146804,Bacteria
Bacteria_NZ_AP023239_9_length_145242_cov_10.170773,negative,145242,Bacteria
Bacteria_NZ_AP023239_10_length_145126_cov_9.796079,phage,145126,Bacteria
Bacteria_NZ_AP023239_11_length_140226_cov_9.852402,negative,140226,Bacteria
Bacteria_NZ_AP023239_12_length_139823_cov_11.276973,negative,139823,Bacteria
Bacteria_NZ_AP023239_13_length_136329_cov_10.064488,negative,136329,Bacteria
Bacteria_NZ_AP023239_14_length_130902_cov_10.120706,negative,130902,Bacteria
Bacteria_NZ_AP023239_15_length_117070_cov_9.469154,negative,117070,Bacteria
Bacteria_NZ_AP023239_16_length_114964_cov_10.276393,negative,114964,Bacteria
Bacteria_NZ_AP023239_17_length_112819_cov_10.310356,negative,112819,Bacteria
Bacteria_NZ_AP023239_18_length_101886_cov_9.883326,negative,101886,Bacteria
Bacteria_NZ_AP023239_19_length_98834_cov_9.595380,negative,98834,Bacteria
Bacteria_NZ_AP023239_20_length_95816_cov_9.672988,negative,95816,Bacteria
Bacteria_NZ_AP023239_21_length_92362_cov_9.583098,negative,92362,Bacteria
Bacteria_NZ_AP023239_22_length_84599_cov_10.240396,negative,84599,Bacteria
Bacteria_NZ_AP023239_23_length_83818_cov_9.811946,negative,83818,Bacteria
Bacteria_NZ_AP023239_24_length_80684_cov_9.851121,negative,80684,Bacteria
Bacteria_NZ_AP023239_25_length_77580_cov_10.463837,negative,77580,Bacteria
Bacteria_NZ_AP023239_26_length_76862_cov_9.813754,negative,76862,Bacteria
Bacteria_NZ_AP023239_27_length_75055_cov_10.615467,negative,75055,Bacteria
Bacteria_NZ_AP023239_28_length_74565_cov_9.742155,negative,74565,Bacteria
Bacteria_NZ_AP023239_29_length_70825_cov_10.141430,negative,70825,Bacteria
Bacteria_NZ_AP023239_30_length_70676_cov_10.114456,negative,70676,Bacteria
Bacteria_NZ_AP023239_31_length_65454_cov_10.059160,negative,65454,Bacteria
Bacteria_NZ_AP023239_32_length_65452_cov_10.074117,negative,65452,Bacteria
Bacteria_NZ_AP023239_33_length_63976_cov_10.390185,negative,63976,Bacteria
Bacteria_NZ_AP023239_34_length_62309_cov_9.320799,negative,62309,Bacteria
Bacteria_NZ_AP023239_35_length_60561_cov_9.338016,negative,60561,Bacteria
Bacteria_NZ_AP023239_36_length_58080_cov_10.322688,negative,58080,Bacteria
Bacteria_NZ_AP023239_37_length_55892_cov_9.441553,negative,55892,Bacteria
Bacteria_NZ_AP023239_38_length_55278_cov_9.994912,negative,55278,Bacteria
Bacteria_NZ_AP023239_39_length_54466_cov_10.129441,negative,54466,Bacteria
Bacteria_NZ_AP023239_40_length_51947_cov_10.198027,negative,51947,Bacteria
Bacteria_NZ_AP023239_41_length_51751_cov_10.140804,negative,51751,Bacteria
Bacteria_NZ_AP023239_42_length_50407_cov_9.591814,negative,50407,Bacteria
Bacteria_NZ_AP023239_43_length_49800_cov_10.775636,negative,49800,Bacteria
Bacteria_NZ_AP023239_44_length_42967_cov_9.988511,negative,42967,Bacteria
Bacteria_NZ_AP023239_45_length_42871_cov_10.384389,negative,42871,Bacteria
Bacteria_NZ_AP023239_46_length_41791_cov_10.437919,negative,41791,Bacteria
Bacteria_NZ_AP023239_47_length_41609_cov_11.537421,negative,41609,Bacteria
Bacteria_NZ_AP023239_48_length_39774_cov_9.900048,negative,39774,Bacteria
Bacteria_NZ_AP023239_49_length_37307_cov_9.958230,negative,37307,Bacteria
Bacteria_NZ_AP023239_50_length_36021_cov_9.045793,negative,36021,Bacteria
Bacteria_NZ_AP023239_51_length_30293_cov_10.172234,negative,30293,Bacteria
Bacteria_NZ_AP023239_52_length_30027_cov_10.015748,negative,30027,Bacteria
Bacteria_NZ_AP023239_53_length_28608_cov_9.997899,negative,28608,Bacteria
Bacteria_NZ_AP023239_54_length_27374_cov_14.683883,negative,27374,Bacteria
Bacteria_NZ_AP023239_55_length_24067_cov_9.791271,negative,24067,Bacteria
Bacteria_NZ_AP023239_56_length_22293_cov_10.664718,negative,22293,Bacteria
Bacteria_NZ_AP023239_57_length_21692_cov_9.612516,negative,21692,Bacteria
Bacteria_NZ_AP023239_58_length_20543_cov_9.156482,negative,20543,Bacteria
Bacteria_NZ_AP023239_59_length_19984_cov_9.369662,negative,19984,Bacteria
Bacteria_NZ_AP023239_60_length_19329_cov_9.164782,negative,19329,Bacteria
Bacteria_NZ_AP023239_61_length_19019_cov_10.133094,negative,19019,Bacteria
Bacteria_NZ_AP023239_62_length_17526_cov_9.330719,negative,17526,Bacteria
Bacteria_NZ_AP023239_63_length_14225_cov_13.489767,negative,14225,Bacteria
Bacteria_NZ_AP023239_64_length_13905_cov_9.898123,negative,13905,Bacteria
Bacteria_NZ_AP023239_65_length_11952_cov_9.405144,negative,11952,Bacteria
Bacteria_NZ_AP023239_66_length_11694_cov_9.121918,negative,11694,Bacteria
Bacteria_NZ_AP023239_67_length_11268_cov_10.957728,negative,11268,Bacteria
Bacteria_NZ_AP023239_68_length_10915_cov_11.152026,negative,10915,Bacteria
Bacteria_NZ_AP023239_69_length_9208_cov_19.580465,negative,9208,Bacteria
Bacteria_NZ_AP023239_70_length_9174_cov_10.517930,negative,9174,Bacteria
Bacteria_NZ_AP023239_71_length_8724_cov_10.111547,negative,8724,Bacteria
Bacteria_NZ_AP023239_72_length_8299_cov_10.631853,negative,8299,Bacteria
Bacteria_NZ_AP023239_73_length_7212_cov_8.436077,negative,7212,Bacteria
Bacteria_NZ_AP023239_74_length_6508_cov_10.166124,negative,6508,Bacteria
Bacteria_NZ_AP023239_75_length_6072_cov_9.849094,negative,6072,Bacteria
Bacteria_NZ_AP023239_76_length_1942_cov_38.549550,phage,1942,Bacteria
Bacteria_NZ_AP023239_77_length_1897_cov_93.361564,negative,1897,Bacteria
Bacteria_NZ_AP023239_78_length_1701_cov_44.766100,negative,1701,Bacteria
Bacteria_NZ_AP023239_79_length_1602_cov_104.564964,negative,1602,Bacteria
Bacteria_NZ_AP023239_80_length_1547_cov_56.183646,negative,1547,Bacteria
Bacteria_NZ_AP023239_81_length_1543_cov_8.643817,negative,1543,Bacteria
Bacteria_NZ_AP023239_82_length_1351_cov_91.633488,phage,1351,Bacteria
Bacteria_NZ_AP023239_83_length_1237_cov_12.292724,negative,1237,Bacteria
Bacteria_NZ_AP023239_84_length_1227_cov_72.341297,negative,1227,Bacteria
Bacteria_NZ_AP023239_85_length_1032_cov_55.561924,negative,1032,Bacteria
Bacteria_NZ_AP023440_1_length_155117_cov_5.845017,negative,155117,Bacteria
Bacteria_NZ_AP023440_2_length_142531_cov_5.701662,negative,142531,Bacteria
Bacteria_NZ_AP023440_3_length_138446_cov_5.749182,negative,138446,Bacteria
Bacteria_NZ_AP023440_4_length_136290_cov_5.542034,phage,136290,Bacteria
Bacteria_NZ_AP023440_5_length_130212_cov_5.672326,negative,130212,Bacteria
Bacteria_NZ_AP023440_6_length_119660_cov_5.653710,negative,119660,Bacteria
Bacteria_NZ_AP023440_7_length_94556_cov_5.694067,negative,94556,Bacteria
Bacteria_NZ_AP023440_8_length_94278_cov_5.946329,negative,94278,Bacteria
Bacteria_NZ_AP023440_9_length_91877_cov_6.015084,negative,91877,Bacteria
Bacteria_NZ_AP023440_10_length_88743_cov_5.925289,negative,88743,Bacteria
Bacteria_NZ_AP023440_11_length_82635_cov_5.865464,negative,82635,Bacteria
Bacteria_NZ_AP023440_12_length_80789_cov_5.901714,negative,80789,Bacteria
Bacteria_NZ_AP023440_13_length_78559_cov_5.744701,negative,78559,Bacteria
Bacteria_NZ_AP023440_14_length_77249_cov_5.581962,negative,77249,Bacteria
Bacteria_NZ_AP023440_15_length_75679_cov_5.786285,negative,75679,Bacteria
Bacteria_NZ_AP023440_16_length_73539_cov_5.743958,negative,73539,Bacteria
Bacteria_NZ_AP023440_17_length_72811_cov_5.538636,negative,72811,Bacteria
Bacteria_NZ_AP023440_18_length_72057_cov_5.694814,negative,72057,Bacteria
Bacteria_NZ_AP023440_19_length_70459_cov_5.842978,negative,70459,Bacteria
Bacteria_NZ_AP023440_20_length_70088_cov_5.821584,negative,70088,Bacteria
Bacteria_NZ_AP023440_21_length_69249_cov_5.910643,negative,69249,Bacteria
Bacteria_NZ_AP023440_22_length_68784_cov_6.179022,negative,68784,Bacteria
Bacteria_NZ_AP023440_23_length_67043_cov_5.525721,negative,67043,Bacteria
Bacteria_NZ_AP023440_24_length_66510_cov_5.757279,negative,66510,Bacteria
Bacteria_NZ_AP023440_25_length_66056_cov_5.647702,negative,66056,Bacteria
Bacteria_NZ_AP023440_26_length_64999_cov_5.994103,negative,64999,Bacteria
Bacteria_NZ_AP023440_27_length_64736_cov_5.737218,negative,64736,Bacteria
Bacteria_NZ_AP023440_28_length_64655_cov_5.867353,negative,64655,Bacteria
Bacteria_NZ_AP023440_29_length_64320_cov_5.952618,negative,64320,Bacteria
Bacteria_NZ_AP023440_30_length_63814_cov_5.589940,negative,63814,Bacteria
Bacteria_NZ_AP023440_31_length_63537_cov_5.825195,negative,63537,Bacteria
Bacteria_NZ_AP023440_32_length_63388_cov_5.829362,negative,63388,Bacteria
Bacteria_NZ_AP023440_33_length_62817_cov_5.859342,negative,62817,Bacteria
Bacteria_NZ_AP023440_34_length_62292_cov_5.796616,negative,62292,Bacteria
Bacteria_NZ_AP023440_35_length_60931_cov_5.993281,negative,60931,Bacteria
Bacteria_NZ_AP023440_36_length_60627_cov_5.831820,negative,60627,Bacteria
Bacteria_NZ_AP023440_37_length_60332_cov_5.453656,negative,60332,Bacteria
Bacteria_NZ_AP023440_38_length_60303_cov_5.878934,negative,60303,Bacteria
Bacteria_NZ_AP023440_39_length_58913_cov_5.757076,negative,58913,Bacteria
Bacteria_NZ_AP023440_40_length_58644_cov_6.024049,negative,58644,Bacteria
Bacteria_NZ_AP023440_41_length_58117_cov_5.437584,phage,58117,Bacteria
Bacteria_NZ_AP023440_42_length_57609_cov_5.961636,negative,57609,Bacteria
Bacteria_NZ_AP023440_43_length_56488_cov_5.725356,negative,56488,Bacteria
Bacteria_NZ_AP023440_44_length_56276_cov_5.820459,negative,56276,Bacteria
Bacteria_NZ_AP023440_45_length_56096_cov_5.933798,negative,56096,Bacteria
Bacteria_NZ_AP023440_46_length_55923_cov_5.812988,negative,55923,Bacteria
Bacteria_NZ_AP023440_47_length_55484_cov_5.773747,negative,55484,Bacteria
Bacteria_NZ_AP023440_48_length_54858_cov_5.421619,negative,54858,Bacteria
Bacteria_NZ_AP023440_49_length_54138_cov_5.862064,negative,54138,Bacteria
Bacteria_NZ_AP023440_50_length_54118_cov_5.808057,negative,54118,Bacteria
Bacteria_NZ_AP023440_51_length_53140_cov_5.162494,negative,53140,Bacteria
Bacteria_NZ_AP023440_52_length_52966_cov_5.778647,negative,52966,Bacteria
Bacteria_NZ_AP023440_53_length_52661_cov_6.103524,negative,52661,Bacteria
Bacteria_NZ_AP023440_54_length_52474_cov_5.559320,negative,52474,Bacteria
Bacteria_NZ_AP023440_55_length_51192_cov_5.729081,negative,51192,Bacteria
Bacteria_NZ_AP023440_56_length_51045_cov_5.539439,negative,51045,Bacteria
Bacteria_NZ_AP023440_57_length_50732_cov_5.785031,phage,50732,Bacteria
Bacteria_NZ_AP023440_58_length_50714_cov_5.628003,negative,50714,Bacteria
Bacteria_NZ_AP023440_59_length_50385_cov_5.758335,negative,50385,Bacteria
Bacteria_NZ_AP023440_60_length_50330_cov_5.543988,negative,50330,Bacteria
Bacteria_NZ_AP023440_61_length_50028_cov_5.589178,negative,50028,Bacteria
Bacteria_NZ_AP023440_62_length_49747_cov_5.771975,negative,49747,Bacteria
Bacteria_NZ_AP023440_63_length_49742_cov_5.726508,negative,49742,Bacteria
Bacteria_NZ_AP023440_64_length_49096_cov_5.335699,negative,49096,Bacteria
