ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Phage_NC_047747_1_length_40338_cov_731_024576-circular,1,Viruses,Phage,40338
VIRSorter_Phage_NC_048168_1_length_43432_cov_134_048920,1,Viruses,Phage,43432
VIRSorter_Phage_NC_048675_1_length_66181_cov_208_833122,1,Viruses,Phage,66181
VIRSorter_Bacteria_NZ_CP041372_26_length_47059_cov_82_507276,2,Viruses,Bacteria,47059
VIRSorter_Bacteria_NZ_CP041372_28_length_31632_cov_166_615670,2,Viruses,Bacteria,31632
VIRSorter_Phage_NC_047933_1_length_43182_cov_363_705219,2,Viruses,Phage,43182
VIRSorter_Phage_NC_047954_1_length_46643_cov_895_586589,2,Viruses,Phage,46643
VIRSorter_Phage_NC_048639_1_length_42158_cov_158_379332,2,Viruses,Phage,42158
VIRSorter_Phage_NC_048639_2_length_14245_cov_152_479986,2,Viruses,Phage,14245
VIRSorter_Phage_NC_048639_3_length_11572_cov_158_288790,2,Viruses,Phage,11572
VIRSorter_Phage_NC_048641_1_length_40095_cov_228_860789,2,Viruses,Phage,40095
VIRSorter_Phage_NC_048706_1_length_45935_cov_689_462511-circular,2,Viruses,Phage,45935
VIRSorter_Phage_NC_049456_1_length_75471_cov_59_919155-circular,2,Viruses,Phage,75471
VIRSorter_Phage_NC_049976_1_length_18751_cov_1040_653883,2,Viruses,Phage,18751
