ID,True_Label,Contig_Length,Assigned_TaxID,Predicted_Label
Bacteria_NZ_AP023239_1_length_268183_cov_8.757608,Bacteria,268183,1268072,Bacteria
Bacteria_NZ_AP023239_2_length_224135_cov_8.911665,Bacteria,224135,1268072,Bacteria
Bacteria_NZ_AP023239_3_length_217682_cov_8.898023,Bacteria,217682,1268072,Bacteria
Bacteria_NZ_AP023239_4_length_213187_cov_8.909178,Bacteria,213187,1268072,Bacteria
Bacteria_NZ_AP023239_6_length_159558_cov_8.686495,Bacteria,159558,1268072,Bacteria
Bacteria_NZ_AP023239_7_length_156901_cov_8.760370,Bacteria,156901,1268072,Bacteria
Bacteria_NZ_AP023239_8_length_145242_cov_8.929091,Bacteria,145242,1268072,Bacteria
Bacteria_NZ_AP023239_9_length_145127_cov_8.455519,Bacteria,145127,1268072,Bacteria
Bacteria_NZ_AP023239_10_length_144841_cov_8.979176,Bacteria,144841,1268072,Bacteria
Bacteria_NZ_AP023239_11_length_140226_cov_8.679484,Bacteria,140226,1268072,Bacteria
Bacteria_NZ_AP023239_13_length_117071_cov_8.330100,Bacteria,117071,1268072,Bacteria
Bacteria_NZ_AP023239_14_length_112819_cov_9.062023,Bacteria,112819,1268072,Bacteria
Bacteria_NZ_AP023239_15_length_101886_cov_8.537744,Bacteria,101886,1268072,Bacteria
Bacteria_NZ_AP023239_16_length_98834_cov_8.356715,Bacteria,98834,1268072,Bacteria
Bacteria_NZ_AP023239_17_length_96974_cov_9.019852,Bacteria,96974,1268072,Bacteria
Bacteria_NZ_AP023239_18_length_95565_cov_8.825453,Bacteria,95565,1268072,Bacteria
Bacteria_NZ_AP023239_19_length_95357_cov_8.490535,Bacteria,95357,1268072,Bacteria
Bacteria_NZ_AP023239_20_length_92362_cov_8.343831,Bacteria,92362,1268072,Bacteria
Bacteria_NZ_AP023239_21_length_84264_cov_8.822050,Bacteria,84264,1268072,Bacteria
Bacteria_NZ_AP023239_22_length_83842_cov_8.459797,Bacteria,83842,1268072,Bacteria
Bacteria_NZ_AP023239_23_length_80914_cov_8.607836,Bacteria,80914,1268072,Bacteria
Bacteria_NZ_AP023239_24_length_77629_cov_9.148658,Bacteria,77629,1268072,Bacteria
Bacteria_NZ_AP023239_25_length_76862_cov_8.590024,Bacteria,76862,1268072,Bacteria
Bacteria_NZ_AP023239_26_length_75055_cov_9.347867,Bacteria,75055,1268072,Bacteria
Bacteria_NZ_AP023239_27_length_74565_cov_8.619367,Bacteria,74565,1268072,Bacteria
Bacteria_NZ_AP023239_28_length_70825_cov_8.943394,Bacteria,70825,1268072,Bacteria
Bacteria_NZ_AP023239_29_length_70677_cov_8.596188,Bacteria,70677,1268072,Bacteria
Bacteria_NZ_AP023239_30_length_69466_cov_8.888101,Bacteria,69466,1268072,Bacteria
Bacteria_NZ_AP023239_31_length_65454_cov_8.882873,Bacteria,65454,1268072,Bacteria
Bacteria_NZ_AP023239_32_length_65452_cov_8.806306,Bacteria,65452,1268072,Bacteria
Bacteria_NZ_AP023239_33_length_65266_cov_8.711153,Bacteria,65266,1268072,Bacteria
Bacteria_NZ_AP023239_34_length_63982_cov_8.298559,Bacteria,63982,1268072,Bacteria
Bacteria_NZ_AP023239_35_length_60561_cov_8.037682,Bacteria,60561,1268072,Bacteria
Bacteria_NZ_AP023239_36_length_59200_cov_9.258162,Bacteria,59200,1268072,Bacteria
Bacteria_NZ_AP023239_37_length_58080_cov_9.213046,Bacteria,58080,1268072,Bacteria
Bacteria_NZ_AP023239_38_length_56311_cov_9.800643,Bacteria,56311,1268072,Bacteria
Bacteria_NZ_AP023239_40_length_55278_cov_8.704924,Bacteria,55278,1268072,Bacteria
Bacteria_NZ_AP023239_41_length_51940_cov_8.708413,Bacteria,51940,1268072,Bacteria
Bacteria_NZ_AP023239_42_length_51716_cov_8.928147,Bacteria,51716,1268072,Bacteria
Bacteria_NZ_AP023239_43_length_50055_cov_8.254760,Bacteria,50055,1268072,Bacteria
Bacteria_NZ_AP023239_44_length_49700_cov_9.404270,Bacteria,49700,1268072,Bacteria
Bacteria_NZ_AP023239_45_length_49288_cov_8.279365,Bacteria,49288,1268072,Bacteria
Bacteria_NZ_AP023239_47_length_42967_cov_8.761419,Bacteria,42967,1268072,Bacteria
Bacteria_NZ_AP023239_49_length_41791_cov_9.195251,Bacteria,41791,1268072,Bacteria
Bacteria_NZ_AP023239_50_length_41609_cov_10.192641,Bacteria,41609,1268072,Bacteria
Bacteria_NZ_AP023239_51_length_39472_cov_8.178882,Bacteria,39472,1268072,Bacteria
Bacteria_NZ_AP023239_52_length_39343_cov_8.436571,Bacteria,39343,1268072,Bacteria
Bacteria_NZ_AP023239_53_length_37331_cov_8.707694,Bacteria,37331,1268072,Bacteria
Bacteria_NZ_AP023239_54_length_35960_cov_7.598719,Bacteria,35960,1268072,Bacteria
Bacteria_NZ_AP023239_55_length_34541_cov_8.589341,Bacteria,34541,1268072,Bacteria
Bacteria_NZ_AP023239_56_length_30626_cov_9.119754,Bacteria,30626,1268072,Bacteria
Bacteria_NZ_AP023239_57_length_30293_cov_8.724320,Bacteria,30293,1268072,Bacteria
Bacteria_NZ_AP023239_58_length_29883_cov_10.340117,Bacteria,29883,1268072,Bacteria
Bacteria_NZ_AP023239_61_length_22708_cov_9.860548,Bacteria,22708,1268072,Bacteria
Bacteria_NZ_AP023239_62_length_22630_cov_8.184585,Bacteria,22630,1268072,Bacteria
Bacteria_NZ_AP023239_63_length_22367_cov_8.021244,Bacteria,22367,1268072,Bacteria
Bacteria_NZ_AP023239_66_length_19817_cov_8.059154,Bacteria,19817,1268072,Bacteria
Bacteria_NZ_AP023239_67_length_19586_cov_9.001536,Bacteria,19586,1268072,Bacteria
Bacteria_NZ_AP023239_68_length_19329_cov_7.914133,Bacteria,19329,1268072,Bacteria
Bacteria_NZ_AP023239_71_length_14237_cov_11.982019,Bacteria,14237,1268072,Bacteria
Bacteria_NZ_AP023239_74_length_11694_cov_7.926798,Bacteria,11694,1268072,Bacteria
Bacteria_NZ_AP023239_75_length_11268_cov_9.693927,Bacteria,11268,1268072,Bacteria
Bacteria_NZ_AP023239_76_length_10915_cov_9.826243,Bacteria,10915,1268072,Bacteria
Bacteria_NZ_AP023239_80_length_8071_cov_9.521831,Bacteria,8071,1268072,Bacteria
Bacteria_NZ_AP023239_82_length_6508_cov_8.772664,Bacteria,6508,1268072,Bacteria
Bacteria_NZ_AP023239_83_length_6072_cov_8.153897,Bacteria,6072,1268072,Bacteria
Bacteria_NZ_AP023239_85_length_4722_cov_6.786372,Bacteria,4722,1268072,Bacteria
Bacteria_NZ_AP023239_89_length_1602_cov_90.443439,Bacteria,1602,1268072,Bacteria
