"","name","length","score","pvalue"
"1","Bacteria_NZ_CP030047_1_length_2524254_cov_60.377954",2524254,0.0154094280929569,0.659956342469076
"2","Bacteria_NZ_CP030047_2_length_2042484_cov_60.619525",2042484,0.00993439410287365,0.725442638855203
"3","Bacteria_NZ_CP030047_3_length_1471167_cov_60.955068",1471167,0.012145988408903,0.696216347319913
"4","Bacteria_NZ_CP030047_4_length_843779_cov_58.976849",843779,0.0134770043168024,0.679602231384914
"5","Bacteria_NZ_CP030047_5_length_716767_cov_60.556955",716767,0.0114507239114313,0.70494785350473
"6","Bacteria_NZ_CP030047_6_length_516603_cov_58.773793",516603,0.00877461801116795,0.744603444094106
"7","Bacteria_NZ_CP030047_7_length_286303_cov_59.550799",286303,0.0198163934537908,0.616905166141159
"8","Bacteria_NZ_CP030047_8_length_261759_cov_58.898015",261759,0.0707711044905402,0.394009216589862
"9","Bacteria_NZ_CP030047_9_length_215781_cov_58.828634",215781,0.0313606346825669,0.536260004850837
"10","Bacteria_NZ_CP030047_10_length_136781_cov_59.169990",136781,0.038739301406221,0.495512975988358
"11","Bacteria_NZ_CP030047_11_length_91941_cov_58.124078",91941,0.0648748150844101,0.406257579432452
"12","Bacteria_NZ_CP030047_12_length_74797_cov_60.139881",74797,0.0598678362192456,0.421901528013582
"13","Bacteria_NZ_CP030047_13_length_51723_cov_60.069482",51723,0.00902445821492753,0.740722774678632
"14","Bacteria_NZ_CP030047_14_length_2751_cov_182.057493",2751,0.165767617076773,0.427871008889066
"15","Bacteria_NZ_CP030047_15_length_1637_cov_114.674463",1637,0.205740856099451,0.373540080519791
"16","Bacteria_NZ_CP040094_1_length_247320_cov_12.067470",247320,0.0432718944912678,0.477079796264856
"17","Bacteria_NZ_CP040094_2_length_215264_cov_10.070954",215264,0.038050356327488,0.49830220713073
"18","Bacteria_NZ_CP040094_3_length_177917_cov_9.464264",177917,0.0586345748189013,0.424326946398254
"19","Bacteria_NZ_CP040094_4_length_162173_cov_9.496965",162173,0.0639614349948165,0.40856172689789
"20","Bacteria_NZ_CP040094_5_length_157950_cov_9.330498",157950,0.0714568449485885,0.392068881882125
"21","Bacteria_NZ_CP040094_6_length_148978_cov_9.749689",148978,0.086697473453132,0.360538442881397
"22","Bacteria_NZ_CP040094_7_length_137210_cov_9.297342",137210,0.0536411154235962,0.441426146010187
"23","Bacteria_NZ_CP040094_8_length_128041_cov_9.517142",128041,0.0850434515554708,0.363934028619937
"24","Bacteria_NZ_CP040094_9_length_126963_cov_9.335314",126963,0.097839639934335,0.339194761096289
"25","Bacteria_NZ_CP040094_10_length_108192_cov_9.334964",108192,0.163554954663641,0.257458161532864
"26","Bacteria_NZ_CP040094_11_length_107884_cov_12.659795",107884,0.0839081968401,0.366844530681543
"27","Bacteria_NZ_CP040094_12_length_106336_cov_9.571748",106336,0.0559945619579799,0.432815910744603
"28","Bacteria_NZ_CP040094_13_length_102754_cov_9.880973",102754,0.0718507172151467,0.391341256366723
"29","Bacteria_NZ_CP040094_14_length_101576_cov_9.247988",101576,0.0425808024501155,0.480232840164928
"30","Bacteria_NZ_CP040094_15_length_101360_cov_9.213020",101360,0.0533103080209296,0.442153771525588
"31","Bacteria_NZ_CP040094_16_length_94797_cov_9.461369",94797,0.0333034408033674,0.525224351200582
"32","Bacteria_NZ_CP040094_17_length_92860_cov_12.454372",92860,0.0530455008135578,0.44324520979869
"33","Bacteria_NZ_CP040094_18_length_88711_cov_9.309624",88711,0.072396765849712,0.390371089012855
"34","Bacteria_NZ_CP040094_19_length_88327_cov_9.362403",88327,0.123688534963054,0.300024254183847
"35","Bacteria_NZ_CP040094_20_length_87170_cov_9.520852",87170,0.182674735793386,0.23793354353626
"36","Bacteria_NZ_CP040094_21_length_86813_cov_9.184559",86813,0.115654463622317,0.310696095076401
"37","Bacteria_NZ_CP040094_22_length_85655_cov_9.181729",85655,0.0931071022286485,0.347562454523405
"38","Bacteria_NZ_CP040094_23_length_82255_cov_9.614051",82255,0.0637128504702874,0.408804268736357
"39","Bacteria_NZ_CP040094_24_length_81709_cov_9.527372",81709,0.212185203796801,0.213679359689546
"40","Bacteria_NZ_CP040094_25_length_80762_cov_9.084255",80762,0.0224321226880443,0.596895464467621
"41","Bacteria_NZ_CP040094_26_length_78721_cov_10.033127",78721,0.102658206630616,0.330584525830706
"42","Bacteria_NZ_CP040094_27_length_78688_cov_14.464093",78688,0.0742375676743709,0.387096774193548
"43","Bacteria_NZ_CP040094_28_length_75994_cov_9.530360",75994,0.0388010058045828,0.495149163230657
"44","Bacteria_NZ_CP040094_29_length_75347_cov_9.682463",75347,0.0509501701978131,0.449915110356537
"45","Bacteria_NZ_CP040094_30_length_75335_cov_9.388802",75335,0.0369924401455201,0.505578462284744
"46","Bacteria_NZ_CP040094_31_length_73966_cov_8.804075",73966,0.0593331915529711,0.422750424448217
"47","Bacteria_NZ_CP040094_32_length_71575_cov_9.924427",71575,0.0786404731013392,0.378486538927965
"48","Bacteria_NZ_CP040094_33_length_70762_cov_9.615498",70762,0.0250913804362619,0.575066699005578
"49","Bacteria_NZ_CP040094_34_length_70372_cov_9.234339",70372,0.0894882620082181,0.355081251515886
"50","Bacteria_NZ_CP040094_35_length_69435_cov_9.239983",69435,0.0372090120868933,0.504365753092408
"51","Bacteria_NZ_CP040094_36_length_66248_cov_10.275996",66248,0.0489017196119804,0.455736114479748
"52","Bacteria_NZ_CP040094_37_length_64018_cov_9.200741",64018,0.0875671297735864,0.358961920931361
"53","Bacteria_NZ_CP040094_38_length_63369_cov_9.166172",63369,0.126853361812682,0.295901042929905
"54","Bacteria_NZ_CP040094_39_length_63316_cov_14.459541",63316,0.0821835288125865,0.37048265825855
"55","Bacteria_NZ_CP040094_40_length_59698_cov_9.475479",59698,0.0730056505751209,0.388552025224351
"56","Bacteria_NZ_CP040094_41_length_57507_cov_10.167322",57507,0.257549837476507,0.185180693669658
