ID,True_Label,Contig_Length,Assigned_TaxID,Predicted_Label
Prophage_NZ_AP023189_1_length_552821_cov_29.268289,Viruses,552821,1245471,Bacteria
Bacteria_NZ_AP023189_4_length_389569_cov_29.888194,Bacteria,389569,1245471,Bacteria
Bacteria_NZ_AP023189_8_length_237199_cov_29.379592,Bacteria,237199,1245471,Bacteria
Bacteria_NZ_AP023189_9_length_236446_cov_28.681976,Bacteria,236446,1245471,Bacteria
Bacteria_NZ_AP023189_10_length_209685_cov_29.396289,Bacteria,209685,1245471,Bacteria
Bacteria_NZ_AP023189_11_length_197007_cov_30.631865,Bacteria,197007,1245471,Bacteria
Bacteria_NZ_AP023189_12_length_190509_cov_30.311755,Bacteria,190509,1245471,Bacteria
Bacteria_NZ_AP023189_15_length_170523_cov_30.978987,Bacteria,170523,1245471,Bacteria
Bacteria_NZ_AP023189_16_length_161498_cov_29.664303,Bacteria,161498,1245471,Bacteria
Bacteria_NZ_AP023189_18_length_149962_cov_29.202245,Bacteria,149962,1245471,Bacteria
Bacteria_NZ_AP023189_21_length_116254_cov_28.612165,Bacteria,116254,1245471,Bacteria
Bacteria_NZ_AP023189_22_length_110901_cov_29.899302,Bacteria,110901,1245471,Bacteria
Bacteria_NZ_AP023189_25_length_98577_cov_28.969063,Bacteria,98577,1245471,Bacteria
Bacteria_NZ_AP023189_26_length_95036_cov_29.587928,Bacteria,95036,1245471,Bacteria
Bacteria_NZ_AP023189_30_length_64358_cov_30.140149,Bacteria,64358,1245471,Bacteria
Bacteria_NZ_AP023189_43_length_39772_cov_28.880379,Bacteria,39772,1245471,Bacteria
Bacteria_NZ_AP023189_47_length_18840_cov_28.179079,Bacteria,18840,1245471,Bacteria
Bacteria_NZ_AP023189_52_length_6555_cov_28.248000,Bacteria,6555,1245471,Bacteria
Bacteria_NZ_CP056030_355_length_2034_cov_2.674583,Bacteria,2034,1245471,Bacteria
Bacteria_NZ_CP056030_383_length_1990_cov_1.785530,Bacteria,1990,1245471,Bacteria
Bacteria_NZ_CP056030_398_length_1963_cov_1.756813,Bacteria,1963,1245471,Bacteria
Bacteria_NZ_CP056030_580_length_1693_cov_1.769231,Bacteria,1693,1245471,Bacteria
Bacteria_NZ_CP056030_600_length_1658_cov_1.911416,Bacteria,1658,1245471,Bacteria
Bacteria_NZ_CP056030_668_length_1578_cov_1.365726,Bacteria,1578,1245471,Bacteria
Bacteria_NZ_CP056030_758_length_1484_cov_2.613716,Bacteria,1484,1245471,Bacteria
Bacteria_NZ_CP056030_889_length_1329_cov_2.119309,Bacteria,1329,1245471,Bacteria
Bacteria_NZ_CP056030_912_length_1305_cov_1.880800,Bacteria,1305,1245471,Bacteria
Bacteria_NZ_CP056030_928_length_1295_cov_1.724194,Bacteria,1295,1245471,Bacteria
