seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Bacteria_NZ_CP054492_332_length_1843_cov_5.484899||full	0.333	0.660	0.660	ssDNA	1788	0	50.000	0.000
Phage_NC_047738_1_length_42987_cov_10.357100||full	1.000	0.207	1.000	dsDNAphage	42932	8	63.300	0.000
Phage_NC_047852_1_length_42309_cov_30.468784||full	1.000	0.113	1.000	dsDNAphage	42254	12	90.400	0.000
Phage_NC_047895_1_length_39825_cov_14.048403||full	1.000	0.147	1.000	dsDNAphage	39678	12	88.200	0.000
Phage_NC_047952_1_length_42924_cov_26.807087||full	1.000	0.127	1.000	dsDNAphage	42869	13	90.700	0.000
Phage_NC_047997_1_length_40699_cov_17.332644||full	1.000	0.147	1.000	dsDNAphage	40644	17	86.300	0.000
Phage_NC_048076_1_length_41988_cov_38.751628||full	1.000	0.407	1.000	dsDNAphage	41933	6	52.900	0.000
Phage_NC_048078_1_length_39162_cov_16.343621||full	1.000	0.133	1.000	dsDNAphage	39060	12	93.900	0.000
Phage_NC_048136_1_length_39658_cov_17.166528||full	1.000	0.127	1.000	dsDNAphage	39603	12	90.000	0.000
Phage_NC_048195_1_length_68743_cov_16.375146||full	1.000	0.227	1.000	dsDNAphage	68688	25	51.900	0.000
Phage_NC_048200_1_length_40274_cov_35.931823||full	1.000	0.233	1.000	dsDNAphage	40255	14	85.700	0.000
Phage_NC_048684_1_length_45012_cov_15.668016||full	1.000	0.000	1.000	dsDNAphage	44957	1	30.000	5.000
Phage_NC_048706_1_length_45935_cov_53.730405||full	0.993	0.000	0.993	dsDNAphage	44705	2	36.900	3.100
Phage_NC_048719_1_length_124992_cov_14.350745||full	1.000	0.060	1.000	dsDNAphage	124937	7	34.600	2.900
Phage_NC_048722_1_length_121848_cov_16.227558||full	0.993	0.040	0.993	dsDNAphage	121793	10	35.300	2.400
Phage_NC_048728_1_length_128336_cov_8.999501||full	0.987	0.020	0.987	dsDNAphage	128281	9	33.800	3.600
Phage_NC_048742_1_length_127627_cov_10.413978||full	1.000	0.047	1.000	dsDNAphage	126347	7	34.500	2.700
Phage_NC_049813_1_length_44147_cov_25.619183||full	1.000	0.140	1.000	dsDNAphage	44092	15	89.400	0.000
Phage_NC_049832_1_length_49992_cov_27.019324||full	0.993	0.140	0.993	dsDNAphage	49937	15	94.800	0.000
Bacteria_NZ_CP064187_32_length_1703_cov_68.382282||full	0.800	0.880	0.880	ssDNA	1700	0	100.000	0.000
Bacteria_NZ_CP064951_5_length_63580_cov_6.268335||0_partial	0.793	0.013	0.793	dsDNAphage	13966	1	20.000	20.000
Bacteria_NZ_CP064951_25_length_25014_cov_6.395529||0_partial	0.727	0.000	0.727	dsDNAphage	11973	1	17.600	23.500
Bacteria_NZ_CP065027_5_length_210470_cov_8.848970||0_partial	0.953	0.007	0.953	dsDNAphage	25829	1	41.700	16.700
Bacteria_NZ_CP065027_25_length_1240_cov_17.924051||full	0.507	0.247	0.507	dsDNAphage	860	0	50.000	0.000
Bacteria_NZ_LR824569_7_length_1419_cov_1.387830||full	0.640	0.320	0.640	dsDNAphage	1417	0	33.300	0.000
Bacteria_NZ_LR824569_19_length_1166_cov_1.331233||full	0.647	0.993	0.993	ssDNA	900	0	50.000	0.000
Phage_NC_047752_1_length_3776_cov_2.039237||full	0.987	0.880	0.987	dsDNAphage	3776	2	100.000	0.000
Phage_NC_047752_2_length_3659_cov_2.251665||full	1.000	0.500	1.000	dsDNAphage	3517	0	87.500	0.000
Phage_NC_047752_4_length_2756_cov_2.452055||full	0.987	0.493	0.987	dsDNAphage	2738	5	100.000	0.000
Phage_NC_047752_5_length_2655_cov_2.802692||full	0.960	0.160	0.960	dsDNAphage	2375	4	80.000	20.000
Phage_NC_047752_8_length_1160_cov_2.461538||full	0.940	0.993	0.993	ssDNA	1157	0	100.000	0.000
Phage_NC_047766_1_length_27420_cov_4.553225||full	1.000	0.227	1.000	dsDNAphage	27417	6	92.700	0.000
Phage_NC_047766_2_length_10880_cov_3.472055||full	1.000	0.420	1.000	dsDNAphage	10878	6	100.000	0.000
Phage_NC_047769_1_length_40278_cov_9.278721||full	1.000	0.127	1.000	dsDNAphage	39759	7	92.200	0.000
Phage_NC_047769_2_length_4211_cov_10.109721||full	1.000	0.727	1.000	dsDNAphage	3809	2	100.000	0.000
Phage_NC_047776_1_length_34427_cov_4.533574||full	0.947	0.147	0.947	dsDNAphage	34424	0	61.200	1.500
Phage_NC_047776_2_length_22007_cov_4.139668||full	1.000	0.473	1.000	dsDNAphage	22005	4	65.000	0.000
Phage_NC_047776_3_length_18498_cov_4.411592||full	1.000	0.220	1.000	dsDNAphage	18483	9	87.500	0.000
Phage_NC_047776_4_length_10409_cov_4.505891||full	0.980	0.927	0.980	dsDNAphage	10299	0	56.500	0.000
Phage_NC_047776_5_length_8905_cov_3.471977||full	1.000	0.353	1.000	dsDNAphage	8788	1	58.800	0.000
Phage_NC_047776_6_length_8440_cov_4.686702||full	0.993	0.233	0.993	dsDNAphage	8438	2	83.300	0.000
Phage_NC_047776_7_length_8246_cov_3.575998||full	1.000	0.147	1.000	dsDNAphage	8218	1	66.700	0.000
Phage_NC_047776_8_length_8026_cov_4.011416||full	0.973	0.973	0.973	dsDNAphage	7137	0	33.300	0.000
Phage_NC_047776_9_length_7609_cov_3.741726||full	1.000	0.560	1.000	dsDNAphage	7494	0	29.200	0.000
Phage_NC_047776_10_length_7435_cov_3.305962||full	0.960	0.887	0.960	dsDNAphage	7434	0	60.000	0.000
Phage_NC_047776_11_length_3409_cov_4.400716||full	0.913	0.913	0.913	dsDNAphage	3407	0	66.700	0.000
Phage_NC_047776_12_length_2873_cov_3.036196||full	0.840	0.947	0.947	ssDNA	2801	0	50.000	0.000
Phage_NC_047776_13_length_2574_cov_4.739579||full	0.373	0.773	0.773	ssDNA	2571	0	33.300	0.000
Phage_NC_047776_14_length_1584_cov_3.190974||full	0.993	1.000	1.000	ssDNA	1555	0	100.000	0.000
Phage_NC_047776_15_length_1382_cov_3.506405||full	0.693	0.813	0.813	ssDNA	1208	0	25.000	0.000
Phage_NC_047793_1_length_38401_cov_23.918636||full	0.953	0.053	0.953	dsDNAphage	38389	8	42.600	0.000
Phage_NC_047795_1_length_40727_cov_10.978683||full	0.980	0.040	0.980	dsDNAphage	40724	8	45.300	1.900
Phage_NC_047806_1_length_30201_cov_4.143601||full	1.000	0.220	1.000	dsDNAphage	30198	4	92.700	0.000
Phage_NC_047806_2_length_7743_cov_4.363554||full	1.000	0.813	1.000	dsDNAphage	7742	4	100.000	0.000
Phage_NC_047806_3_length_1642_cov_2.404537||full	0.953	1.000	1.000	ssDNA	1575	0	66.700	0.000
Phage_NC_047806_5_length_1366_cov_2.724638||full	1.000	1.000	1.000	dsDNAphage	1365	1	100.000	0.000
Phage_NC_047807_1_length_44912_cov_29.694853||full	1.000	0.573	1.000	dsDNAphage	44863	8	88.100	0.000
Phage_NC_047809_1_length_37769_cov_75.515273||full	1.000	0.727	1.000	dsDNAphage	37767	7	95.700	0.000
Phage_NC_047810_1_length_46499_cov_6.614353||full	1.000	0.120	1.000	dsDNAphage	46497	17	84.500	0.000
Phage_NC_047812_1_length_44191_cov_22.046515||full	1.000	0.200	1.000	dsDNAphage	43565	14	88.400	0.000
Phage_NC_047826_1_length_2692_cov_2.536215||full	0.993	0.993	0.993	dsDNAphage	2689	2	83.300	0.000
Phage_NC_047826_2_length_2446_cov_2.310330||full	0.873	0.433	0.873	dsDNAphage	2442	0	80.000	0.000
Phage_NC_047826_3_length_2347_cov_1.763089||full	0.993	0.987	0.993	dsDNAphage	2344	3	100.000	0.000
Phage_NC_047826_5_length_1950_cov_1.749868||full	0.987	0.987	0.987	dsDNAphage	1870	1	100.000	0.000
Phage_NC_047826_6_length_1702_cov_2.224044||full	0.980	1.000	1.000	ssDNA	1702	0	60.000	0.000
Phage_NC_047826_7_length_1459_cov_1.766382||full	0.980	1.000	1.000	ssDNA	1455	0	100.000	0.000
Phage_NC_047826_8_length_1386_cov_1.827949||full	0.893	1.000	1.000	ssDNA	1385	0	100.000	0.000
Phage_NC_047829_1_length_39689_cov_43.886789||full	1.000	0.120	1.000	dsDNAphage	39686	11	81.600	0.000
Phage_NC_047851_1_length_50762_cov_22.646163||full	1.000	0.133	1.000	dsDNAphage	50394	5	42.400	0.000
Phage_NC_047870_1_length_29143_cov_5.765023||full	1.000	0.487	1.000	dsDNAphage	29139	4	59.500	0.000
Phage_NC_047870_2_length_16523_cov_6.587199||full	1.000	0.040	1.000	dsDNAphage	16467	2	38.900	5.600
Phage_NC_047873_1_length_12672_cov_3.122058||full	1.000	0.320	1.000	dsDNAphage	12559	1	90.000	0.000
Phage_NC_047873_2_length_3195_cov_2.766561||full	1.000	0.833	1.000	dsDNAphage	3195	3	100.000	0.000
Phage_NC_047873_4_length_3103_cov_2.464239||full	0.993	0.967	0.993	dsDNAphage	2713	1	100.000	0.000
Phage_NC_047873_5_length_2976_cov_3.430332||full	1.000	0.940	1.000	dsDNAphage	2976	4	100.000	0.000
Phage_NC_047873_7_length_2334_cov_1.701185||full	1.000	1.000	1.000	dsDNAphage	2332	2	80.000	0.000
Phage_NC_047873_8_length_1494_cov_1.560806||full	1.000	1.000	1.000	dsDNAphage	1419	2	100.000	0.000
Phage_NC_047890_1_length_33798_cov_4.652372||full	1.000	0.147	1.000	dsDNAphage	33505	7	82.400	0.000
Phage_NC_047890_2_length_5244_cov_3.788206||full	0.933	0.773	0.933	dsDNAphage	5241	0	23.100	0.000
Phage_NC_047890_3_length_2920_cov_3.452705||full	1.000	0.967	1.000	dsDNAphage	2902	1	33.300	0.000
