ID,True_Label,Contig_Length,Assigned_TaxID,Predicted_Label
Bacteria_NZ_AP023239_1_length_37974_cov_3.963712,Bacteria,37974,1268072,Bacteria
Bacteria_NZ_AP023239_4_length_25688_cov_4.246986,Bacteria,25688,1268072,Bacteria
Bacteria_NZ_AP023239_5_length_24700_cov_4.347616,Bacteria,24700,1268072,Bacteria
Bacteria_NZ_AP023239_6_length_24679_cov_3.923774,Bacteria,24679,1268072,Bacteria
Bacteria_NZ_AP023239_8_length_22537_cov_3.885775,Bacteria,22537,1268072,Bacteria
Bacteria_NZ_AP023239_11_length_21480_cov_5.185671,Bacteria,21480,1268072,Bacteria
Bacteria_NZ_AP023239_12_length_21325_cov_3.837424,Bacteria,21325,1268072,Bacteria
Bacteria_NZ_AP023239_13_length_20733_cov_3.949512,Bacteria,20733,1268072,Bacteria
Bacteria_NZ_AP023239_14_length_20555_cov_4.250341,Bacteria,20555,1268072,Bacteria
Bacteria_NZ_AP023239_15_length_20483_cov_3.955698,Bacteria,20483,1268072,Bacteria
Bacteria_NZ_AP023239_17_length_19694_cov_3.824431,Bacteria,19694,1268072,Bacteria
Bacteria_NZ_AP023239_18_length_19359_cov_3.803978,Bacteria,19359,1268072,Bacteria
Bacteria_NZ_AP023239_19_length_18904_cov_4.167807,Bacteria,18904,1268072,Bacteria
Bacteria_NZ_AP023239_20_length_18757_cov_4.055021,Bacteria,18757,1268072,Bacteria
Bacteria_NZ_AP023239_21_length_18705_cov_3.801609,Bacteria,18705,1268072,Bacteria
Bacteria_NZ_AP023239_22_length_18429_cov_3.486013,Bacteria,18429,1268072,Bacteria
Bacteria_NZ_AP023239_24_length_18179_cov_3.999503,Bacteria,18179,1268072,Bacteria
Bacteria_NZ_AP023239_25_length_17974_cov_3.515263,Bacteria,17974,1268072,Bacteria
Bacteria_NZ_AP023239_26_length_17915_cov_4.142945,Bacteria,17915,1268072,Bacteria
Bacteria_NZ_AP023239_27_length_17818_cov_4.123797,Bacteria,17818,1268072,Bacteria
Bacteria_NZ_AP023239_28_length_17736_cov_4.375205,Bacteria,17736,1268072,Bacteria
Bacteria_NZ_AP023239_30_length_17133_cov_4.459948,Bacteria,17133,1268072,Bacteria
Bacteria_NZ_AP023239_31_length_16992_cov_4.092992,Bacteria,16992,1268072,Bacteria
Bacteria_NZ_AP023239_34_length_16474_cov_4.084049,Bacteria,16474,1268072,Bacteria
Bacteria_NZ_AP023239_35_length_16346_cov_3.796145,Bacteria,16346,1268072,Bacteria
Bacteria_NZ_AP023239_37_length_16249_cov_3.854020,Bacteria,16249,1268072,Bacteria
Bacteria_NZ_AP023239_38_length_16035_cov_4.218273,Bacteria,16035,1268072,Bacteria
Bacteria_NZ_AP023239_42_length_15180_cov_4.000000,Bacteria,15180,1268072,Bacteria
Bacteria_NZ_AP023239_43_length_15102_cov_4.718881,Bacteria,15102,1268072,Bacteria
Bacteria_NZ_AP023239_44_length_15099_cov_4.654680,Bacteria,15099,1268072,Bacteria
Bacteria_NZ_AP023239_45_length_15001_cov_3.856082,Bacteria,15001,1268072,Bacteria
Bacteria_NZ_AP023239_47_length_14860_cov_3.880041,Bacteria,14860,1268072,Bacteria
Bacteria_NZ_AP023239_48_length_14742_cov_4.088650,Bacteria,14742,1268072,Bacteria
Bacteria_NZ_AP023239_49_length_14606_cov_3.515085,Bacteria,14606,1268072,Bacteria
Bacteria_NZ_AP023239_50_length_14461_cov_3.440858,Bacteria,14461,1268072,Bacteria
Bacteria_NZ_AP023239_53_length_14155_cov_3.995035,Bacteria,14155,1268072,Bacteria
Bacteria_NZ_AP023239_54_length_14143_cov_4.307922,Bacteria,14143,1268072,Bacteria
Bacteria_NZ_AP023239_56_length_13953_cov_3.526838,Bacteria,13953,1268072,Bacteria
Bacteria_NZ_AP023239_57_length_13850_cov_3.903516,Bacteria,13850,1268072,Bacteria
Bacteria_NZ_AP023239_58_length_13791_cov_3.960105,Bacteria,13791,1268072,Bacteria
Bacteria_NZ_AP023239_60_length_13748_cov_4.444461,Bacteria,13748,1268072,Bacteria
Bacteria_NZ_AP023239_63_length_13572_cov_4.162240,Bacteria,13572,1268072,Bacteria
Bacteria_NZ_AP023239_65_length_13303_cov_3.935537,Bacteria,13303,1268072,Bacteria
Bacteria_NZ_AP023239_66_length_13267_cov_4.469195,Bacteria,13267,1268072,Bacteria
Bacteria_NZ_AP023239_67_length_13231_cov_3.930783,Bacteria,13231,1268072,Bacteria
Bacteria_NZ_AP023239_68_length_12983_cov_3.999613,Bacteria,12983,1268072,Bacteria
Bacteria_NZ_AP023239_69_length_12954_cov_4.731375,Bacteria,12954,1268072,Bacteria
Bacteria_NZ_AP023239_70_length_12758_cov_3.662363,Bacteria,12758,1268072,Bacteria
Bacteria_NZ_AP023239_71_length_12755_cov_4.378898,Bacteria,12755,1268072,Bacteria
