ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Bacteria_NZ_CP034105_421_length_3083_cov_4_087517,1,Viruses,Bacteria,3083
VIRSorter_Bacteria_NZ_CP034105_59_length_8278_cov_3_569014,1,Viruses,Bacteria,8278
VIRSorter_Bacteria_NZ_CP044546_308_length_2704_cov_2_388071,1,Viruses,Bacteria,2704
VIRSorter_Bacteria_NZ_CP054880_1056_length_2051_cov_4_014028,1,Viruses,Bacteria,2051
VIRSorter_Bacteria_NZ_CP054880_167_length_6800_cov_3_707042,1,Viruses,Bacteria,6800
VIRSorter_Bacteria_NZ_CP054880_959_length_2295_cov_2_924107,1,Viruses,Bacteria,2295
VIRSorter_Bacteria_NZ_CP054929_1084_length_2507_cov_3_697390,1,Viruses,Bacteria,2507
VIRSorter_Bacteria_NZ_CP054929_368_length_4555_cov_3_846444,1,Viruses,Bacteria,4555
VIRSorter_Bacteria_NZ_CP054929_516_length_3924_cov_3_111657,1,Viruses,Bacteria,3924
VIRSorter_Bacteria_NZ_CP056552_25_length_26439_cov_12_685757,1,Viruses,Bacteria,26439
VIRSorter_Bacteria_NZ_CP056552_26_length_24870_cov_11_421882,1,Viruses,Bacteria,24870
VIRSorter_Bacteria_NZ_CP061335_365_length_3552_cov_3_551044,1,Viruses,Bacteria,3552
VIRSorter_Bacteria_NZ_CP061335_81_length_6025_cov_2_644221,1,Viruses,Bacteria,6025
VIRSorter_Phage_NC_047794_1_length_39518_cov_125_440565,1,Viruses,Phage,39518
VIRSorter_Phage_NC_048085_2_length_8772_cov_15_779397,1,Viruses,Phage,8772
VIRSorter_Phage_NC_048110_5_length_8326_cov_4_666425,1,Viruses,Phage,8326
VIRSorter_Phage_NC_048110_6_length_6990_cov_5_313194,1,Viruses,Phage,6990
VIRSorter_Phage_NC_048110_7_length_4941_cov_5_818870,1,Viruses,Phage,4941
VIRSorter_Phage_NC_048135_1_length_39745_cov_108_796170-circular,1,Viruses,Phage,39745
VIRSorter_Phage_NC_048168_1_length_43429_cov_90_371674,1,Viruses,Phage,43429
VIRSorter_Phage_NC_048192_1_length_43009_cov_72_071798,1,Viruses,Phage,43009
VIRSorter_Phage_NC_048624_1_length_42457_cov_82_859393,1,Viruses,Phage,42457
VIRSorter_Phage_NC_048628_1_length_42915_cov_94_480378,1,Viruses,Phage,42915
VIRSorter_Phage_NC_048657_1_length_43500_cov_91_919991,1,Viruses,Phage,43500
VIRSorter_Phage_NC_048681_1_length_38573_cov_246_690716,1,Viruses,Phage,38573
VIRSorter_Phage_NC_048711_1_length_43164_cov_96_541488,1,Viruses,Phage,43164
VIRSorter_Phage_NC_048737_1_length_40705_cov_77_607159,1,Viruses,Phage,40705
VIRSorter_Phage_NC_048745_1_length_66061_cov_27_717692,1,Viruses,Phage,66061
VIRSorter_Phage_NC_048809_2_length_41948_cov_9_019049,1,Viruses,Phage,41948
VIRSorter_Phage_NC_048871_2_length_4304_cov_2_886797,1,Viruses,Phage,4304
VIRSorter_Phage_NC_049384_6_length_16577_cov_4_727394,1,Viruses,Phage,16577
VIRSorter_Phage_NC_049506_3_length_35045_cov_5_343955,1,Viruses,Phage,35045
VIRSorter_Phage_NC_049962_1_length_27202_cov_390_991749,1,Viruses,Phage,27202
VIRSorter_Phage_NC_049964_1_length_26056_cov_309_576439,1,Viruses,Phage,26056
VIRSorter_Phage_NC_050143_1_length_60695_cov_9_130854,1,Viruses,Phage,60695
VIRSorter_Phage_NC_050144_1_length_65597_cov_147_772238-circular,1,Viruses,Phage,65597
VIRSorter_Prophage_NZ_AP023189_55_length_7751_cov_33_585629,1,Viruses,Prophage,7751
VIRSorter_Bacteria_NZ_CP034105_103_length_6786_cov_3_553410,2,Viruses,Bacteria,6786
VIRSorter_Bacteria_NZ_CP034105_152_length_5642_cov_2_969393,2,Viruses,Bacteria,5642
VIRSorter_Bacteria_NZ_CP034105_221_length_4529_cov_3_635673,2,Viruses,Bacteria,4529
VIRSorter_Bacteria_NZ_CP034105_309_length_3805_cov_3_647467,2,Viruses,Bacteria,3805
VIRSorter_Bacteria_NZ_CP034105_419_length_3094_cov_2_924975,2,Viruses,Bacteria,3094
VIRSorter_Bacteria_NZ_CP034105_54_length_8409_cov_3_460857,2,Viruses,Bacteria,8409
VIRSorter_Bacteria_NZ_CP034105_822_length_1473_cov_2_241185,2,Viruses,Bacteria,1473
VIRSorter_Bacteria_NZ_CP044546_637_length_1970_cov_1_992167,2,Viruses,Bacteria,1970
VIRSorter_Bacteria_NZ_CP054880_1096_length_1990_cov_3_506977,2,Viruses,Bacteria,1990
VIRSorter_Bacteria_NZ_CP054880_114_length_7954_cov_3_436511,2,Viruses,Bacteria,7954
VIRSorter_Bacteria_NZ_CP054880_48_length_10367_cov_4_009503,2,Viruses,Bacteria,10367
VIRSorter_Bacteria_NZ_CP054880_715_length_3013_cov_3_406018,2,Viruses,Bacteria,3013
VIRSorter_Bacteria_NZ_CP054929_201_length_5755_cov_2_998596,2,Viruses,Bacteria,5755
VIRSorter_Bacteria_NZ_CP054929_711_length_3333_cov_3_512203,2,Viruses,Bacteria,3333
VIRSorter_Bacteria_NZ_CP056552_30_length_6236_cov_12_741304,2,Viruses,Bacteria,6236
VIRSorter_Bacteria_NZ_CP056552_31_length_5051_cov_14_248999,2,Viruses,Bacteria,5051
VIRSorter_Bacteria_NZ_CP058977_670_length_2030_cov_3_478481,2,Viruses,Bacteria,2030
VIRSorter_Bacteria_NZ_CP059565_294_length_2744_cov_2_896616,2,Viruses,Bacteria,2744
VIRSorter_Bacteria_NZ_CP059567_35_length_24188_cov_10_360709,2,Viruses,Bacteria,24188
VIRSorter_Bacteria_NZ_CP059567_9_length_48975_cov_7_604702,2,Viruses,Bacteria,48975
VIRSorter_Bacteria_NZ_CP059856_40_length_54446_cov_7_012778,2,Viruses,Bacteria,54446
VIRSorter_Bacteria_NZ_CP059856_51_length_40342_cov_13_304366,2,Viruses,Bacteria,40342
VIRSorter_Bacteria_NZ_CP059973_51_length_18925_cov_6_516534,2,Viruses,Bacteria,18925
VIRSorter_Bacteria_NZ_CP060404_145_length_19949_cov_5_975671,2,Viruses,Bacteria,19949
VIRSorter_Bacteria_NZ_CP061335_332_length_3706_cov_2_912901,2,Viruses,Bacteria,3706
VIRSorter_Bacteria_NZ_CP061769_15_length_37529_cov_28_617895,2,Viruses,Bacteria,37529
VIRSorter_Phage_NC_047792_1_length_37814_cov_64_521995,2,Viruses,Phage,37814
VIRSorter_Phage_NC_047859_1_length_108713_cov_13_511394-circular,2,Viruses,Phage,108713
VIRSorter_Phage_NC_047906_1_length_42881_cov_157_499626,2,Viruses,Phage,42881
VIRSorter_Phage_NC_047918_1_length_80977_cov_18_397432,2,Viruses,Phage,80977
