ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Phage_NC_047747_1_length_40338_cov_564_031477-circular,1,Viruses,Phage,40338
VIRSorter_Phage_NC_048168_1_length_43445_cov_492_987947,1,Viruses,Phage,43445
VIRSorter_Phage_NC_048675_1_length_66181_cov_270_186281,1,Viruses,Phage,66181
VIRSorter_Bacteria_NZ_CP041372_27_length_47196_cov_61_927685,2,Viruses,Bacteria,47196
VIRSorter_Bacteria_NZ_CP041372_29_length_31632_cov_125_788200,2,Viruses,Bacteria,31632
VIRSorter_Phage_NC_047933_1_length_43177_cov_154_939799,2,Viruses,Phage,43177
VIRSorter_Phage_NC_047954_1_length_46642_cov_87_569923,2,Viruses,Phage,46642
VIRSorter_Phage_NC_048639_1_length_42159_cov_766_026862,2,Viruses,Phage,42159
VIRSorter_Phage_NC_048639_2_length_14251_cov_739_048817,2,Viruses,Phage,14251
VIRSorter_Phage_NC_048639_3_length_11572_cov_768_561605,2,Viruses,Phage,11572
VIRSorter_Phage_NC_048706_1_length_45935_cov_189_203814-circular,2,Viruses,Phage,45935
VIRSorter_Phage_NC_049456_1_length_75471_cov_432_068898-circular,2,Viruses,Phage,75471
VIRSorter_Phage_NC_049976_1_length_18751_cov_810_950043,2,Viruses,Phage,18751
