ID,True_Label,Contig_Length,Assigned_TaxID,Predicted_Label
Bacteria_NZ_CP040586_1_length_447240_cov_136.565587,Bacteria,447240,637971,Bacteria
Bacteria_NZ_CP040586_3_length_182205_cov_135.831337,Bacteria,182205,637971,Bacteria
Bacteria_NZ_CP040586_2_length_291893_cov_136.380780,Bacteria,291893,1582,Bacteria
Bacteria_NZ_CP040586_4_length_141630_cov_134.595592,Bacteria,141630,2100422,Bacteria
Bacteria_NZ_CP040586_5_length_132244_cov_136.134890,Bacteria,132244,152331,Bacteria
Bacteria_NZ_CP040586_6_length_131318_cov_135.965527,Bacteria,131318,1598,Bacteria
Bacteria_NZ_CP040586_7_length_118152_cov_136.980321,Bacteria,118152,375175,Bacteria
Bacteria_NZ_CP040586_28_length_16020_cov_134.814469,Bacteria,16020,375175,Bacteria
Bacteria_NZ_CP040586_32_length_3246_cov_533.926982,Bacteria,3246,375175,Bacteria
Bacteria_NZ_CP040586_8_length_116990_cov_136.834241,Bacteria,116990,1580,Bacteria
Bacteria_NZ_CP040586_14_length_75045_cov_135.893506,Bacteria,75045,1580,Bacteria
Bacteria_NZ_CP040586_27_length_18090_cov_139.516329,Bacteria,18090,1580,Bacteria
Bacteria_NZ_CP059603_2_length_339670_cov_389.888288,Bacteria,339670,1580,Bacteria
Bacteria_NZ_CP059603_19_length_4854_cov_726.631590,Bacteria,4854,1580,Bacteria
Bacteria_NZ_CP040586_9_length_115947_cov_136.791642,Bacteria,115947,267363,Bacteria
Bacteria_NZ_CP040586_11_length_80681_cov_135.810880,Bacteria,80681,267363,Bacteria
Bacteria_NZ_CP059603_1_length_576899_cov_403.139634,Bacteria,576899,267363,Bacteria
Bacteria_NZ_CP059603_3_length_289947_cov_418.163423,Bacteria,289947,267363,Bacteria
Bacteria_NZ_CP059603_5_length_141201_cov_394.427373,Bacteria,141201,267363,Bacteria
Bacteria_NZ_CP059603_6_length_133148_cov_371.663904,Bacteria,133148,267363,Bacteria
Bacteria_NZ_CP059603_7_length_129784_cov_400.522798,Bacteria,129784,267363,Bacteria
Bacteria_NZ_CP059603_8_length_119750_cov_407.042374,Bacteria,119750,267363,Bacteria
Bacteria_NZ_CP059603_9_length_111016_cov_411.406611,Bacteria,111016,267363,Bacteria
Bacteria_NZ_CP059603_10_length_88429_cov_377.242402,Bacteria,88429,267363,Bacteria
Bacteria_NZ_CP059603_11_length_70595_cov_518.949887,Bacteria,70595,267363,Bacteria
Bacteria_NZ_CP059603_12_length_55969_cov_561.089173,Bacteria,55969,267363,Bacteria
Bacteria_NZ_CP059603_13_length_47737_cov_360.211568,Bacteria,47737,267363,Bacteria
Bacteria_NZ_CP059603_16_length_34361_cov_355.763569,Bacteria,34361,267363,Bacteria
Bacteria_NZ_CP059603_17_length_28910_cov_359.275481,Bacteria,28910,267363,Bacteria
Bacteria_NZ_CP059603_18_length_6140_cov_355.999836,Bacteria,6140,267363,Bacteria
Bacteria_NZ_CP059603_21_length_3221_cov_2125.889135,Bacteria,3221,267363,Bacteria
Bacteria_NZ_CP059603_22_length_2132_cov_2129.173327,Bacteria,2132,267363,Bacteria
Bacteria_NZ_CP059603_24_length_1839_cov_2112.159753,Bacteria,1839,267363,Bacteria
