ID,True_Label,Contig_Length,Assigned_TaxID,Predicted_Label
Bacteria_NZ_CP030047_1_length_1757099_cov_27.304875,Bacteria,1757099,2057741,Bacteria
Bacteria_NZ_CP030047_2_length_1524313_cov_27.204156,Bacteria,1524313,2057741,Bacteria
Bacteria_NZ_CP030047_3_length_903237_cov_27.662848,Bacteria,903237,2057741,Bacteria
Bacteria_NZ_CP030047_4_length_843371_cov_26.837090,Bacteria,843371,2057741,Bacteria
Bacteria_NZ_CP030047_5_length_716767_cov_27.531703,Bacteria,716767,2057741,Bacteria
Bacteria_NZ_CP030047_6_length_607144_cov_27.361104,Bacteria,607144,2057741,Bacteria
Bacteria_NZ_CP030047_7_length_566913_cov_27.180998,Bacteria,566913,2057741,Bacteria
Bacteria_NZ_CP030047_8_length_445074_cov_26.977707,Bacteria,445074,2057741,Bacteria
Bacteria_NZ_CP030047_9_length_358912_cov_27.841433,Bacteria,358912,2057741,Bacteria
Bacteria_NZ_CP030047_10_length_344816_cov_27.477824,Bacteria,344816,2057741,Bacteria
Bacteria_NZ_CP030047_11_length_286447_cov_27.229441,Bacteria,286447,2057741,Bacteria
Bacteria_NZ_CP030047_13_length_215781_cov_26.769425,Bacteria,215781,2057741,Bacteria
Bacteria_NZ_CP030047_17_length_51723_cov_27.354417,Bacteria,51723,2057741,Bacteria
Bacteria_NZ_CP030047_18_length_46967_cov_27.735761,Bacteria,46967,2057741,Bacteria
Bacteria_NZ_CP030047_12_length_261759_cov_26.985338,Bacteria,261759,1274631,Bacteria
Bacteria_NZ_CP030047_14_length_136781_cov_27.170026,Bacteria,136781,1355477,Bacteria
Bacteria_NZ_CP030047_15_length_91941_cov_26.090906,Bacteria,91941,1355477,Bacteria
Bacteria_NZ_CP030047_16_length_74797_cov_27.329360,Bacteria,74797,224911,Bacteria
Bacteria_NZ_CP030047_19_length_2746_cov_82.355258,Bacteria,2746,288000,Bacteria
Bacteria_NZ_CP030047_20_length_1666_cov_59.956549,Bacteria,1666,2018025,Bacteria
Bacteria_NZ_CP041372_1_length_465863_cov_63.034265,Bacteria,465863,649639,Bacteria
Bacteria_NZ_CP041372_6_length_192451_cov_62.658236,Bacteria,192451,649639,Bacteria
Bacteria_NZ_CP041372_46_length_5198_cov_61.983084,Bacteria,5198,649639,Bacteria
Bacteria_NZ_CP041372_49_length_1763_cov_443.317330,Bacteria,1763,649639,Bacteria
