ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Bacteria_NZ_AP023239_156_length_11843_cov_5_204276,1,Viruses,Bacteria,11843
VIRSorter_Bacteria_NZ_CP054490_88_length_3855_cov_4_047105,1,Viruses,Bacteria,3855
VIRSorter_Bacteria_NZ_CP056200_29_length_24018_cov_12_435880,1,Viruses,Bacteria,24018
VIRSorter_Bacteria_NZ_CP056269_194_length_3852_cov_2_379510,1,Viruses,Bacteria,3852
VIRSorter_Bacteria_NZ_CP056269_235_length_3616_cov_2_559393,1,Viruses,Bacteria,3616
VIRSorter_Bacteria_NZ_CP056269_328_length_3147_cov_3_036223,1,Viruses,Bacteria,3147
VIRSorter_Bacteria_NZ_CP056284_39_length_8475_cov_46_789192,1,Viruses,Bacteria,8475
VIRSorter_Bacteria_NZ_CP056284_40_length_6221_cov_46_935615,1,Viruses,Bacteria,6221
VIRSorter_Bacteria_NZ_CP057125_11_length_5007_cov_2_513530,1,Viruses,Bacteria,5007
VIRSorter_Bacteria_NZ_CP057125_33_length_3656_cov_1_966121,1,Viruses,Bacteria,3656
VIRSorter_Bacteria_NZ_CP057147_631_length_2161_cov_2_519943,1,Viruses,Bacteria,2161
VIRSorter_Bacteria_NZ_CP057147_648_length_2125_cov_2_666667,1,Viruses,Bacteria,2125
VIRSorter_Bacteria_NZ_CP057147_994_length_1493_cov_2_773992,1,Viruses,Bacteria,1493
VIRSorter_Phage_NC_047952_1_length_42924_cov_74_525485-circular,1,Viruses,Phage,42924
VIRSorter_Phage_NC_047967_1_length_15425_cov_19_647430,1,Viruses,Phage,15425
VIRSorter_Phage_NC_047967_2_length_9292_cov_20_855906,1,Viruses,Phage,9292
VIRSorter_Phage_NC_047967_5_length_2738_cov_20_564666,1,Viruses,Phage,2738
VIRSorter_Phage_NC_047974_1_length_53904_cov_116_946944,1,Viruses,Phage,53904
VIRSorter_Phage_NC_047997_1_length_40699_cov_36_145212-circular,1,Viruses,Phage,40699
VIRSorter_Phage_NC_048076_1_length_41988_cov_196_016884-circular,1,Viruses,Phage,41988
VIRSorter_Phage_NC_048155_1_length_41249_cov_111_516556,1,Viruses,Phage,41249
