ID,Predicted_Label,Contig_Length,True_Label
Bacteria_NZ_AP023189_1_length_7068_cov_3.497077,negative,7068,Bacteria
Bacteria_NZ_AP023189_2_length_6303_cov_6.801697,phage,6303,Bacteria
Bacteria_NZ_AP023189_3_length_6071_cov_2.171044,negative,6071,Bacteria
Prophage_NZ_AP023189_4_length_6019_cov_3.711100,phage,6019,Prophage
Bacteria_NZ_AP023189_5_length_5982_cov_3.747258,phage,5982,Bacteria
Bacteria_NZ_AP023189_6_length_5629_cov_2.132580,negative,5629,Bacteria
Bacteria_NZ_AP023189_7_length_5598_cov_2.512358,negative,5598,Bacteria
Bacteria_NZ_AP023189_8_length_5451_cov_2.459785,negative,5451,Bacteria
Bacteria_NZ_AP023189_9_length_5406_cov_2.403476,negative,5406,Bacteria
Bacteria_NZ_AP023189_10_length_5204_cov_2.218683,phage,5204,Bacteria
Bacteria_NZ_AP023189_11_length_4987_cov_2.493715,negative,4987,Bacteria
Bacteria_NZ_AP023189_12_length_4938_cov_2.520172,negative,4938,Bacteria
Bacteria_NZ_AP023189_13_length_4675_cov_1.725974,negative,4675,Bacteria
Bacteria_NZ_AP023189_14_length_4666_cov_2.533507,negative,4666,Bacteria
Bacteria_NZ_AP023189_15_length_4627_cov_2.352581,negative,4627,Bacteria
Bacteria_NZ_AP023189_16_length_4542_cov_2.605527,negative,4542,Bacteria
Bacteria_NZ_AP023189_17_length_4532_cov_2.865088,negative,4532,Bacteria
Bacteria_NZ_AP023189_18_length_4522_cov_1.747705,negative,4522,Bacteria
Bacteria_NZ_AP023189_19_length_4459_cov_2.411671,negative,4459,Bacteria
Bacteria_NZ_AP023189_20_length_4393_cov_2.205394,negative,4393,Bacteria
Bacteria_NZ_AP023189_21_length_4255_cov_2.556190,negative,4255,Bacteria
Bacteria_NZ_AP023189_22_length_4214_cov_2.417408,negative,4214,Bacteria
Bacteria_NZ_AP023189_23_length_4205_cov_2.580482,negative,4205,Bacteria
Bacteria_NZ_AP023189_24_length_4167_cov_2.550340,negative,4167,Bacteria
Bacteria_NZ_AP023189_25_length_4162_cov_1.592647,negative,4162,Bacteria
