ID,Predicted_Label,Contig_Length,True_Label
Bacteria_NZ_CP030047_1_length_1757099_cov_27.304875,negative,1757099,Bacteria
Bacteria_NZ_CP030047_2_length_1524313_cov_27.204156,negative,1524313,Bacteria
Bacteria_NZ_CP030047_3_length_903237_cov_27.662848,negative,903237,Bacteria
Bacteria_NZ_CP030047_4_length_843371_cov_26.837090,negative,843371,Bacteria
Bacteria_NZ_CP030047_5_length_716767_cov_27.531703,negative,716767,Bacteria
Bacteria_NZ_CP030047_6_length_607144_cov_27.361104,negative,607144,Bacteria
Bacteria_NZ_CP030047_7_length_566913_cov_27.180998,negative,566913,Bacteria
Bacteria_NZ_CP030047_8_length_445074_cov_26.977707,negative,445074,Bacteria
Bacteria_NZ_CP030047_9_length_358912_cov_27.841433,negative,358912,Bacteria
Bacteria_NZ_CP030047_10_length_344816_cov_27.477824,negative,344816,Bacteria
Bacteria_NZ_CP030047_11_length_286447_cov_27.229441,negative,286447,Bacteria
Bacteria_NZ_CP030047_12_length_261759_cov_26.985338,negative,261759,Bacteria
Bacteria_NZ_CP030047_13_length_215781_cov_26.769425,negative,215781,Bacteria
Bacteria_NZ_CP030047_14_length_136781_cov_27.170026,negative,136781,Bacteria
Bacteria_NZ_CP030047_15_length_91941_cov_26.090906,negative,91941,Bacteria
Bacteria_NZ_CP030047_16_length_74797_cov_27.329360,negative,74797,Bacteria
Bacteria_NZ_CP030047_17_length_51723_cov_27.354417,negative,51723,Bacteria
Bacteria_NZ_CP030047_18_length_46967_cov_27.735761,negative,46967,Bacteria
Bacteria_NZ_CP030047_19_length_2746_cov_82.355258,negative,2746,Bacteria
Bacteria_NZ_CP030047_20_length_1666_cov_59.956549,negative,1666,Bacteria
Bacteria_NZ_CP041372_1_length_465863_cov_63.034265,negative,465863,Bacteria
Bacteria_NZ_CP041372_2_length_321916_cov_62.354165,negative,321916,Bacteria
Bacteria_NZ_CP041372_3_length_290331_cov_61.918801,negative,290331,Bacteria
Bacteria_NZ_CP041372_4_length_230900_cov_63.895250,negative,230900,Bacteria
Prophage_NZ_CP041372_5_length_213887_cov_61.915883,negative,213887,Prophage
Bacteria_NZ_CP041372_6_length_192451_cov_62.658236,negative,192451,Bacteria
Bacteria_NZ_CP041372_7_length_179764_cov_61.988732,negative,179764,Bacteria
Bacteria_NZ_CP041372_8_length_148063_cov_61.995858,negative,148063,Bacteria
Bacteria_NZ_CP041372_9_length_127598_cov_61.014913,negative,127598,Bacteria
Bacteria_NZ_CP041372_10_length_123851_cov_62.603582,negative,123851,Bacteria
Bacteria_NZ_CP041372_11_length_112977_cov_62.101778,negative,112977,Bacteria
Bacteria_NZ_CP041372_12_length_105599_cov_61.936860,negative,105599,Bacteria
Bacteria_NZ_CP041372_13_length_95908_cov_61.892262,negative,95908,Bacteria
Bacteria_NZ_CP041372_14_length_88353_cov_62.747333,negative,88353,Bacteria
Bacteria_NZ_CP041372_15_length_77188_cov_61.928565,negative,77188,Bacteria
