seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Phage_NC_047738_1_length_42987_cov_85.144135||full	1.000	0.207	1.000	dsDNAphage	42932	8	63.300	0.000
Phage_NC_047826_1_length_40050_cov_91.365221||full	1.000	0.200	1.000	dsDNAphage	39995	15	85.100	0.000
Phage_NC_047952_1_length_42924_cov_85.269962||full	1.000	0.127	1.000	dsDNAphage	42869	13	90.700	0.000
Phage_NC_047997_1_length_40699_cov_89.906038||full	1.000	0.147	1.000	dsDNAphage	40644	17	86.300	0.000
Phage_NC_048075_1_length_103211_cov_35.416176||full	1.000	0.047	1.000	dsDNAphage	103067	14	33.700	0.600
Phage_NC_048076_1_length_41988_cov_87.180908||full	1.000	0.407	1.000	dsDNAphage	41933	6	52.900	0.000
Phage_NC_048200_1_length_40274_cov_90.568512||full	1.000	0.233	1.000	dsDNAphage	40255	14	85.700	0.000
Phage_NC_048652_1_length_151530_cov_24.125836||full	0.993	0.193	0.993	dsDNAphage	151475	29	62.600	0.400
Phage_NC_048684_1_length_45012_cov_81.278978||full	0.993	0.000	0.993	dsDNAphage	44957	1	30.000	5.000
Phage_NC_048722_1_length_121848_cov_30.013704||full	0.993	0.040	0.993	dsDNAphage	121793	10	35.300	2.400
Phage_NC_048728_1_length_128336_cov_28.483111||full	0.993	0.020	0.993	dsDNAphage	128205	9	34.200	3.700
Phage_NC_048742_1_length_127627_cov_28.617941||full	1.000	0.040	1.000	dsDNAphage	127572	7	34.200	2.700
Phage_NC_050146_1_length_65429_cov_55.901918||full	1.000	0.300	1.000	dsDNAphage	65374	26	96.800	0.000
Bacteria_NZ_CP061470_62_length_5898_cov_16.292316||full	0.527	0.080	0.527	dsDNAphage	5676	0	37.500	0.000
Bacteria_NZ_CP061470_67_length_1930_cov_54.153067||full	0.667	0.927	0.927	ssDNA	1667	0	100.000	0.000
Bacteria_NZ_CP062159_9_length_232417_cov_9.763498||0_partial	0.907	0.020	0.907	dsDNAphage	39105	3	38.300	17.000
Bacteria_NZ_CP062159_26_length_55654_cov_10.090829||0_partial	0.740	0.007	0.740	dsDNAphage	15749	1	14.300	35.700
Bacteria_NZ_CP062165_10_length_166779_cov_7.194471||0_partial	0.973	0.000	0.973	dsDNAphage	39131	7	50.000	18.400
Bacteria_NZ_CP062165_13_length_157919_cov_7.182873||0_partial	0.960	0.020	0.960	dsDNAphage	12467	1	13.000	17.400
Bacteria_NZ_CP062165_23_length_133687_cov_11.085960||full	0.907	0.000	0.907	dsDNAphage	132363	26	46.600	20.200
Bacteria_NZ_CP062165_110_length_1079_cov_14.542969||full	0.673	1.000	1.000	ssDNA	964	0	50.000	0.000
Bacteria_NZ_CP063373_13_length_67241_cov_5.499821||0_partial	0.953	0.007	0.953	dsDNAphage	17685	1	12.900	6.500
Bacteria_NZ_CP063373_13_length_67241_cov_5.499821||1_partial	0.987	0.013	0.987	dsDNAphage	19971	2	22.200	5.600
Bacteria_NZ_CP063373_29_length_52485_cov_5.191188||0_partial	0.933	0.000	0.933	dsDNAphage	29981	4	25.000	28.600
Bacteria_NZ_CP063373_89_length_33136_cov_5.447991||full	0.960	0.000	0.960	dsDNAphage	33134	3	29.400	2.900
Bacteria_NZ_CP063373_346_length_7871_cov_5.139585||full	0.607	0.000	0.607	dsDNAphage	7868	1	40.000	20.000
Bacteria_NZ_CP063373_374_length_6675_cov_5.627039||full	0.700	0.140	0.700	dsDNAphage	6345	0	25.000	0.000
Bacteria_NZ_CP063373_514_length_1704_cov_6.598545||full	0.600	0.327	0.600	dsDNAphage	1700	0	25.000	0.000
Bacteria_NZ_CP063374_1_length_275303_cov_7.152085||0_partial	0.947	0.000	0.947	dsDNAphage	13798	1	19.200	15.400
