seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Phage_NC_047738_1_length_42987_cov_274.511250||full	1.000	0.213	1.000	dsDNAphage	42932	8	63.300	0.000
Phage_NC_047952_1_length_42924_cov_22.544263||full	1.000	0.127	1.000	dsDNAphage	42869	13	90.700	0.000
Phage_NC_047997_1_length_40699_cov_140.701555||full	1.000	0.147	1.000	dsDNAphage	40644	17	86.300	0.000
Phage_NC_048075_1_length_103211_cov_17.220026||full	1.000	0.047	1.000	dsDNAphage	103156	14	33.700	0.600
Phage_NC_048076_1_length_41988_cov_94.147044||full	1.000	0.407	1.000	dsDNAphage	41933	6	52.900	0.000
Phage_NC_048200_1_length_40274_cov_106.704344||full	1.000	0.233	1.000	dsDNAphage	40255	14	85.700	0.000
Phage_NC_048652_1_length_151530_cov_36.408364||full	0.993	0.193	0.993	dsDNAphage	151472	29	62.600	0.400
Phage_NC_048722_1_length_121848_cov_31.517723||full	0.993	0.040	0.993	dsDNAphage	121793	10	35.300	2.400
Phage_NC_050146_1_length_65429_cov_290.060207||full	1.000	0.340	1.000	dsDNAphage	65374	26	96.800	0.000
Bacteria_NZ_CP064187_2_length_543118_cov_67.397573||0_partial	0.727	0.000	0.727	dsDNAphage	39251	3	25.800	32.200
Phage_NC_047793_1_length_38401_cov_35.732071||full	0.953	0.053	0.953	dsDNAphage	38389	8	42.600	0.000
Phage_NC_047795_1_length_40727_cov_19.548559||full	0.980	0.040	0.980	dsDNAphage	40724	8	45.300	1.900
Phage_NC_047826_1_length_28610_cov_5.643950||full	1.000	0.233	1.000	dsDNAphage	28606	11	83.700	0.000
Phage_NC_047826_2_length_11508_cov_5.801886||full	1.000	0.520	1.000	dsDNAphage	11508	6	100.000	0.000
Phage_NC_047870_1_length_45943_cov_69.591266||full	1.000	0.067	1.000	dsDNAphage	45705	6	57.100	1.800
Phage_NC_047873_1_length_39208_cov_46.379996||full	1.000	0.227	1.000	dsDNAphage	38060	15	91.500	0.000
Phage_NC_047894_1_length_47866_cov_209.573383||full	1.000	0.193	1.000	dsDNAphage	46844	7	67.400	0.000
Phage_NC_047904_1_length_42534_cov_39.651169||full	0.980	0.047	0.980	dsDNAphage	41817	5	51.800	1.800
Phage_NC_047956_1_length_46561_cov_52.066572||full	1.000	0.200	1.000	dsDNAphage	46557	7	66.000	0.000
Phage_NC_047967_1_length_15446_cov_94.311546||full	1.000	0.167	1.000	dsDNAphage	15310	9	88.200	0.000
Phage_NC_047967_2_length_9292_cov_101.065281||full	1.000	0.553	1.000	dsDNAphage	9290	3	91.700	0.000
Phage_NC_047967_3_length_8619_cov_96.566441||full	0.867	0.307	0.867	dsDNAphage	8287	0	90.900	0.000
Phage_NC_047967_4_length_6615_cov_90.989482||full	0.987	0.587	0.987	dsDNAphage	6613	0	76.500	0.000
Phage_NC_047967_5_length_2738_cov_100.508386||full	1.000	0.873	1.000	dsDNAphage	2736	4	100.000	0.000
Phage_NC_047974_1_length_53836_cov_14.348264||full	0.993	0.153	0.993	dsDNAphage	52749	10	47.700	1.200
Phage_NC_048029_1_length_43057_cov_47.765453||full	1.000	0.040	1.000	dsDNAphage	43055	7	58.800	2.000
Phage_NC_048147_1_length_61799_cov_18.914162||full	0.980	0.227	0.980	dsDNAphage	61652	23	61.400	0.000
Phage_NC_048153_1_length_36191_cov_27.577070||full	0.967	0.033	0.967	dsDNAphage	36173	8	40.400	0.000
Phage_NC_048155_1_length_41213_cov_28.863915||full	0.993	0.487	0.993	dsDNAphage	40624	9	86.500	0.000
Phage_NC_048628_1_length_42892_cov_45.646124||full	0.993	0.207	0.993	dsDNAphage	42891	12	71.200	0.000
Phage_NC_048638_1_length_41560_cov_17.534707||full	0.993	0.007	0.993	dsDNAphage	41123	6	63.900	5.600
Phage_NC_048638_2_length_12909_cov_18.515637||full	1.000	0.373	1.000	dsDNAphage	12804	0	47.600	0.000
Phage_NC_048638_3_length_10659_cov_19.238684||full	0.987	0.133	0.987	dsDNAphage	10648	0	45.800	0.000
Phage_NC_048684_1_length_16928_cov_6.776151||full	0.920	0.047	0.920	dsDNAphage	14810	0	22.600	6.500
Phage_NC_048684_2_length_16057_cov_6.698475||full	0.620	0.007	0.620	dsDNAphage	15792	0	38.900	5.600
Phage_NC_048684_3_length_11871_cov_5.999154||full	1.000	0.353	1.000	dsDNAphage	11672	1	45.500	0.000
Phage_NC_048688_1_length_39458_cov_40.160622||full	0.993	0.020	0.993	dsDNAphage	39382	12	62.500	4.700
Phage_NC_048689_1_length_40533_cov_19.110949||full	0.993	0.020	0.993	dsDNAphage	40514	13	58.800	5.900
Phage_NC_048692_1_length_42262_cov_170.979814||full	0.993	0.027	0.993	dsDNAphage	42173	14	66.700	3.200
Phage_NC_048708_1_length_46803_cov_156.031488||full	1.000	0.407	1.000	dsDNAphage	45288	14	89.100	0.000
Phage_NC_048715_1_length_41027_cov_139.600117||full	0.993	0.020	0.993	dsDNAphage	40987	12	52.900	5.700
Phage_NC_048716_1_length_37937_cov_30.946729||full	1.000	0.020	1.000	dsDNAphage	37844	13	58.700	6.300
Phage_NC_048728_1_length_128416_cov_7.019344||full	0.993	0.020	0.993	dsDNAphage	128416	9	33.600	3.600
Phage_NC_048742_1_length_127709_cov_9.064416||full	1.000	0.033	1.000	dsDNAphage	127688	7	34.500	2.700
Phage_NC_048806_1_length_65678_cov_44.723527||full	1.000	0.247	1.000	dsDNAphage	64726	26	95.600	0.000
Phage_NC_048832_1_length_39250_cov_48.944993||full	1.000	0.700	1.000	dsDNAphage	39139	7	49.300	0.000
Phage_NC_048833_1_length_39022_cov_24.534247||full	1.000	0.220	1.000	dsDNAphage	38909	7	52.300	1.500
Phage_NC_048837_1_length_38519_cov_28.580907||full	1.000	0.613	1.000	dsDNAphage	38404	7	56.500	0.000
Phage_NC_048839_1_length_38132_cov_331.188985||full	1.000	0.260	1.000	dsDNAphage	38011	7	47.800	1.500
Phage_NC_049463_1_length_74743_cov_10.098342||full	1.000	0.073	1.000	dsDNAphage	74024	9	60.500	1.200
Phage_NC_049492_1_length_167882_cov_14.567173||full	1.000	0.320	1.000	dsDNAphage	167777	43	82.400	0.000
Phage_NC_049493_1_length_144985_cov_7.438715||full	1.000	0.373	1.000	dsDNAphage	144979	39	81.500	0.000
Phage_NC_049493_2_length_15942_cov_7.197331||full	1.000	0.813	1.000	dsDNAphage	15583	4	100.000	0.000
Phage_NC_049493_3_length_4321_cov_6.966010||full	0.980	0.900	0.980	dsDNAphage	4061	0	75.000	0.000
Phage_NC_049962_1_length_27202_cov_489.524073||full	1.000	0.180	1.000	dsDNAphage	26539	5	42.200	0.000
Phage_NC_049965_1_length_19082_cov_56.981973||full	1.000	0.047	1.000	dsDNAphage	18558	5	56.000	0.000
Phage_NC_049968_1_length_26350_cov_59.388477||full	1.000	0.087	1.000	dsDNAphage	25856	4	42.200	0.000
Phage_NC_049970_1_length_20078_cov_114.571193||full	1.000	0.067	1.000	dsDNAphage	19686	6	53.600	0.000
Phage_NC_049971_1_length_18464_cov_264.758216||full	1.000	0.027	1.000	dsDNAphage	18286	4	44.400	0.000
Phage_NC_049973_1_length_20777_cov_135.640961||full	1.000	0.093	1.000	dsDNAphage	20395	5	43.800	0.000
Phage_NC_049974_1_length_16704_cov_135.402066||full	0.980	0.060	0.980	dsDNAphage	16701	5	65.000	0.000
Phage_NC_049974_2_length_1629_cov_86.766836||full	0.967	0.953	0.967	dsDNAphage	1428	0	40.000	0.000
Phage_NC_049974_3_length_1486_cov_101.367575||full	0.773	1.000	1.000	ssDNA	1484	0	66.700	0.000
Phage_NC_050148_1_length_66655_cov_183.332913||full	1.000	0.300	1.000	dsDNAphage	66052	26	96.800	0.000
Bacteria_NZ_AP023239_9_length_145127_cov_8.455519||full	0.787	0.000	0.787	dsDNAphage	142200	10	33.100	25.000
Bacteria_NZ_AP023239_12_length_136330_cov_8.661486||0_partial	0.760	0.000	0.760	dsDNAphage	22477	2	25.000	29.200
Bacteria_NZ_AP023239_35_length_60561_cov_8.037682||0_partial	0.740	0.000	0.740	dsDNAphage	34325	2	18.200	36.400
Bacteria_NZ_AP023239_45_length_49288_cov_8.279365||0_partial	0.907	0.000	0.907	dsDNAphage	10741	1	25.000	37.500
Bacteria_NZ_AP023440_49_length_2383_cov_1.794244||full	0.827	0.447	0.827	dsDNAphage	2243	0	100.000	0.000
Bacteria_NZ_AP023440_79_length_2205_cov_2.374419||full	0.800	0.440	0.800	dsDNAphage	1952	0	50.000	0.000
Bacteria_NZ_AP023440_130_length_1936_cov_1.837852||full	0.640	0.240	0.640	dsDNAphage	1894	0	50.000	0.000
Bacteria_NZ_AP023440_178_length_1793_cov_2.188147||full	0.827	0.160	0.827	dsDNAphage	1557	0	33.300	0.000
Bacteria_NZ_AP023440_194_length_1748_cov_2.220910||full	0.900	0.427	0.900	dsDNAphage	1700	0	100.000	0.000
Bacteria_NZ_AP023440_222_length_1680_cov_1.587077||full	0.273	0.500	0.500	ssDNA	1285	0	50.000	0.000
Bacteria_NZ_AP023440_362_length_1492_cov_1.527488||full	0.713	0.107	0.713	dsDNAphage	1489	0	33.300	0.000
Bacteria_NZ_AP023440_475_length_1352_cov_1.284503||full	0.487	0.520	0.520	ssDNA	1352	0	25.000	0.000
Bacteria_NZ_AP023440_517_length_1302_cov_2.191660||full	0.753	0.127	0.753	dsDNAphage	1300	0	33.300	0.000
Bacteria_NZ_AP023440_598_length_1226_cov_1.859095||full	0.567	0.133	0.567	dsDNAphage	1224	0	33.300	0.000
Bacteria_NZ_AP023440_620_length_1195_cov_1.630702||full	1.000	0.427	1.000	dsDNAphage	969	1	50.000	0.000
Bacteria_NZ_AP023440_821_length_1026_cov_1.427394||full	0.567	0.267	0.567	dsDNAphage	981	0	33.300	0.000
