ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Bacteria_NZ_CP053688_153_length_6807_cov_3_892624,1,Viruses,Bacteria,6807
VIRSorter_Bacteria_NZ_CP053688_262_length_5388_cov_3_674105,1,Viruses,Bacteria,5388
VIRSorter_Bacteria_NZ_CP053688_274_length_5246_cov_3_669620,1,Viruses,Bacteria,5246
VIRSorter_Bacteria_NZ_CP056552_107_length_11627_cov_5_934929,1,Viruses,Bacteria,11627
VIRSorter_Phage_NC_047794_1_length_39516_cov_63_320671,1,Viruses,Phage,39516
VIRSorter_Phage_NC_048085_2_length_8830_cov_31_186325,1,Viruses,Phage,8830
VIRSorter_Phage_NC_048168_1_length_43404_cov_54_368451,1,Viruses,Phage,43404
VIRSorter_Phage_NC_048192_1_length_43027_cov_182_411570,1,Viruses,Phage,43027
VIRSorter_Phage_NC_048624_1_length_42458_cov_125_262953,1,Viruses,Phage,42458
VIRSorter_Phage_NC_048628_1_length_42920_cov_109_321311,1,Viruses,Phage,42920
VIRSorter_Phage_NC_048657_1_length_43478_cov_19_069456,1,Viruses,Phage,43478
VIRSorter_Phage_NC_048681_1_length_38573_cov_356_629186,1,Viruses,Phage,38573
VIRSorter_Phage_NC_048711_1_length_43152_cov_47_635033,1,Viruses,Phage,43152
VIRSorter_Phage_NC_048745_1_length_66061_cov_28_414417,1,Viruses,Phage,66061
VIRSorter_Phage_NC_048781_5_length_6882_cov_5_391241,1,Viruses,Phage,6882
VIRSorter_Phage_NC_048852_15_length_2365_cov_3_361039,1,Viruses,Phage,2365
VIRSorter_Phage_NC_048852_7_length_3957_cov_2_198360,1,Viruses,Phage,3957
VIRSorter_Phage_NC_048852_8_length_3828_cov_3_352240,1,Viruses,Phage,3828
VIRSorter_Phage_NC_049962_1_length_27182_cov_117_767575,1,Viruses,Phage,27182
VIRSorter_Phage_NC_049964_1_length_26059_cov_511_188663,1,Viruses,Phage,26059
VIRSorter_Phage_NC_050143_1_length_60717_cov_33_397118,1,Viruses,Phage,60717
VIRSorter_Phage_NC_050144_1_length_65597_cov_82_610601-circular,1,Viruses,Phage,65597
VIRSorter_Prophage_NZ_AP023189_47_length_7751_cov_56_898259,1,Viruses,Prophage,7751
VIRSorter_Prophage_NZ_CP053688_273_length_5259_cov_3_190815,1,Viruses,Prophage,5259
