"","name","length","score","pvalue"
"1","Prophage_NZ_AP023189_1_length_552821_cov_29.272126",552821,0.0158920363529618,0.654377880184332
"2","Bacteria_NZ_AP023189_2_length_485291_cov_30.077204",485291,0.0254166849587921,0.573732718894009
"3","Bacteria_NZ_AP023189_3_length_448275_cov_29.567920",448275,0.0143027057660274,0.672083434392433
"4","Bacteria_NZ_AP023189_4_length_389569_cov_29.895062",389569,0.0146083462029202,0.668687848653893
"5","Bacteria_NZ_AP023189_5_length_323224_cov_29.458621",323224,0.010227728267847,0.721561969439728
"6","Bacteria_NZ_AP023189_6_length_252838_cov_29.631348",252838,0.0140632038073734,0.67402376910017
"7","Bacteria_NZ_AP023189_7_length_245142_cov_29.441590",245142,0.0133115287875008,0.681057482415717
"8","Bacteria_NZ_AP023189_8_length_240588_cov_30.678069",240588,0.0132393192715964,0.682027649769585
"9","Bacteria_NZ_AP023189_9_length_237199_cov_29.386664",237199,0.0235435252921039,0.586829978171235
"10","Bacteria_NZ_AP023189_10_length_236446_cov_28.684844",236446,0.0193746557844743,0.621634731991269
"11","Bacteria_NZ_AP023189_11_length_209685_cov_29.400153",209685,0.0200354100520976,0.615086102352656
"12","Bacteria_NZ_AP023189_12_length_197007_cov_30.638856",197007,0.00857161120724544,0.748241571671113
"13","Bacteria_NZ_AP023189_13_length_190509_cov_30.322487",190509,0.0121127728625463,0.696701430996847
"14","Bacteria_NZ_AP023189_14_length_180762_cov_29.847875",180762,0.00839862327665441,0.749939364540383
"15","Bacteria_NZ_AP023189_15_length_176268_cov_29.186632",176268,0.0301345350786336,0.54317244724715
"16","Bacteria_NZ_AP023189_16_length_170523_cov_30.941907",170523,0.00867071611261403,0.746058695124909
"17","Bacteria_NZ_AP023189_17_length_161498_cov_29.669084",161498,0.0146911161221709,0.667717681300024
"18","Bacteria_NZ_AP023189_18_length_151366_cov_29.038199",151366,0.0133884606230537,0.680329856900315
"19","Bacteria_NZ_AP023189_19_length_139354_cov_29.123777",139354,0.0223905926808564,0.597259277225321
"20","Bacteria_NZ_AP023189_20_length_137567_cov_33.625145",137567,0.0171617789001077,0.642857142857143
"21","Bacteria_NZ_AP023189_21_length_116254_cov_28.607053",116254,0.00816247448243152,0.754547659471259
"22","Bacteria_NZ_AP023189_22_length_110901_cov_29.903037",110901,0.0297586634995593,0.545476594712588
"23","Bacteria_NZ_AP023189_23_length_110766_cov_30.017668",110766,0.020668706607919,0.609143827310211
"24","Bacteria_NZ_AP023189_24_length_101042_cov_29.658015",101042,0.0125932573378319,0.690637885035169
"25","Bacteria_NZ_AP023189_25_length_98577_cov_28.977609",98577,0.0355128874160929,0.513703613873393
"26","Bacteria_NZ_AP023189_26_length_90795_cov_30.412563",90795,0.00788870184233622,0.760126121756003
"27","Bacteria_NZ_AP023189_27_length_86798_cov_30.465732",86798,0.0205278940026535,0.610235265583313
"28","Bacteria_NZ_AP023189_28_length_81089_cov_28.713577",81089,0.0101356255799416,0.723138491389765
"29","Bacteria_NZ_AP023189_29_length_68102_cov_29.515188",68102,0.0253866750019492,0.573975260732476
"30","Bacteria_NZ_AP023189_30_length_66658_cov_29.167875",66658,0.102954140616266,0.330099442153772
"31","Bacteria_NZ_AP023189_31_length_64358_cov_30.141346",64358,0.0100350934351742,0.724593742420568
"32","Bacteria_NZ_AP023189_32_length_64308_cov_30.680108",64308,0.113415126626178,0.314940577249576
"33","Bacteria_NZ_AP023189_33_length_59547_cov_29.086415",59547,0.020738548613925,0.60841620179481
"34","Bacteria_NZ_AP023189_34_length_58816_cov_29.222188",58816,0.0752789296117764,0.385035168566578
"35","Bacteria_NZ_AP023189_35_length_54304_cov_29.504452",54304,0.0176991527204873,0.637157409653165
"36","Bacteria_NZ_AP023189_36_length_50594_cov_29.353687",50594,0.0119768921763109,0.697914140189183
"37","Bacteria_NZ_AP023189_37_length_42972_cov_29.511056",42972,0.00793852193466592,0.759277225321368
"38","Bacteria_NZ_AP023189_38_length_42703_cov_29.445132",42703,0.0298282962606889,0.545234052874121
"39","Bacteria_NZ_AP023189_39_length_41751_cov_30.730310",41751,0.0157964576545591,0.654741692942033
"40","Bacteria_NZ_AP023189_40_length_39774_cov_28.836602",39774,0.0422822411258369,0.482051903953432
"41","Bacteria_NZ_AP023189_41_length_39772_cov_28.892993",39772,0.0134575819144374,0.679723502304147
"42","Bacteria_NZ_AP023189_42_length_33721_cov_29.596447",33721,0.00994627913147974,0.725442638855203
"43","Prophage_NZ_AP023189_43_length_32433_cov_29.700476",32433,0.04141347364699,0.485326218772738
"44","Bacteria_NZ_AP023189_44_length_24066_cov_29.357919",24066,0.00622087337230566,0.790686393402862
