seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Phage_NC_047747_1_length_40338_cov_453.530546||full	1.000	0.187	1.000	dsDNAphage	40283	15	87.800	0.000
Phage_NC_048706_1_length_45935_cov_398.210920||full	0.993	0.007	0.993	dsDNAphage	45880	2	36.900	3.100
Phage_NC_049456_1_length_75471_cov_242.199016||full	1.000	0.127	1.000	dsDNAphage	75416	5	58.500	0.000
Bacteria_NZ_CP030047_3_length_903237_cov_25.622075||0_partial	0.713	0.000	0.713	dsDNAphage	12305	1	17.400	39.100
Bacteria_NZ_CP030047_4_length_843452_cov_24.847644||0_partial	0.967	0.000	0.967	dsDNAphage	29921	2	18.000	10.000
Bacteria_NZ_CP040094_7_length_161340_cov_51.136901||0_partial	0.713	0.000	0.713	dsDNAphage	10767	1	20.000	30.000
Bacteria_NZ_CP040094_15_length_126962_cov_29.679372||0_partial	0.807	0.013	0.807	dsDNAphage	24609	1	20.000	5.000
Bacteria_NZ_CP040094_30_length_88345_cov_29.396115||full	0.887	0.000	0.887	dsDNAphage	79352	2	20.600	9.800
Bacteria_NZ_CP040094_31_length_87170_cov_30.515629||0_partial	0.967	0.000	0.967	dsDNAphage	19453	1	14.800	3.700
Bacteria_NZ_CP040094_36_length_85870_cov_28.617794||full	0.873	0.000	0.873	dsDNAphage	80599	6	18.700	11.200
Bacteria_NZ_CP040094_143_length_1546_cov_55.436620||full	0.947	1.000	1.000	ssDNA	1522	0	66.700	0.000
Prophage_NZ_CP041372_4_length_281279_cov_57.619154||0_partial	0.953	0.000	0.953	dsDNAphage	81059	12	31.900	16.400
Bacteria_NZ_CP041372_25_length_47159_cov_57.817510||full	0.993	0.000	0.993	dsDNAphage	46368	10	51.400	4.200
Bacteria_NZ_CP041372_28_length_31632_cov_117.199132||full	1.000	0.033	1.000	dsDNAphage	31533	12	57.700	3.800
Bacteria_NZ_CP041372_46_length_3864_cov_117.583880||full	1.000	0.113	1.000	dsDNAphage	3610	1	42.900	0.000
Bacteria_NZ_CP041372_50_length_1398_cov_167.253909||full	0.873	0.933	0.933	ssDNA	1216	0	66.700	0.000
Bacteria_NZ_CP048810_2_length_522488_cov_34.049210||0_partial	0.960	0.000	0.960	dsDNAphage	57428	12	33.800	28.600
Bacteria_NZ_CP048810_32_length_36665_cov_33.883775||full	0.887	0.000	0.887	dsDNAphage	33664	13	37.800	28.900
Bacteria_NZ_CP048810_39_length_1930_cov_135.455467||full	0.553	0.873	0.873	ssDNA	1859	0	50.000	0.000
Bacteria_NZ_CP053109_3_length_506193_cov_24.269917||0_partial	0.953	0.000	0.953	dsDNAphage	55478	5	28.600	6.600
Bacteria_NZ_CP053109_6_length_355630_cov_24.424909||0_partial	0.967	0.000	0.967	dsDNAphage	57336	7	26.600	9.600
Bacteria_NZ_CP053109_9_length_339428_cov_24.190825||0_partial	0.820	0.000	0.820	dsDNAphage	30297	4	23.300	23.300
Bacteria_NZ_CP053109_19_length_203744_cov_24.124234||0_partial	0.947	0.000	0.947	dsDNAphage	46163	5	23.400	11.700
Bacteria_NZ_CP053109_75_length_1288_cov_310.035685||full	0.867	0.520	0.867	dsDNAphage	1184	0	100.000	0.000
Bacteria_NZ_CP053609_1_length_521786_cov_70.556852||0_partial	0.953	0.007	0.953	dsDNAphage	62849	15	47.500	22.500
Bacteria_NZ_CP053609_3_length_228930_cov_72.162678||0_partial	0.927	0.000	0.927	dsDNAphage	15243	2	44.400	22.200
Bacteria_NZ_CP061335_1_length_797590_cov_41.464920||0_partial	0.967	0.007	0.967	dsDNAphage	58295	11	40.200	19.500
Bacteria_NZ_CP061476_30_length_4666_cov_64.083713||full	0.687	0.087	0.687	dsDNAphage	4340	0	20.000	0.000
Bacteria_NZ_LR824639_1_length_483891_cov_46.404331||0_partial	0.847	0.000	0.847	dsDNAphage	36611	4	20.000	52.500
Phage_NC_047933_1_length_43183_cov_423.500649||full	0.993	0.227	0.993	dsDNAphage	42928	9	63.000	0.000
Phage_NC_047954_1_length_46642_cov_392.224870||full	0.993	0.087	0.993	dsDNAphage	46548	7	62.000	0.000
Phage_NC_048168_1_length_43444_cov_423.196870||full	1.000	0.153	1.000	dsDNAphage	43392	14	92.600	0.000
Phage_NC_048639_1_length_44791_cov_257.128398||full	1.000	0.007	1.000	dsDNAphage	44599	6	63.900	5.600
Phage_NC_048639_2_length_14249_cov_250.890517||full	0.980	0.387	0.980	dsDNAphage	14030	0	48.000	0.000
Phage_NC_048639_3_length_11572_cov_262.246332||full	0.980	0.233	0.980	dsDNAphage	11570	0	43.500	0.000
Phage_NC_048641_1_length_40384_cov_439.053113||full	1.000	0.013	1.000	dsDNAphage	39992	11	63.300	6.700
Phage_NC_048675_1_length_66181_cov_276.520945||full	1.000	0.320	1.000	dsDNAphage	65218	26	97.800	0.000
Phage_NC_049976_1_length_18751_cov_977.517062||full	1.000	0.093	1.000	dsDNAphage	18292	5	60.000	0.000
