ID,Predicted_Label,Contig_Length,True_Label
Bacteria_NZ_AP023239_1_length_83250_cov_5.343771,negative,83250,Bacteria
Bacteria_NZ_AP023239_2_length_73209_cov_5.143437,negative,73209,Bacteria
Bacteria_NZ_AP023239_3_length_66753_cov_5.658715,negative,66753,Bacteria
Bacteria_NZ_AP023239_4_length_64374_cov_5.270838,negative,64374,Bacteria
Bacteria_NZ_AP023239_5_length_61457_cov_5.258770,negative,61457,Bacteria
Bacteria_NZ_AP023239_6_length_59613_cov_5.089224,negative,59613,Bacteria
Bacteria_NZ_AP023239_7_length_59073_cov_6.037921,negative,59073,Bacteria
Bacteria_NZ_AP023239_8_length_58887_cov_5.476951,negative,58887,Bacteria
Bacteria_NZ_AP023239_9_length_57972_cov_5.619110,negative,57972,Bacteria
Bacteria_NZ_AP023239_10_length_57456_cov_5.181687,negative,57456,Bacteria
Bacteria_NZ_AP023239_11_length_53416_cov_5.390566,negative,53416,Bacteria
Bacteria_NZ_AP023239_12_length_53376_cov_5.400818,negative,53376,Bacteria
Bacteria_NZ_AP023239_13_length_53263_cov_5.294693,negative,53263,Bacteria
Bacteria_NZ_AP023239_14_length_50193_cov_5.216024,negative,50193,Bacteria
Bacteria_NZ_AP023239_15_length_45830_cov_5.393687,negative,45830,Bacteria
Bacteria_NZ_AP023239_16_length_45594_cov_5.734294,phage,45594,Bacteria
Bacteria_NZ_AP023239_17_length_44895_cov_5.475491,negative,44895,Bacteria
Bacteria_NZ_AP023239_18_length_42397_cov_5.728071,negative,42397,Bacteria
Bacteria_NZ_AP023239_19_length_42197_cov_5.090575,negative,42197,Bacteria
Bacteria_NZ_AP023239_20_length_41791_cov_5.246142,negative,41791,Bacteria
Bacteria_NZ_AP023239_21_length_40807_cov_5.294121,negative,40807,Bacteria
Bacteria_NZ_AP023239_22_length_40147_cov_5.233114,negative,40147,Bacteria
Bacteria_NZ_AP023239_23_length_40078_cov_6.055368,negative,40078,Bacteria
Bacteria_NZ_AP023239_24_length_39682_cov_5.488783,negative,39682,Bacteria
Bacteria_NZ_AP023239_25_length_39317_cov_5.182594,negative,39317,Bacteria
Bacteria_NZ_AP023239_26_length_37981_cov_4.773480,negative,37981,Bacteria
Bacteria_NZ_AP023239_27_length_37590_cov_5.279046,negative,37590,Bacteria
Bacteria_NZ_AP023239_28_length_37584_cov_4.976258,negative,37584,Bacteria
Bacteria_NZ_AP023239_29_length_36864_cov_5.099731,negative,36864,Bacteria
Bacteria_NZ_AP023239_30_length_36519_cov_6.415944,negative,36519,Bacteria
Bacteria_NZ_AP023239_31_length_36461_cov_5.191891,negative,36461,Bacteria
Bacteria_NZ_AP023239_32_length_36298_cov_5.563888,negative,36298,Bacteria
Bacteria_NZ_AP023239_33_length_35585_cov_5.574106,negative,35585,Bacteria
Bacteria_NZ_AP023239_34_length_34944_cov_5.730660,negative,34944,Bacteria
Bacteria_NZ_AP023239_35_length_34870_cov_5.549505,negative,34870,Bacteria
Bacteria_NZ_AP023239_36_length_34352_cov_5.479721,negative,34352,Bacteria
Bacteria_NZ_AP023239_37_length_34118_cov_5.033937,negative,34118,Bacteria
Bacteria_NZ_AP023239_38_length_34030_cov_4.899220,negative,34030,Bacteria
Bacteria_NZ_AP023239_39_length_33458_cov_5.409125,negative,33458,Bacteria
Bacteria_NZ_AP023239_40_length_32943_cov_5.272561,phage,32943,Bacteria
Bacteria_NZ_AP023239_41_length_32844_cov_5.307969,negative,32844,Bacteria
Bacteria_NZ_AP023239_42_length_32830_cov_5.462578,negative,32830,Bacteria
Bacteria_NZ_AP023239_43_length_32692_cov_5.255385,negative,32692,Bacteria
Bacteria_NZ_AP023239_44_length_32259_cov_4.711806,negative,32259,Bacteria
Bacteria_NZ_AP023239_45_length_31832_cov_5.602197,negative,31832,Bacteria
Bacteria_NZ_AP023239_46_length_30933_cov_5.527657,negative,30933,Bacteria
Bacteria_NZ_AP023239_47_length_30753_cov_5.181087,negative,30753,Bacteria
