ID,Predicted_Label,Contig_Length,True_Label
Bacteria_NZ_CP030047_1_length_1164968_cov_25.331137,negative,1164968,Bacteria
Bacteria_NZ_CP030047_2_length_962086_cov_24.852693,negative,962086,Bacteria
Bacteria_NZ_CP030047_3_length_903237_cov_25.622075,negative,903237,Bacteria
Bacteria_NZ_CP030047_4_length_843452_cov_24.847644,negative,843452,Bacteria
Bacteria_NZ_CP030047_5_length_716767_cov_25.480978,negative,716767,Bacteria
Bacteria_NZ_CP030047_6_length_654056_cov_25.331714,negative,654056,Bacteria
Bacteria_NZ_CP030047_7_length_591109_cov_24.900322,negative,591109,Bacteria
Bacteria_NZ_CP030047_8_length_549860_cov_25.518964,negative,549860,Bacteria
Bacteria_NZ_CP030047_9_length_522822_cov_25.280467,negative,522822,Bacteria
Bacteria_NZ_CP030047_10_length_445074_cov_24.905489,negative,445074,Bacteria
Bacteria_NZ_CP030047_11_length_358912_cov_25.715536,negative,358912,Bacteria
Bacteria_NZ_CP030047_12_length_344816_cov_25.525405,negative,344816,Bacteria
Bacteria_NZ_CP030047_13_length_286447_cov_25.267867,negative,286447,Bacteria
Bacteria_NZ_CP030047_14_length_261759_cov_25.041299,negative,261759,Bacteria
Bacteria_NZ_CP030047_15_length_215781_cov_24.788064,negative,215781,Bacteria
Bacteria_NZ_CP030047_16_length_136749_cov_25.242081,negative,136749,Bacteria
Bacteria_NZ_CP030047_17_length_91941_cov_23.947359,negative,91941,Bacteria
Bacteria_NZ_CP030047_18_length_74793_cov_25.262571,negative,74793,Bacteria
Bacteria_NZ_CP030047_19_length_51723_cov_25.278567,negative,51723,Bacteria
Bacteria_NZ_CP030047_20_length_43865_cov_24.192171,negative,43865,Bacteria
Bacteria_NZ_CP030047_21_length_7930_cov_27.967111,negative,7930,Bacteria
Bacteria_NZ_CP030047_22_length_2746_cov_77.342995,negative,2746,Bacteria
Bacteria_NZ_CP030047_23_length_1666_cov_54.649907,negative,1666,Bacteria
Bacteria_NZ_CP040094_1_length_354158_cov_37.405207,negative,354158,Bacteria
Bacteria_NZ_CP040094_2_length_268419_cov_32.576877,negative,268419,Bacteria
Bacteria_NZ_CP040094_3_length_256635_cov_36.665313,negative,256635,Bacteria
Bacteria_NZ_CP040094_4_length_245149_cov_50.809591,negative,245149,Bacteria
Bacteria_NZ_CP040094_5_length_235123_cov_31.569797,negative,235123,Bacteria
Bacteria_NZ_CP040094_6_length_164044_cov_29.705986,negative,164044,Bacteria
Bacteria_NZ_CP040094_7_length_161340_cov_51.136901,negative,161340,Bacteria
Bacteria_NZ_CP040094_8_length_160638_cov_28.841503,negative,160638,Bacteria
Bacteria_NZ_CP040094_9_length_151410_cov_37.428773,negative,151410,Bacteria
Bacteria_NZ_CP040094_10_length_144220_cov_50.731627,negative,144220,Bacteria
Bacteria_NZ_CP040094_11_length_142401_cov_38.746568,negative,142401,Bacteria
Bacteria_NZ_CP040094_12_length_139415_cov_29.264251,negative,139415,Bacteria
Bacteria_NZ_CP040094_13_length_137210_cov_29.029908,negative,137210,Bacteria
Bacteria_NZ_CP040094_14_length_128884_cov_37.903904,negative,128884,Bacteria
Bacteria_NZ_CP040094_15_length_126962_cov_29.679372,negative,126962,Bacteria
Bacteria_NZ_CP040094_16_length_120785_cov_30.102278,negative,120785,Bacteria
Bacteria_NZ_CP040094_17_length_116073_cov_30.014610,negative,116073,Bacteria
Bacteria_NZ_CP040094_18_length_111763_cov_45.291349,negative,111763,Bacteria
Bacteria_NZ_CP040094_19_length_109956_cov_28.934305,negative,109956,Bacteria
Bacteria_NZ_CP040094_20_length_109549_cov_40.756736,negative,109549,Bacteria
Bacteria_NZ_CP040094_21_length_106335_cov_28.804065,negative,106335,Bacteria
Bacteria_NZ_CP040094_22_length_106101_cov_29.980386,negative,106101,Bacteria
Bacteria_NZ_CP040094_23_length_105801_cov_30.975763,negative,105801,Bacteria
Bacteria_NZ_CP040094_24_length_103001_cov_43.140171,negative,103001,Bacteria
Bacteria_NZ_CP040094_25_length_102031_cov_52.661116,negative,102031,Bacteria
Bacteria_NZ_CP040094_26_length_94796_cov_28.863934,negative,94796,Bacteria
Bacteria_NZ_CP040094_27_length_92860_cov_39.360099,negative,92860,Bacteria
Bacteria_NZ_CP040094_28_length_88711_cov_29.222264,negative,88711,Bacteria
Bacteria_NZ_CP040094_29_length_88629_cov_42.555998,negative,88629,Bacteria
Bacteria_NZ_CP040094_30_length_88345_cov_29.396115,negative,88345,Bacteria
Bacteria_NZ_CP040094_31_length_87170_cov_30.515629,negative,87170,Bacteria
Bacteria_NZ_CP040094_32_length_86890_cov_30.148857,negative,86890,Bacteria
Bacteria_NZ_CP040094_33_length_86779_cov_42.251499,negative,86779,Bacteria
Bacteria_NZ_CP040094_34_length_86300_cov_32.215630,negative,86300,Bacteria
Bacteria_NZ_CP040094_35_length_85968_cov_29.166203,negative,85968,Bacteria
Bacteria_NZ_CP040094_36_length_85870_cov_28.617794,negative,85870,Bacteria
Bacteria_NZ_CP040094_37_length_81068_cov_28.145557,negative,81068,Bacteria
Bacteria_NZ_CP040094_38_length_78721_cov_30.879122,negative,78721,Bacteria
Bacteria_NZ_CP040094_39_length_76360_cov_29.890007,negative,76360,Bacteria
Bacteria_NZ_CP040094_40_length_71574_cov_31.383982,negative,71574,Bacteria
Bacteria_NZ_CP040094_41_length_70892_cov_30.311504,negative,70892,Bacteria
Bacteria_NZ_CP040094_42_length_70732_cov_35.036702,negative,70732,Bacteria
Bacteria_NZ_CP040094_43_length_70420_cov_28.669921,negative,70420,Bacteria
Bacteria_NZ_CP040094_44_length_70229_cov_59.909667,negative,70229,Bacteria
Bacteria_NZ_CP040094_45_length_69866_cov_47.752188,negative,69866,Bacteria
Bacteria_NZ_CP040094_46_length_66992_cov_29.767274,negative,66992,Bacteria
Bacteria_NZ_CP040094_47_length_66139_cov_66.069699,negative,66139,Bacteria
Bacteria_NZ_CP040094_48_length_62577_cov_67.424219,negative,62577,Bacteria
Bacteria_NZ_CP040094_49_length_57440_cov_53.569400,negative,57440,Bacteria
Bacteria_NZ_CP040094_50_length_56330_cov_29.555540,negative,56330,Bacteria
Bacteria_NZ_CP040094_51_length_55383_cov_43.878633,negative,55383,Bacteria
Bacteria_NZ_CP040094_52_length_53903_cov_28.885790,negative,53903,Bacteria
Bacteria_NZ_CP040094_53_length_53589_cov_68.144226,negative,53589,Bacteria
Bacteria_NZ_CP040094_54_length_49663_cov_29.413119,negative,49663,Bacteria
Bacteria_NZ_CP040094_55_length_48580_cov_59.233509,negative,48580,Bacteria
Bacteria_NZ_CP040094_56_length_47500_cov_34.216440,negative,47500,Bacteria
Bacteria_NZ_CP040094_57_length_47264_cov_51.338601,negative,47264,Bacteria
Bacteria_NZ_CP040094_58_length_46942_cov_55.592040,negative,46942,Bacteria
Bacteria_NZ_CP040094_59_length_46618_cov_54.933252,phage,46618,Bacteria
Bacteria_NZ_CP040094_60_length_44570_cov_81.966820,negative,44570,Bacteria
Bacteria_NZ_CP040094_61_length_42790_cov_29.531040,negative,42790,Bacteria
Bacteria_NZ_CP040094_62_length_41712_cov_50.699090,negative,41712,Bacteria
Bacteria_NZ_CP040094_63_length_40311_cov_37.827305,negative,40311,Bacteria
Bacteria_NZ_CP040094_64_length_40274_cov_28.217012,negative,40274,Bacteria
Bacteria_NZ_CP040094_65_length_38508_cov_29.520792,negative,38508,Bacteria
Bacteria_NZ_CP040094_66_length_37214_cov_60.598913,negative,37214,Bacteria
Bacteria_NZ_CP040094_67_length_35054_cov_29.603046,negative,35054,Bacteria
Bacteria_NZ_CP040094_68_length_34748_cov_29.890180,negative,34748,Bacteria
Bacteria_NZ_CP040094_69_length_34440_cov_29.617828,negative,34440,Bacteria
Bacteria_NZ_CP040094_70_length_34416_cov_27.698990,negative,34416,Bacteria
Bacteria_NZ_CP040094_71_length_34185_cov_29.746880,negative,34185,Bacteria
Bacteria_NZ_CP040094_72_length_33415_cov_29.061061,negative,33415,Bacteria
Bacteria_NZ_CP040094_73_length_32276_cov_37.114646,negative,32276,Bacteria
Bacteria_NZ_CP040094_74_length_31722_cov_28.785171,negative,31722,Bacteria
Bacteria_NZ_CP040094_75_length_31426_cov_60.557011,negative,31426,Bacteria
Bacteria_NZ_CP040094_76_length_30793_cov_28.382718,negative,30793,Bacteria
Bacteria_NZ_CP040094_77_length_27030_cov_74.373494,negative,27030,Bacteria
Bacteria_NZ_CP040094_78_length_26465_cov_78.889284,negative,26465,Bacteria
Bacteria_NZ_CP040094_79_length_26384_cov_29.355729,negative,26384,Bacteria
Bacteria_NZ_CP040094_80_length_26266_cov_32.317615,negative,26266,Bacteria
Bacteria_NZ_CP040094_81_length_25436_cov_67.149324,negative,25436,Bacteria
Bacteria_NZ_CP040094_82_length_24668_cov_65.282777,negative,24668,Bacteria
Bacteria_NZ_CP040094_83_length_23957_cov_29.536440,negative,23957,Bacteria
Bacteria_NZ_CP040094_84_length_23775_cov_28.208179,negative,23775,Bacteria
Bacteria_NZ_CP040094_85_length_23570_cov_30.646396,negative,23570,Bacteria
Bacteria_NZ_CP040094_86_length_22992_cov_83.090116,negative,22992,Bacteria
Bacteria_NZ_CP040094_87_length_21995_cov_29.085597,negative,21995,Bacteria
Bacteria_NZ_CP040094_88_length_21675_cov_26.720907,negative,21675,Bacteria
Bacteria_NZ_CP040094_89_length_21525_cov_29.801910,negative,21525,Bacteria
Bacteria_NZ_CP040094_90_length_21219_cov_29.126394,negative,21219,Bacteria
Bacteria_NZ_CP040094_91_length_20934_cov_29.380095,negative,20934,Bacteria
Bacteria_NZ_CP040094_92_length_19952_cov_135.588229,negative,19952,Bacteria
Bacteria_NZ_CP040094_93_length_19229_cov_27.120111,negative,19229,Bacteria
Bacteria_NZ_CP040094_94_length_18084_cov_33.328526,negative,18084,Bacteria
Bacteria_NZ_CP040094_95_length_17612_cov_28.304779,negative,17612,Bacteria
Bacteria_NZ_CP040094_96_length_17483_cov_28.368201,negative,17483,Bacteria
Bacteria_NZ_CP040094_97_length_16980_cov_36.621507,negative,16980,Bacteria
Bacteria_NZ_CP040094_98_length_16978_cov_43.101991,negative,16978,Bacteria
Bacteria_NZ_CP040094_99_length_16955_cov_27.629053,negative,16955,Bacteria
Bacteria_NZ_CP040094_100_length_16202_cov_29.615470,negative,16202,Bacteria
Bacteria_NZ_CP040094_101_length_15810_cov_29.027356,negative,15810,Bacteria
Bacteria_NZ_CP040094_102_length_14812_cov_120.489666,negative,14812,Bacteria
Bacteria_NZ_CP040094_103_length_14626_cov_28.268478,phage,14626,Bacteria
Bacteria_NZ_CP040094_104_length_14060_cov_36.874188,negative,14060,Bacteria
Bacteria_NZ_CP040094_105_length_13838_cov_29.484220,negative,13838,Bacteria
Bacteria_NZ_CP040094_106_length_13570_cov_95.516833,negative,13570,Bacteria
Bacteria_NZ_CP040094_107_length_13240_cov_30.006371,negative,13240,Bacteria
Bacteria_NZ_CP040094_108_length_12995_cov_28.076971,negative,12995,Bacteria
Bacteria_NZ_CP040094_109_length_11831_cov_37.036175,negative,11831,Bacteria
Bacteria_NZ_CP040094_110_length_11406_cov_138.654215,negative,11406,Bacteria
Bacteria_NZ_CP040094_111_length_11158_cov_28.308295,negative,11158,Bacteria
Bacteria_NZ_CP040094_112_length_10338_cov_29.424098,negative,10338,Bacteria
Bacteria_NZ_CP040094_113_length_9411_cov_30.192924,phage,9411,Bacteria
Bacteria_NZ_CP040094_114_length_9311_cov_29.166162,negative,9311,Bacteria
Bacteria_NZ_CP040094_115_length_9007_cov_28.188896,negative,9007,Bacteria
Bacteria_NZ_CP040094_116_length_8883_cov_29.481309,negative,8883,Bacteria
Bacteria_NZ_CP040094_117_length_8263_cov_28.762183,negative,8263,Bacteria
Bacteria_NZ_CP040094_118_length_7400_cov_196.742682,negative,7400,Bacteria
Bacteria_NZ_CP040094_119_length_6444_cov_29.404602,negative,6444,Bacteria
Bacteria_NZ_CP040094_120_length_6339_cov_35.196372,negative,6339,Bacteria
Bacteria_NZ_CP040094_121_length_6263_cov_32.955219,negative,6263,Bacteria
Bacteria_NZ_CP040094_122_length_5532_cov_31.325361,negative,5532,Bacteria
Bacteria_NZ_CP040094_123_length_5251_cov_26.023672,negative,5251,Bacteria
Bacteria_NZ_CP040094_124_length_5192_cov_109.806697,phage,5192,Bacteria
Bacteria_NZ_CP040094_125_length_4933_cov_28.575851,negative,4933,Bacteria
Bacteria_NZ_CP040094_126_length_4716_cov_39.993349,negative,4716,Bacteria
Bacteria_NZ_CP040094_127_length_4296_cov_315.748644,negative,4296,Bacteria
Bacteria_NZ_CP040094_128_length_3809_cov_48.456047,negative,3809,Bacteria
Bacteria_NZ_CP040094_129_length_3689_cov_30.998074,negative,3689,Bacteria
Bacteria_NZ_CP040094_130_length_3461_cov_28.892249,negative,3461,Bacteria
Bacteria_NZ_CP040094_131_length_3227_cov_29.139975,negative,3227,Bacteria
Bacteria_NZ_CP040094_132_length_3199_cov_25.775127,negative,3199,Bacteria
Bacteria_NZ_CP040094_133_length_2880_cov_61.551504,negative,2880,Bacteria
Bacteria_NZ_CP040094_134_length_2778_cov_27.475211,negative,2778,Bacteria
Bacteria_NZ_CP040094_135_length_2469_cov_52.240679,negative,2469,Bacteria
Bacteria_NZ_CP040094_136_length_2183_cov_55.950188,negative,2183,Bacteria
Bacteria_NZ_CP040094_137_length_2113_cov_46.476676,negative,2113,Bacteria
Bacteria_NZ_CP040094_138_length_2102_cov_32.384465,phage,2102,Bacteria
Bacteria_NZ_CP040094_139_length_2092_cov_28.154639,phage,2092,Bacteria
Bacteria_NZ_CP040094_140_length_1699_cov_352.011557,negative,1699,Bacteria
Bacteria_NZ_CP040094_141_length_1674_cov_33.901174,negative,1674,Bacteria
Bacteria_NZ_CP040094_142_length_1642_cov_56.676749,negative,1642,Bacteria
Bacteria_NZ_CP040094_143_length_1546_cov_55.436620,phage,1546,Bacteria
Bacteria_NZ_CP040094_144_length_1508_cov_52.419821,negative,1508,Bacteria
Bacteria_NZ_CP040094_145_length_1504_cov_146.857143,negative,1504,Bacteria
Bacteria_NZ_CP040094_146_length_1473_cov_26.697461,phage,1473,Bacteria
Bacteria_NZ_CP040094_147_length_1437_cov_145.855282,phage,1437,Bacteria
Bacteria_NZ_CP040094_148_length_1211_cov_29.903979,negative,1211,Bacteria
Bacteria_NZ_CP040094_149_length_1167_cov_796.644784,negative,1167,Bacteria
Bacteria_NZ_CP040094_150_length_1004_cov_32.364594,negative,1004,Bacteria
Bacteria_NZ_CP040094_151_length_1003_cov_481.540084,negative,1003,Bacteria
Bacteria_NZ_CP041372_1_length_455857_cov_58.875485,negative,455857,Bacteria
Bacteria_NZ_CP041372_2_length_348580_cov_58.095976,negative,348580,Bacteria
Bacteria_NZ_CP041372_3_length_290331_cov_57.682378,negative,290331,Bacteria
Prophage_NZ_CP041372_4_length_281279_cov_57.619154,negative,281279,Prophage
Bacteria_NZ_CP041372_5_length_230774_cov_59.944348,negative,230774,Bacteria
Bacteria_NZ_CP041372_6_length_179764_cov_57.987880,negative,179764,Bacteria
Bacteria_NZ_CP041372_7_length_173467_cov_57.916707,negative,173467,Bacteria
Bacteria_NZ_CP041372_8_length_147989_cov_57.861350,negative,147989,Bacteria
Bacteria_NZ_CP041372_9_length_130157_cov_57.655393,negative,130157,Bacteria
Bacteria_NZ_CP041372_10_length_127547_cov_56.825252,negative,127547,Bacteria
Bacteria_NZ_CP041372_11_length_123877_cov_58.509829,negative,123877,Bacteria
Bacteria_NZ_CP041372_12_length_112977_cov_57.688891,negative,112977,Bacteria
Bacteria_NZ_CP041372_13_length_105747_cov_57.594018,negative,105747,Bacteria
Bacteria_NZ_CP041372_14_length_88353_cov_58.583116,negative,88353,Bacteria
Bacteria_NZ_CP041372_15_length_77189_cov_57.868476,negative,77189,Bacteria
Bacteria_NZ_CP041372_16_length_73002_cov_57.761183,negative,73002,Bacteria
Bacteria_NZ_CP041372_17_length_71919_cov_56.876851,negative,71919,Bacteria
Bacteria_NZ_CP041372_18_length_59422_cov_58.216534,negative,59422,Bacteria
Bacteria_NZ_CP041372_19_length_59358_cov_57.286748,negative,59358,Bacteria
Bacteria_NZ_CP041372_20_length_57473_cov_57.553084,negative,57473,Bacteria
Bacteria_NZ_CP041372_21_length_56640_cov_59.438049,negative,56640,Bacteria
Bacteria_NZ_CP041372_22_length_53944_cov_56.245171,negative,53944,Bacteria
Bacteria_NZ_CP041372_23_length_52888_cov_57.199913,negative,52888,Bacteria
Bacteria_NZ_CP041372_24_length_49618_cov_57.234631,negative,49618,Bacteria
Bacteria_NZ_CP041372_25_length_47159_cov_57.817510,phage,47159,Bacteria
Bacteria_NZ_CP041372_26_length_42582_cov_56.962777,negative,42582,Bacteria
Bacteria_NZ_CP041372_27_length_39097_cov_60.180933,negative,39097,Bacteria
