ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Bacteria_NZ_AP022672_184_length_2945_cov_2_161246,1,Viruses,Bacteria,2945
VIRSorter_Bacteria_NZ_AP022672_342_length_2187_cov_3_064728,1,Viruses,Bacteria,2187
VIRSorter_Bacteria_NZ_AP022672_74_length_3916_cov_2_666926,1,Viruses,Bacteria,3916
VIRSorter_Bacteria_NZ_CP030036_225_length_6355_cov_3_223810,1,Viruses,Bacteria,6355
VIRSorter_Bacteria_NZ_CP043571_101_length_5369_cov_2_880881,1,Viruses,Bacteria,5369
VIRSorter_Bacteria_NZ_CP043571_1097_length_1589_cov_2_405476,1,Viruses,Bacteria,1589
VIRSorter_Bacteria_NZ_CP043571_192_length_4339_cov_2_519141,1,Viruses,Bacteria,4339
VIRSorter_Bacteria_NZ_CP043571_224_length_4072_cov_2_479711,1,Viruses,Bacteria,4072
VIRSorter_Bacteria_NZ_CP043571_984_length_1764_cov_2_107665,1,Viruses,Bacteria,1764
VIRSorter_Bacteria_NZ_CP045554_105_length_4793_cov_3_056986,1,Viruses,Bacteria,4793
VIRSorter_Bacteria_NZ_CP045554_1307_length_1201_cov_1_509599,1,Viruses,Bacteria,1201
VIRSorter_Bacteria_NZ_CP045554_58_length_5602_cov_2_855237,1,Viruses,Bacteria,5602
VIRSorter_Bacteria_NZ_CP045554_96_length_4876_cov_3_093964,1,Viruses,Bacteria,4876
VIRSorter_Bacteria_NZ_CP048659_111_length_1987_cov_4_739130,1,Viruses,Bacteria,1987
VIRSorter_Bacteria_NZ_CP048659_71_length_8419_cov_6_775825,1,Viruses,Bacteria,8419
VIRSorter_Bacteria_NZ_CP048833_528_length_4285_cov_3_473286,1,Viruses,Bacteria,4285
VIRSorter_Bacteria_NZ_CP049017_372_length_4164_cov_4_618155,1,Viruses,Bacteria,4164
VIRSorter_Bacteria_NZ_CP051293_137_length_3321_cov_2_894979,1,Viruses,Bacteria,3321
VIRSorter_Bacteria_NZ_CP053015_165_length_6172_cov_4_877718,1,Viruses,Bacteria,6172
VIRSorter_Bacteria_NZ_CP053222_216_length_6128_cov_4_517372,1,Viruses,Bacteria,6128
VIRSorter_Bacteria_NZ_CP053573_308_length_1415_cov_1_718382,1,Viruses,Bacteria,1415
VIRSorter_Bacteria_NZ_CP054929_30_length_3820_cov_2_784064,1,Viruses,Bacteria,3820
VIRSorter_Bacteria_NZ_CP056180_254_length_1656_cov_2_346034,1,Viruses,Bacteria,1656
VIRSorter_Bacteria_NZ_CP056180_283_length_1593_cov_1_676203,1,Viruses,Bacteria,1593
VIRSorter_Bacteria_NZ_CP056200_71_length_2023_cov_2_272358,1,Viruses,Bacteria,2023
VIRSorter_Bacteria_NZ_CP056200_85_length_1955_cov_2_128947,1,Viruses,Bacteria,1955
VIRSorter_Bacteria_NZ_CP056251_1057_length_1491_cov_3_317549,1,Viruses,Bacteria,1491
VIRSorter_Bacteria_NZ_CP056251_496_length_3145_cov_4_509061,1,Viruses,Bacteria,3145
VIRSorter_Bacteria_NZ_CP056251_87_length_7518_cov_6_527670,1,Viruses,Bacteria,7518
VIRSorter_Bacteria_NZ_CP056251_99_length_7172_cov_6_455389,1,Viruses,Bacteria,7172
VIRSorter_Bacteria_NZ_CP056267_1297_length_1059_cov_2_795817,1,Viruses,Bacteria,1059
VIRSorter_Bacteria_NZ_CP056267_184_length_4894_cov_3_640422,1,Viruses,Bacteria,4894
VIRSorter_Bacteria_NZ_CP056267_581_length_2728_cov_3_208006,1,Viruses,Bacteria,2728
VIRSorter_Bacteria_NZ_CP056267_882_length_1925_cov_5_071658,1,Viruses,Bacteria,1925
VIRSorter_Bacteria_NZ_CP056267_920_length_1845_cov_3_022346,1,Viruses,Bacteria,1845
VIRSorter_Bacteria_NZ_CP056269_31_length_32664_cov_5_095188,1,Viruses,Bacteria,32664
VIRSorter_Bacteria_NZ_CP056269_46_length_27243_cov_4_484478,1,Viruses,Bacteria,27243
VIRSorter_Bacteria_NZ_CP056284_164_length_3502_cov_1_511459,1,Viruses,Bacteria,3502
VIRSorter_Bacteria_NZ_CP056284_204_length_3267_cov_3_863948,1,Viruses,Bacteria,3267
VIRSorter_Bacteria_NZ_CP056284_669_length_1856_cov_2_523043,1,Viruses,Bacteria,1856
VIRSorter_Bacteria_NZ_CP056284_683_length_1835_cov_2_504494,1,Viruses,Bacteria,1835
VIRSorter_Bacteria_NZ_CP056284_81_length_4508_cov_3_968785,1,Viruses,Bacteria,4508
VIRSorter_Bacteria_NZ_CP056284_972_length_1431_cov_1_782703,1,Viruses,Bacteria,1431
VIRSorter_Bacteria_NZ_CP056321_10_length_13430_cov_3_379514,1,Viruses,Bacteria,13430
VIRSorter_Bacteria_NZ_CP056321_135_length_6490_cov_6_156177,1,Viruses,Bacteria,6490
VIRSorter_Bacteria_NZ_CP056321_168_length_6087_cov_2_627653,1,Viruses,Bacteria,6087
VIRSorter_Bacteria_NZ_CP056321_196_length_5775_cov_3_330769,1,Viruses,Bacteria,5775
VIRSorter_Bacteria_NZ_CP056321_23_length_11181_cov_6_783300,1,Viruses,Bacteria,11181
VIRSorter_Bacteria_NZ_CP056321_404_length_3858_cov_3_237707,1,Viruses,Bacteria,3858
VIRSorter_Bacteria_NZ_CP056321_419_length_3772_cov_3_261770,1,Viruses,Bacteria,3772
VIRSorter_Bacteria_NZ_CP056321_483_length_3398_cov_3_991026,1,Viruses,Bacteria,3398
VIRSorter_Bacteria_NZ_CP056321_622_length_2802_cov_3_153622,1,Viruses,Bacteria,2802
VIRSorter_Bacteria_NZ_CP056321_638_length_2738_cov_2_220276,1,Viruses,Bacteria,2738
VIRSorter_Bacteria_NZ_CP056321_697_length_2451_cov_2_836394,1,Viruses,Bacteria,2451
VIRSorter_Bacteria_NZ_CP056321_812_length_2049_cov_3_422768,1,Viruses,Bacteria,2049
VIRSorter_Bacteria_NZ_CP056321_871_length_1850_cov_3_076880,1,Viruses,Bacteria,1850
VIRSorter_Bacteria_NZ_CP056341_160_length_1241_cov_1_450253,1,Viruses,Bacteria,1241
VIRSorter_Bacteria_NZ_CP056350_212_length_7196_cov_5_200812,1,Viruses,Bacteria,7196
VIRSorter_Bacteria_NZ_CP056350_323_length_1069_cov_3_561144,1,Viruses,Bacteria,1069
VIRSorter_Bacteria_NZ_CP056350_83_length_21817_cov_5_770839,1,Viruses,Bacteria,21817
VIRSorter_Bacteria_NZ_CP056361_1016_length_1441_cov_3_177489,1,Viruses,Bacteria,1441
VIRSorter_Bacteria_NZ_CP056361_133_length_4624_cov_2_873714,1,Viruses,Bacteria,4624
VIRSorter_Bacteria_NZ_CP056361_260_length_3628_cov_3_018472,1,Viruses,Bacteria,3628
VIRSorter_Bacteria_NZ_CP056381_129_length_3871_cov_3_026730,1,Viruses,Bacteria,3871
VIRSorter_Bacteria_NZ_CP056381_590_length_2082_cov_2_048347,1,Viruses,Bacteria,2082
VIRSorter_Bacteria_NZ_CP056381_791_length_1685_cov_2_400000,1,Viruses,Bacteria,1685
VIRSorter_Bacteria_NZ_CP056647_49_length_30767_cov_9_418729,1,Viruses,Bacteria,30767
VIRSorter_Bacteria_NZ_CP056822_141_length_3069_cov_1_891175,1,Viruses,Bacteria,3069
