ID,True_Label,Contig_Length,Assigned_TaxID,Predicted_Label
Bacteria_NZ_AP023189_1_length_301439_cov_8.097016,Bacteria,301439,1149133,Bacteria
Bacteria_NZ_AP023189_5_length_207630_cov_7.906761,Bacteria,207630,1149133,Bacteria
Bacteria_NZ_AP023189_6_length_198328_cov_8.069954,Bacteria,198328,1149133,Bacteria
Bacteria_NZ_AP023189_9_length_156565_cov_8.555300,Bacteria,156565,1149133,Bacteria
Bacteria_NZ_AP023189_11_length_151060_cov_7.880156,Bacteria,151060,1149133,Bacteria
Bacteria_NZ_AP023189_13_length_140281_cov_7.971632,Bacteria,140281,1149133,Bacteria
Bacteria_NZ_AP023189_15_length_128501_cov_8.097714,Bacteria,128501,1149133,Bacteria
Bacteria_NZ_AP023189_21_length_102191_cov_8.014500,Bacteria,102191,1149133,Bacteria
Bacteria_NZ_AP023189_22_length_98861_cov_7.801793,Bacteria,98861,1149133,Bacteria
Bacteria_NZ_AP023189_25_length_92906_cov_8.161140,Bacteria,92906,1149133,Bacteria
Bacteria_NZ_AP023189_27_length_90975_cov_7.858678,Bacteria,90975,1149133,Bacteria
Bacteria_NZ_AP023189_28_length_90616_cov_7.801990,Bacteria,90616,1149133,Bacteria
Bacteria_NZ_AP023189_37_length_66062_cov_7.753981,Bacteria,66062,1149133,Bacteria
Bacteria_NZ_AP023189_46_length_53434_cov_7.893985,Bacteria,53434,1149133,Bacteria
Bacteria_NZ_AP023189_47_length_53319_cov_7.627553,Bacteria,53319,1149133,Bacteria
Bacteria_NZ_AP023189_49_length_52372_cov_7.671063,Bacteria,52372,1149133,Bacteria
Bacteria_NZ_AP023189_54_length_43902_cov_8.108833,Bacteria,43902,1149133,Bacteria
Bacteria_NZ_AP023189_59_length_39731_cov_7.507763,Bacteria,39731,1149133,Bacteria
Bacteria_NZ_AP023189_62_length_36711_cov_7.922277,Bacteria,36711,1149133,Bacteria
Bacteria_NZ_AP023189_64_length_35651_cov_7.794331,Bacteria,35651,1149133,Bacteria
Prophage_NZ_AP023189_66_length_32446_cov_8.053533,Viruses,32446,1149133,Bacteria
Bacteria_NZ_AP023189_82_length_17754_cov_8.627776,Bacteria,17754,1149133,Bacteria
Bacteria_NZ_AP023189_87_length_13982_cov_9.169742,Bacteria,13982,1149133,Bacteria
Bacteria_NZ_AP023189_90_length_13112_cov_8.080187,Bacteria,13112,1149133,Bacteria
Bacteria_NZ_AP023189_92_length_9232_cov_7.167702,Bacteria,9232,1149133,Bacteria
Bacteria_NZ_AP023189_93_length_8857_cov_9.011702,Bacteria,8857,1149133,Bacteria
Bacteria_NZ_AP023189_2_length_236002_cov_7.805965,Bacteria,236002,1245471,Bacteria
Bacteria_NZ_AP023189_3_length_223194_cov_7.854978,Bacteria,223194,1245471,Bacteria
Bacteria_NZ_AP023189_4_length_221525_cov_8.088039,Bacteria,221525,1245471,Bacteria
Bacteria_NZ_AP023189_8_length_158043_cov_8.022957,Bacteria,158043,1245471,Bacteria
Prophage_NZ_AP023189_10_length_152144_cov_8.001821,Viruses,152144,1245471,Bacteria
Bacteria_NZ_AP023189_16_length_128058_cov_8.079545,Bacteria,128058,1245471,Bacteria
Bacteria_NZ_AP023189_18_length_114709_cov_7.841488,Bacteria,114709,1245471,Bacteria
Bacteria_NZ_AP023189_19_length_110454_cov_7.822172,Bacteria,110454,1245471,Bacteria
Bacteria_NZ_AP023189_20_length_105796_cov_7.795623,Bacteria,105796,1245471,Bacteria
Bacteria_NZ_AP023189_23_length_98577_cov_7.964566,Bacteria,98577,1245471,Bacteria
Bacteria_NZ_AP023189_26_length_91939_cov_8.060881,Bacteria,91939,1245471,Bacteria
Bacteria_NZ_AP023189_31_length_82689_cov_7.832406,Bacteria,82689,1245471,Bacteria
Bacteria_NZ_AP023189_35_length_67528_cov_8.087472,Bacteria,67528,1245471,Bacteria
Bacteria_NZ_AP023189_42_length_57554_cov_7.894729,Bacteria,57554,1245471,Bacteria
Bacteria_NZ_AP023189_43_length_55979_cov_7.313175,Bacteria,55979,1245471,Bacteria
Bacteria_NZ_AP023189_44_length_54695_cov_8.281863,Bacteria,54695,1245471,Bacteria
Bacteria_NZ_AP023189_48_length_53192_cov_8.086456,Bacteria,53192,1245471,Bacteria
Bacteria_NZ_AP023189_51_length_48675_cov_8.055204,Bacteria,48675,1245471,Bacteria
Bacteria_NZ_AP023189_52_length_48298_cov_7.842754,Bacteria,48298,1245471,Bacteria
Bacteria_NZ_AP023189_55_length_42909_cov_8.059668,Bacteria,42909,1245471,Bacteria
Bacteria_NZ_AP023189_56_length_42845_cov_8.671909,Bacteria,42845,1245471,Bacteria
Bacteria_NZ_AP023189_57_length_42647_cov_7.763876,Bacteria,42647,1245471,Bacteria
