ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Phage_NC_047764_1_length_73779_cov_150_389724,1,Viruses,Phage,73779
VIRSorter_Phage_NC_048698_1_length_41815_cov_465_718367,1,Viruses,Phage,41815
VIRSorter_Phage_NC_048806_1_length_65687_cov_210_263743,1,Viruses,Phage,65687
VIRSorter_Bacteria_NZ_CP040586_28_length_14995_cov_90_578046,2,Viruses,Bacteria,14995
VIRSorter_Bacteria_NZ_CP045702_24_length_122012_cov_27_241290,2,Viruses,Bacteria,122012
VIRSorter_Bacteria_NZ_CP059603_14_length_42632_cov_191_007915,2,Viruses,Bacteria,42632
VIRSorter_Bacteria_NZ_CP059603_20_length_4854_cov_388_307564,2,Viruses,Bacteria,4854
VIRSorter_Phage_NC_048099_1_length_38314_cov_410_060718,2,Viruses,Phage,38314
VIRSorter_Phage_NC_048166_1_length_88401_cov_358_087678,2,Viruses,Phage,88401
VIRSorter_Phage_NC_048639_1_length_44791_cov_413_841850,2,Viruses,Phage,44791
VIRSorter_Phage_NC_048639_2_length_14249_cov_405_895026,2,Viruses,Phage,14249
VIRSorter_Phage_NC_048639_3_length_11572_cov_423_158982,2,Viruses,Phage,11572
VIRSorter_Phage_NC_048739_1_length_19678_cov_2126_403608,2,Viruses,Phage,19678
VIRSorter_Phage_NC_049478_1_length_60181_cov_75_203872,2,Viruses,Phage,60181
VIRSorter_Phage_NC_049972_1_length_18930_cov_306_181987,2,Viruses,Phage,18930
