ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Bacteria_NZ_CP056200_31_length_24018_cov_10_573885,1,Viruses,Bacteria,24018
VIRSorter_Bacteria_NZ_CP056284_37_length_25255_cov_13_003810,1,Viruses,Bacteria,25255
VIRSorter_Bacteria_NZ_CP056284_43_length_8528_cov_21_136315,1,Viruses,Bacteria,8528
VIRSorter_Bacteria_NZ_CP056284_44_length_6221_cov_19_053844,1,Viruses,Bacteria,6221
VIRSorter_Phage_NC_047826_1_length_40050_cov_91_365221-circular,1,Viruses,Phage,40050
VIRSorter_Phage_NC_047952_1_length_42924_cov_85_269962-circular,1,Viruses,Phage,42924
VIRSorter_Phage_NC_047967_1_length_15446_cov_82_553440,1,Viruses,Phage,15446
VIRSorter_Phage_NC_047967_2_length_9292_cov_88_637328,1,Viruses,Phage,9292
VIRSorter_Phage_NC_047967_5_length_2738_cov_88_923966,1,Viruses,Phage,2738
VIRSorter_Phage_NC_047974_1_length_53904_cov_67_843488,1,Viruses,Phage,53904
VIRSorter_Phage_NC_047997_1_length_40699_cov_89_906038-circular,1,Viruses,Phage,40699
VIRSorter_Phage_NC_048076_1_length_41988_cov_87_180908-circular,1,Viruses,Phage,41988
VIRSorter_Phage_NC_048200_1_length_40274_cov_90_568512-circular,1,Viruses,Phage,40274
VIRSorter_Phage_NC_048628_1_length_42908_cov_85_256761,1,Viruses,Phage,42908
VIRSorter_Phage_NC_048688_1_length_39481_cov_92_733551,1,Viruses,Phage,39481
VIRSorter_Phage_NC_048689_1_length_40590_cov_90_154780,1,Viruses,Phage,40590
VIRSorter_Phage_NC_048692_1_length_42262_cov_86_627455,1,Viruses,Phage,42262
VIRSorter_Phage_NC_048715_1_length_41027_cov_89_243874,1,Viruses,Phage,41027
VIRSorter_Phage_NC_048716_1_length_37944_cov_96_414447,1,Viruses,Phage,37944
VIRSorter_Phage_NC_048806_1_length_65678_cov_55_676836,1,Viruses,Phage,65678
