ID,Predicted_Label,Contig_Length,True_Label
Bacteria_NZ_AP023189_1_length_301439_cov_8.097016,negative,301439,Bacteria
Bacteria_NZ_AP023189_2_length_236002_cov_7.805965,negative,236002,Bacteria
Bacteria_NZ_AP023189_3_length_223194_cov_7.854978,negative,223194,Bacteria
Bacteria_NZ_AP023189_4_length_221525_cov_8.088039,negative,221525,Bacteria
Bacteria_NZ_AP023189_5_length_207630_cov_7.906761,negative,207630,Bacteria
Bacteria_NZ_AP023189_6_length_198328_cov_8.069954,negative,198328,Bacteria
Bacteria_NZ_AP023189_7_length_177103_cov_7.951985,negative,177103,Bacteria
Bacteria_NZ_AP023189_8_length_158043_cov_8.022957,negative,158043,Bacteria
Bacteria_NZ_AP023189_9_length_156565_cov_8.555300,negative,156565,Bacteria
Prophage_NZ_AP023189_10_length_152144_cov_8.001821,phage,152144,Prophage
Bacteria_NZ_AP023189_11_length_151060_cov_7.880156,negative,151060,Bacteria
Bacteria_NZ_AP023189_12_length_141136_cov_8.096647,negative,141136,Bacteria
Bacteria_NZ_AP023189_13_length_140281_cov_7.971632,negative,140281,Bacteria
Bacteria_NZ_AP023189_14_length_139354_cov_7.783387,negative,139354,Bacteria
Bacteria_NZ_AP023189_15_length_128501_cov_8.097714,negative,128501,Bacteria
Bacteria_NZ_AP023189_16_length_128058_cov_8.079545,negative,128058,Bacteria
Bacteria_NZ_AP023189_17_length_121917_cov_7.820379,negative,121917,Bacteria
Bacteria_NZ_AP023189_18_length_114709_cov_7.841488,negative,114709,Bacteria
Bacteria_NZ_AP023189_19_length_110454_cov_7.822172,negative,110454,Bacteria
Bacteria_NZ_AP023189_20_length_105796_cov_7.795623,negative,105796,Bacteria
Bacteria_NZ_AP023189_21_length_102191_cov_8.014500,negative,102191,Bacteria
Bacteria_NZ_AP023189_22_length_98861_cov_7.801793,negative,98861,Bacteria
Bacteria_NZ_AP023189_23_length_98577_cov_7.964566,negative,98577,Bacteria
Bacteria_NZ_AP023189_24_length_95776_cov_8.635252,negative,95776,Bacteria
Bacteria_NZ_AP023189_25_length_92906_cov_8.161140,negative,92906,Bacteria
Bacteria_NZ_AP023189_26_length_91939_cov_8.060881,negative,91939,Bacteria
Bacteria_NZ_AP023189_27_length_90975_cov_7.858678,negative,90975,Bacteria
Bacteria_NZ_AP023189_28_length_90616_cov_7.801990,negative,90616,Bacteria
Bacteria_NZ_AP023189_29_length_85955_cov_7.904726,negative,85955,Bacteria
Bacteria_NZ_AP023189_30_length_83676_cov_8.496382,negative,83676,Bacteria
Bacteria_NZ_AP023189_31_length_82689_cov_7.832406,negative,82689,Bacteria
Bacteria_NZ_AP023189_32_length_78580_cov_7.946667,negative,78580,Bacteria
Bacteria_NZ_AP023189_33_length_77151_cov_8.766343,negative,77151,Bacteria
Bacteria_NZ_AP023189_34_length_67596_cov_8.302113,negative,67596,Bacteria
Bacteria_NZ_AP023189_35_length_67528_cov_8.087472,negative,67528,Bacteria
Bacteria_NZ_AP023189_36_length_66308_cov_7.802258,negative,66308,Bacteria
Bacteria_NZ_AP023189_37_length_66062_cov_7.753981,negative,66062,Bacteria
Bacteria_NZ_AP023189_38_length_62173_cov_7.995911,negative,62173,Bacteria
Bacteria_NZ_AP023189_39_length_60534_cov_7.981448,negative,60534,Bacteria
Bacteria_NZ_AP023189_40_length_58606_cov_7.988847,negative,58606,Bacteria
Bacteria_NZ_AP023189_41_length_58347_cov_8.323544,negative,58347,Bacteria
Bacteria_NZ_AP023189_42_length_57554_cov_7.894729,negative,57554,Bacteria
Bacteria_NZ_AP023189_43_length_55979_cov_7.313175,negative,55979,Bacteria
Bacteria_NZ_AP023189_44_length_54695_cov_8.281863,negative,54695,Bacteria
Bacteria_NZ_AP023189_45_length_54304_cov_7.801360,negative,54304,Bacteria
Bacteria_NZ_AP023189_46_length_53434_cov_7.893985,negative,53434,Bacteria
Bacteria_NZ_AP023189_47_length_53319_cov_7.627553,negative,53319,Bacteria
Bacteria_NZ_AP023189_48_length_53192_cov_8.086456,negative,53192,Bacteria
Bacteria_NZ_AP023189_49_length_52372_cov_7.671063,negative,52372,Bacteria
Bacteria_NZ_AP023189_50_length_50485_cov_7.793674,negative,50485,Bacteria
Bacteria_NZ_AP023189_51_length_48675_cov_8.055204,negative,48675,Bacteria
Bacteria_NZ_AP023189_52_length_48298_cov_7.842754,negative,48298,Bacteria
Bacteria_NZ_AP023189_53_length_45293_cov_7.869954,negative,45293,Bacteria
Bacteria_NZ_AP023189_54_length_43902_cov_8.108833,negative,43902,Bacteria
Bacteria_NZ_AP023189_55_length_42909_cov_8.059668,negative,42909,Bacteria
Bacteria_NZ_AP023189_56_length_42845_cov_8.671909,negative,42845,Bacteria
Bacteria_NZ_AP023189_57_length_42647_cov_7.763876,negative,42647,Bacteria
Bacteria_NZ_AP023189_58_length_39749_cov_8.351665,negative,39749,Bacteria
Bacteria_NZ_AP023189_59_length_39731_cov_7.507763,phage,39731,Bacteria
Bacteria_NZ_AP023189_60_length_39730_cov_8.077480,negative,39730,Bacteria
Bacteria_NZ_AP023189_61_length_39601_cov_8.308147,negative,39601,Bacteria
Bacteria_NZ_AP023189_62_length_36711_cov_7.922277,negative,36711,Bacteria
Bacteria_NZ_AP023189_63_length_36705_cov_7.901037,negative,36705,Bacteria
Bacteria_NZ_AP023189_64_length_35651_cov_7.794331,negative,35651,Bacteria
Bacteria_NZ_AP023189_65_length_33966_cov_7.642830,negative,33966,Bacteria
Prophage_NZ_AP023189_66_length_32446_cov_8.053533,phage,32446,Prophage
Bacteria_NZ_AP023189_67_length_31664_cov_8.096112,negative,31664,Bacteria
Bacteria_NZ_AP023189_68_length_30875_cov_8.389974,negative,30875,Bacteria
Bacteria_NZ_AP023189_69_length_29844_cov_7.608647,negative,29844,Bacteria
Bacteria_NZ_AP023189_70_length_28023_cov_8.510905,negative,28023,Bacteria
Bacteria_NZ_AP023189_71_length_26815_cov_7.577840,negative,26815,Bacteria
Bacteria_NZ_AP023189_72_length_26255_cov_7.752366,negative,26255,Bacteria
Bacteria_NZ_AP023189_73_length_24044_cov_7.466922,negative,24044,Bacteria
Bacteria_NZ_AP023189_74_length_23997_cov_8.212597,negative,23997,Bacteria
Bacteria_NZ_AP023189_75_length_22988_cov_8.132429,negative,22988,Bacteria
Bacteria_NZ_AP023189_76_length_21614_cov_8.186743,negative,21614,Bacteria
Bacteria_NZ_AP023189_77_length_19405_cov_8.102687,negative,19405,Bacteria
Bacteria_NZ_AP023189_78_length_19060_cov_7.645041,negative,19060,Bacteria
Bacteria_NZ_AP023189_79_length_18901_cov_8.932453,phage,18901,Bacteria
Bacteria_NZ_AP023189_80_length_18844_cov_7.639151,negative,18844,Bacteria
Bacteria_NZ_AP023189_81_length_17912_cov_8.694294,negative,17912,Bacteria
Bacteria_NZ_AP023189_82_length_17754_cov_8.627776,negative,17754,Bacteria
Bacteria_NZ_AP023189_83_length_16703_cov_7.898667,negative,16703,Bacteria
Bacteria_NZ_AP023189_84_length_15985_cov_8.076334,phage,15985,Bacteria
Bacteria_NZ_AP023189_85_length_15415_cov_7.581055,negative,15415,Bacteria
Bacteria_NZ_AP023189_86_length_14469_cov_8.405509,negative,14469,Bacteria
Bacteria_NZ_AP023189_87_length_13982_cov_9.169742,negative,13982,Bacteria
Bacteria_NZ_AP023189_88_length_13742_cov_8.023015,negative,13742,Bacteria
Bacteria_NZ_AP023189_89_length_13711_cov_8.078866,negative,13711,Bacteria
Bacteria_NZ_AP023189_90_length_13112_cov_8.080187,phage,13112,Bacteria
Bacteria_NZ_AP023189_91_length_10106_cov_7.702119,negative,10106,Bacteria
Bacteria_NZ_AP023189_92_length_9232_cov_7.167702,negative,9232,Bacteria
Bacteria_NZ_AP023189_93_length_8857_cov_9.011702,negative,8857,Bacteria
Prophage_NZ_AP023189_94_length_7751_cov_15.462838,phage,7751,Prophage
Bacteria_NZ_AP023189_95_length_7683_cov_8.167278,phage,7683,Bacteria
Bacteria_NZ_AP023189_96_length_6905_cov_8.991095,phage,6905,Bacteria
Prophage_NZ_AP023189_97_length_6690_cov_8.840241,phage,6690,Prophage
Bacteria_NZ_AP023189_98_length_6193_cov_7.879765,negative,6193,Bacteria
Prophage_NZ_AP023189_99_length_5831_cov_9.196849,phage,5831,Prophage
Bacteria_NZ_AP023189_100_length_5505_cov_31.156330,phage,5505,Bacteria
Bacteria_NZ_AP023189_101_length_5139_cov_6.373131,negative,5139,Bacteria
Bacteria_NZ_AP023189_102_length_5113_cov_8.925465,negative,5113,Bacteria
Bacteria_NZ_AP023189_103_length_4529_cov_17.127850,phage,4529,Bacteria
Bacteria_NZ_AP023189_104_length_4376_cov_8.923629,negative,4376,Bacteria
Prophage_NZ_AP023189_105_length_3357_cov_17.208056,phage,3357,Prophage
Bacteria_NZ_AP023189_106_length_3105_cov_15.857705,negative,3105,Bacteria
Bacteria_NZ_AP023189_107_length_3083_cov_11.187583,negative,3083,Bacteria
Bacteria_NZ_AP023189_108_length_3033_cov_6.161182,phage,3033,Bacteria
Bacteria_NZ_AP023189_109_length_2966_cov_9.666438,negative,2966,Bacteria
Bacteria_NZ_AP023189_110_length_2809_cov_8.751997,phage,2809,Bacteria
Bacteria_NZ_AP023189_111_length_2605_cov_22.900000,negative,2605,Bacteria
Prophage_NZ_AP023189_112_length_2370_cov_17.003888,negative,2370,Prophage
Bacteria_NZ_AP023189_113_length_2288_cov_4.139722,negative,2288,Bacteria
Bacteria_NZ_AP023189_114_length_2103_cov_7.815430,negative,2103,Bacteria
Bacteria_NZ_AP023189_115_length_1364_cov_5.886937,phage,1364,Bacteria
Bacteria_NZ_AP023189_116_length_1313_cov_35.982512,phage,1313,Bacteria
Bacteria_NZ_AP023189_117_length_1300_cov_14.795181,phage,1300,Bacteria
Bacteria_NZ_AP023189_118_length_1233_cov_62.859083,negative,1233,Bacteria
Bacteria_NZ_AP023189_119_length_1181_cov_7.298401,negative,1181,Bacteria
Prophage_NZ_AP023189_120_length_1132_cov_12.883008,phage,1132,Prophage
Prophage_NZ_AP023189_121_length_1132_cov_12.586815,phage,1132,Prophage
Bacteria_NZ_AP023189_122_length_1107_cov_8.116920,negative,1107,Bacteria
Bacteria_NZ_AP023440_1_length_155117_cov_5.845017,negative,155117,Bacteria
Bacteria_NZ_AP023440_2_length_142531_cov_5.701662,negative,142531,Bacteria
Bacteria_NZ_AP023440_3_length_138446_cov_5.749182,negative,138446,Bacteria
Bacteria_NZ_AP023440_4_length_136290_cov_5.542034,phage,136290,Bacteria
Bacteria_NZ_AP023440_5_length_130212_cov_5.672326,negative,130212,Bacteria
Bacteria_NZ_AP023440_6_length_119660_cov_5.653710,negative,119660,Bacteria
Bacteria_NZ_AP023440_7_length_94556_cov_5.694067,negative,94556,Bacteria
Bacteria_NZ_AP023440_8_length_94278_cov_5.946329,negative,94278,Bacteria
Bacteria_NZ_AP023440_9_length_91877_cov_6.015084,negative,91877,Bacteria
Bacteria_NZ_AP023440_10_length_88743_cov_5.925289,negative,88743,Bacteria
Bacteria_NZ_AP023440_11_length_82635_cov_5.865464,negative,82635,Bacteria
Bacteria_NZ_AP023440_12_length_80789_cov_5.901714,negative,80789,Bacteria
Bacteria_NZ_AP023440_13_length_78559_cov_5.744701,negative,78559,Bacteria
Bacteria_NZ_AP023440_14_length_77249_cov_5.581962,negative,77249,Bacteria
Bacteria_NZ_AP023440_15_length_75679_cov_5.786285,negative,75679,Bacteria
Bacteria_NZ_AP023440_16_length_73539_cov_5.743958,negative,73539,Bacteria
Bacteria_NZ_AP023440_17_length_72811_cov_5.538636,negative,72811,Bacteria
Bacteria_NZ_AP023440_18_length_72057_cov_5.694814,negative,72057,Bacteria
Bacteria_NZ_AP023440_19_length_70459_cov_5.842978,negative,70459,Bacteria
Bacteria_NZ_AP023440_20_length_70088_cov_5.821584,negative,70088,Bacteria
Bacteria_NZ_AP023440_21_length_69249_cov_5.910643,negative,69249,Bacteria
Bacteria_NZ_AP023440_22_length_68784_cov_6.179022,negative,68784,Bacteria
Bacteria_NZ_AP023440_23_length_67043_cov_5.525721,negative,67043,Bacteria
Bacteria_NZ_AP023440_24_length_66510_cov_5.757279,negative,66510,Bacteria
Bacteria_NZ_AP023440_25_length_66056_cov_5.647702,negative,66056,Bacteria
Bacteria_NZ_AP023440_26_length_64999_cov_5.994103,negative,64999,Bacteria
Bacteria_NZ_AP023440_27_length_64736_cov_5.737218,negative,64736,Bacteria
Bacteria_NZ_AP023440_28_length_64655_cov_5.867353,negative,64655,Bacteria
Bacteria_NZ_AP023440_29_length_64320_cov_5.952618,negative,64320,Bacteria
Bacteria_NZ_AP023440_30_length_63814_cov_5.589940,negative,63814,Bacteria
Bacteria_NZ_AP023440_31_length_63537_cov_5.825195,negative,63537,Bacteria
Bacteria_NZ_AP023440_32_length_63388_cov_5.829362,negative,63388,Bacteria
Bacteria_NZ_AP023440_33_length_62817_cov_5.859342,negative,62817,Bacteria
Bacteria_NZ_AP023440_34_length_62292_cov_5.796616,negative,62292,Bacteria
Bacteria_NZ_AP023440_35_length_60931_cov_5.993281,negative,60931,Bacteria
Bacteria_NZ_AP023440_36_length_60627_cov_5.831820,negative,60627,Bacteria
Bacteria_NZ_AP023440_37_length_60332_cov_5.453656,negative,60332,Bacteria
Bacteria_NZ_AP023440_38_length_60303_cov_5.878934,negative,60303,Bacteria
Bacteria_NZ_AP023440_39_length_58913_cov_5.757076,negative,58913,Bacteria
Bacteria_NZ_AP023440_40_length_58644_cov_6.024049,negative,58644,Bacteria
Bacteria_NZ_AP023440_41_length_58117_cov_5.437584,phage,58117,Bacteria
Bacteria_NZ_AP023440_42_length_57609_cov_5.961636,negative,57609,Bacteria
Bacteria_NZ_AP023440_43_length_56488_cov_5.725356,negative,56488,Bacteria
Bacteria_NZ_AP023440_44_length_56276_cov_5.820459,negative,56276,Bacteria
Bacteria_NZ_AP023440_45_length_56096_cov_5.933798,negative,56096,Bacteria
Bacteria_NZ_AP023440_46_length_55923_cov_5.812988,negative,55923,Bacteria
Bacteria_NZ_AP023440_47_length_55484_cov_5.773747,negative,55484,Bacteria
Bacteria_NZ_AP023440_48_length_54858_cov_5.421619,negative,54858,Bacteria
Bacteria_NZ_AP023440_49_length_54138_cov_5.862064,negative,54138,Bacteria
Bacteria_NZ_AP023440_50_length_54118_cov_5.808057,negative,54118,Bacteria
