ID,True_Label,Contig_Length,Assigned_TaxID,Predicted_Label
Prophage_NZ_AP023189_1_length_552821_cov_29.272126,Viruses,552821,1245471,Bacteria
Bacteria_NZ_AP023189_4_length_389569_cov_29.895062,Bacteria,389569,1245471,Bacteria
Bacteria_NZ_AP023189_7_length_245142_cov_29.441590,Bacteria,245142,1245471,Bacteria
Bacteria_NZ_AP023189_9_length_237199_cov_29.386664,Bacteria,237199,1245471,Bacteria
Bacteria_NZ_AP023189_10_length_236446_cov_28.684844,Bacteria,236446,1245471,Bacteria
Bacteria_NZ_AP023189_11_length_209685_cov_29.400153,Bacteria,209685,1245471,Bacteria
Bacteria_NZ_AP023189_12_length_197007_cov_30.638856,Bacteria,197007,1245471,Bacteria
Bacteria_NZ_AP023189_13_length_190509_cov_30.322487,Bacteria,190509,1245471,Bacteria
Bacteria_NZ_AP023189_16_length_170523_cov_30.941907,Bacteria,170523,1245471,Bacteria
Bacteria_NZ_AP023189_17_length_161498_cov_29.669084,Bacteria,161498,1245471,Bacteria
Bacteria_NZ_AP023189_21_length_116254_cov_28.607053,Bacteria,116254,1245471,Bacteria
Bacteria_NZ_AP023189_22_length_110901_cov_29.903037,Bacteria,110901,1245471,Bacteria
Bacteria_NZ_AP023189_25_length_98577_cov_28.977609,Bacteria,98577,1245471,Bacteria
Bacteria_NZ_AP023189_31_length_64358_cov_30.141346,Bacteria,64358,1245471,Bacteria
Bacteria_NZ_AP023189_41_length_39772_cov_28.892993,Bacteria,39772,1245471,Bacteria
Bacteria_NZ_AP023189_49_length_6554_cov_28.258040,Bacteria,6554,1245471,Bacteria
Bacteria_NZ_AP023189_2_length_485291_cov_30.077204,Bacteria,485291,1149133,Bacteria
Bacteria_NZ_AP023189_5_length_323224_cov_29.458621,Bacteria,323224,1149133,Bacteria
Bacteria_NZ_AP023189_8_length_240588_cov_30.678069,Bacteria,240588,1149133,Bacteria
Bacteria_NZ_AP023189_14_length_180762_cov_29.847875,Bacteria,180762,1149133,Bacteria
Bacteria_NZ_AP023189_18_length_151366_cov_29.038199,Bacteria,151366,1149133,Bacteria
Bacteria_NZ_AP023189_23_length_110766_cov_30.017668,Bacteria,110766,1149133,Bacteria
Bacteria_NZ_AP023189_26_length_90795_cov_30.412563,Bacteria,90795,1149133,Bacteria
Bacteria_NZ_AP023189_33_length_59547_cov_29.086415,Bacteria,59547,1149133,Bacteria
Bacteria_NZ_AP023189_39_length_41751_cov_30.730310,Bacteria,41751,1149133,Bacteria
Bacteria_NZ_AP023189_40_length_39774_cov_28.836602,Bacteria,39774,1149133,Bacteria
Prophage_NZ_AP023189_43_length_32433_cov_29.700476,Viruses,32433,1149133,Bacteria
Bacteria_NZ_AP023189_3_length_448275_cov_29.567920,Bacteria,448275,1225174,Bacteria
Bacteria_NZ_AP023189_27_length_86798_cov_30.465732,Bacteria,86798,1225174,Bacteria
Bacteria_NZ_CP060008_4_length_430621_cov_9.477386,Bacteria,430621,1225174,Bacteria
Bacteria_NZ_CP060008_6_length_325538_cov_9.330192,Bacteria,325538,1225174,Bacteria
Bacteria_NZ_CP060008_8_length_266341_cov_9.570732,Bacteria,266341,1225174,Bacteria
Bacteria_NZ_CP060008_10_length_191758_cov_9.558077,Bacteria,191758,1225174,Bacteria
Bacteria_NZ_CP060008_12_length_172333_cov_9.570131,Bacteria,172333,1225174,Bacteria
Bacteria_NZ_CP060008_14_length_164298_cov_9.414855,Bacteria,164298,1225174,Bacteria
Bacteria_NZ_CP060008_17_length_99637_cov_9.214497,Bacteria,99637,1225174,Bacteria
Bacteria_NZ_CP060008_19_length_61724_cov_9.560784,Bacteria,61724,1225174,Bacteria
Bacteria_NZ_AP023189_6_length_252838_cov_29.631348,Bacteria,252838,381754,Bacteria
Bacteria_NZ_AP023189_28_length_81089_cov_28.713577,Bacteria,81089,381754,Bacteria
Bacteria_NZ_AP023189_15_length_176268_cov_29.186632,Bacteria,176268,150396,Bacteria
Bacteria_NZ_AP023189_19_length_139354_cov_29.123777,Bacteria,139354,287,Bacteria
Bacteria_NZ_AP023189_30_length_66658_cov_29.167875,Bacteria,66658,287,Bacteria
Bacteria_NZ_AP023189_34_length_58816_cov_29.222188,Bacteria,58816,287,Bacteria
