seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Bacteria_NZ_CP054614_62_length_35298_cov_12.079420||full	1.000	0.047	1.000	dsDNAphage	35243	15	57.400	5.900
Phage_NC_047826_1_length_40050_cov_11.011351||full	1.000	0.200	1.000	dsDNAphage	39995	15	85.100	0.000
Phage_NC_047840_1_length_44253_cov_59.298407||full	1.000	0.360	1.000	dsDNAphage	44198	9	71.700	0.000
Phage_NC_047852_1_length_42309_cov_64.128887||full	1.000	0.113	1.000	dsDNAphage	42254	12	90.400	0.000
Phage_NC_047952_1_length_42924_cov_14.014089||full	1.000	0.127	1.000	dsDNAphage	42869	13	90.700	0.000
Phage_NC_047997_1_length_40699_cov_12.825608||full	1.000	0.147	1.000	dsDNAphage	40644	17	86.300	0.000
Phage_NC_048075_1_length_103211_cov_34.527434||full	1.000	0.047	1.000	dsDNAphage	103067	14	33.700	0.600
Phage_NC_048078_1_length_39161_cov_43.906127||full	1.000	0.133	1.000	dsDNAphage	38779	12	93.900	0.000
Phage_NC_048200_1_length_40274_cov_50.486909||full	1.000	0.233	1.000	dsDNAphage	40255	14	85.700	0.000
Phage_NC_048684_1_length_45012_cov_25.652891||full	1.000	0.000	1.000	dsDNAphage	44957	1	30.000	5.000
Phage_NC_048685_1_length_44956_cov_28.167034||full	1.000	0.007	1.000	dsDNAphage	44714	1	33.900	4.800
Phage_NC_048706_1_length_45935_cov_13.076199||full	0.993	0.007	0.993	dsDNAphage	45880	2	36.900	3.100
Phage_NC_048742_1_length_127627_cov_8.576843||full	1.000	0.033	1.000	dsDNAphage	127572	7	34.500	2.700
Phage_NC_047747_1_length_40557_cov_7.181250||full	1.000	0.200	1.000	dsDNAphage	40555	15	86.300	0.000
Phage_NC_047752_1_length_2935_cov_1.803125||full	0.960	0.147	0.960	dsDNAphage	2654	4	80.000	20.000
Phage_NC_047766_1_length_27476_cov_74.740236||full	1.000	0.227	1.000	dsDNAphage	27474	6	92.700	0.000
Phage_NC_047766_2_length_11433_cov_70.632361||full	1.000	0.733	1.000	dsDNAphage	11431	7	100.000	0.000
Phage_NC_047769_1_length_40278_cov_15.422097||full	1.000	0.127	1.000	dsDNAphage	39759	7	92.000	0.000
Phage_NC_047769_2_length_4211_cov_15.434793||full	1.000	0.733	1.000	dsDNAphage	3809	2	100.000	0.000
Phage_NC_047776_1_length_7232_cov_3.644002||full	1.000	0.940	1.000	dsDNAphage	7230	4	100.000	0.000
Phage_NC_047776_2_length_6712_cov_3.338891||full	0.993	0.347	0.993	dsDNAphage	6709	3	81.800	0.000
Phage_NC_047776_3_length_5363_cov_3.093444||full	0.953	0.500	0.953	dsDNAphage	5350	0	72.700	0.000
Phage_NC_047776_4_length_5183_cov_2.939158||full	0.880	0.947	0.947	ssDNA	5183	0	60.000	0.000
Phage_NC_047776_5_length_4949_cov_3.512056||full	0.980	0.700	0.980	dsDNAphage	4947	0	72.700	0.000
Phage_NC_047776_6_length_4375_cov_2.690509||full	0.967	0.887	0.967	dsDNAphage	4375	1	83.300	0.000
Phage_NC_047776_7_length_4060_cov_2.254432||full	0.987	0.767	0.987	dsDNAphage	3997	0	23.100	0.000
Phage_NC_047776_8_length_3392_cov_2.215463||full	0.727	0.967	0.967	ssDNA	3392	0	100.000	0.000
Phage_NC_047776_9_length_3258_cov_2.804870||full	1.000	0.973	1.000	dsDNAphage	3218	3	80.000	0.000
Phage_NC_047776_10_length_3255_cov_2.866563||full	0.780	0.907	0.907	ssDNA	3254	0	100.000	0.000
Phage_NC_047776_11_length_3226_cov_3.084831||full	0.967	0.813	0.967	dsDNAphage	3176	0	62.500	0.000
Phage_NC_047776_12_length_3188_cov_2.036068||full	0.960	0.727	0.960	dsDNAphage	3188	0	66.700	0.000
Phage_NC_047776_13_length_3155_cov_2.990000||full	0.920	0.953	0.953	ssDNA	3077	0	33.300	0.000
Phage_NC_047776_14_length_2913_cov_3.004899||full	0.980	0.880	0.980	dsDNAphage	2869	0	70.000	0.000
Phage_NC_047776_15_length_2801_cov_1.733430||full	0.960	0.213	0.960	dsDNAphage	2747	1	60.000	0.000
Phage_NC_047776_16_length_2678_cov_2.083492||full	0.967	0.973	0.973	ssDNA	2335	0	80.000	0.000
Phage_NC_047776_18_length_2405_cov_3.533191||full	0.487	0.793	0.793	ssDNA	2398	0	50.000	0.000
Phage_NC_047776_20_length_2308_cov_3.383489||full	1.000	0.873	1.000	dsDNAphage	2238	0	85.700	0.000
Phage_NC_047776_21_length_2185_cov_2.540845||full	0.867	0.227	0.867	dsDNAphage	2183	0	20.000	0.000
Phage_NC_047776_22_length_2134_cov_2.970178||full	0.800	0.547	0.800	dsDNAphage	2122	0	14.300	0.000
Phage_NC_047776_23_length_2123_cov_2.225338||full	0.987	0.947	0.987	dsDNAphage	2089	2	66.700	0.000
Phage_NC_047776_24_length_2097_cov_3.161606||full	0.813	1.000	1.000	ssDNA	2096	0	66.700	0.000
Phage_NC_047776_25_length_2093_cov_3.088322||full	0.993	0.993	0.993	dsDNAphage	2082	1	60.000	0.000
Phage_NC_047776_26_length_1897_cov_3.442997||full	0.733	0.807	0.807	ssDNA	1826	0	16.700	0.000
Phage_NC_047776_28_length_1715_cov_2.875904||full	0.773	0.987	0.987	ssDNA	1715	0	66.700	0.000
Phage_NC_047776_29_length_1584_cov_2.569653||full	0.993	1.000	1.000	ssDNA	1555	0	100.000	0.000
Phage_NC_047776_30_length_1573_cov_2.261528||full	0.980	0.867	0.980	dsDNAphage	1469	0	50.000	0.000
Phage_NC_047776_31_length_1559_cov_2.208777||full	0.947	0.960	0.960	ssDNA	1558	0	60.000	0.000
Phage_NC_047776_32_length_1521_cov_1.423602||full	0.413	0.947	0.947	ssDNA	1518	0	33.300	0.000
Phage_NC_047776_33_length_1333_cov_2.855243||full	0.747	0.920	0.920	ssDNA	1314	0	25.000	0.000
Phage_NC_047776_34_length_1302_cov_3.233360||full	0.760	0.953	0.953	ssDNA	1298	0	25.000	0.000
Phage_NC_047776_35_length_1283_cov_2.736971||full	0.953	0.967	0.967	ssDNA	1279	0	50.000	0.000
Phage_NC_047776_36_length_1222_cov_1.313625||full	1.000	0.980	1.000	dsDNAphage	1118	1	100.000	0.000
Phage_NC_047776_37_length_1204_cov_2.307224||full	0.867	0.987	0.987	ssDNA	1006	0	100.000	0.000
Phage_NC_047793_1_length_28075_cov_4.240935||full	0.973	0.053	0.973	dsDNAphage	28074	7	48.700	0.000
Phage_NC_047793_2_length_8312_cov_4.479835||full	0.880	0.333	0.880	dsDNAphage	8308	0	21.400	0.000
Phage_NC_047795_1_length_40727_cov_10.324253||full	0.980	0.040	0.980	dsDNAphage	40724	8	45.300	1.900
Phage_NC_047806_1_length_43964_cov_20.330411||full	1.000	0.587	1.000	dsDNAphage	43962	8	91.100	0.000
Phage_NC_047807_1_length_12529_cov_4.565416||full	1.000	0.633	1.000	dsDNAphage	12525	3	100.000	0.000
Phage_NC_047807_2_length_8617_cov_4.064938||full	0.947	0.500	0.947	dsDNAphage	8616	0	90.900	0.000
Phage_NC_047807_3_length_5173_cov_2.732122||full	1.000	0.747	1.000	dsDNAphage	5116	2	100.000	0.000
Phage_NC_047807_4_length_4844_cov_3.206097||full	1.000	1.000	1.000	dsDNAphage	4843	1	80.000	0.000
Phage_NC_047807_5_length_4750_cov_3.780831||full	0.933	0.807	0.933	dsDNAphage	4748	0	100.000	0.000
Phage_NC_047809_1_length_37744_cov_41.548330||full	1.000	0.727	1.000	dsDNAphage	37743	7	95.700	0.000
Phage_NC_047810_1_length_46678_cov_26.318834||full	0.987	0.120	0.987	dsDNAphage	46641	17	84.500	0.000
Phage_NC_047812_1_length_44191_cov_18.660708||full	1.000	0.200	1.000	dsDNAphage	43565	14	88.400	0.000
Phage_NC_047829_1_length_39639_cov_21.414789||full	1.000	0.120	1.000	dsDNAphage	39635	11	81.600	0.000
Phage_NC_047851_1_length_50762_cov_20.704262||full	1.000	0.133	1.000	dsDNAphage	50394	5	42.400	0.000
Phage_NC_047870_1_length_45913_cov_12.238170||full	1.000	0.087	1.000	dsDNAphage	45682	6	54.400	1.800
Phage_NC_047873_1_length_39202_cov_23.669604||full	1.000	0.227	1.000	dsDNAphage	38060	15	91.500	0.000
Phage_NC_047874_1_length_39078_cov_17.261231||full	1.000	0.167	1.000	dsDNAphage	37856	16	89.400	0.000
Phage_NC_047890_1_length_14557_cov_3.522824||full	1.000	0.200	1.000	dsDNAphage	14264	4	81.200	0.000
Phage_NC_047890_2_length_11008_cov_3.439697||full	1.000	0.387	1.000	dsDNAphage	11004	5	66.700	0.000
Phage_NC_047890_3_length_5146_cov_3.181300||full	0.953	0.767	0.953	dsDNAphage	5145	0	23.100	0.000
Phage_NC_047890_4_length_4525_cov_4.204922||full	0.840	0.773	0.840	dsDNAphage	4524	0	85.700	0.000
Phage_NC_047890_5_length_3805_cov_4.415200||full	0.913	0.680	0.913	dsDNAphage	3802	0	100.000	0.000
Phage_NC_047890_6_length_2920_cov_2.848517||full	1.000	0.967	1.000	dsDNAphage	2902	1	33.300	0.000
Phage_NC_047894_1_length_47823_cov_7.259902||full	1.000	0.220	1.000	dsDNAphage	46833	7	68.100	0.000
Phage_NC_047895_1_length_39738_cov_10.178414||full	1.000	0.160	1.000	dsDNAphage	39486	12	86.800	0.000
Phage_NC_047902_1_length_86824_cov_13.917517||full	1.000	0.053	1.000	dsDNAphage	86695	11	33.100	1.700
Phage_NC_047904_1_length_39040_cov_5.524535||full	0.993	0.087	0.993	dsDNAphage	38476	4	51.900	1.900
Phage_NC_047904_2_length_3329_cov_3.854918||full	1.000	0.300	1.000	dsDNAphage	3282	2	66.700	0.000
Phage_NC_047920_1_length_44291_cov_34.950289||full	1.000	0.167	1.000	dsDNAphage	44289	6	90.900	0.000
Phage_NC_047933_1_length_37881_cov_7.251176||full	1.000	0.160	1.000	dsDNAphage	37880	9	72.100	0.000
Phage_NC_047933_2_length_5140_cov_4.756735||full	0.960	0.660	0.960	dsDNAphage	4970	0	27.300	0.000
Phage_NC_047942_1_length_39694_cov_30.226065||full	1.000	0.327	1.000	dsDNAphage	38493	12	89.600	0.000
Phage_NC_047954_1_length_46602_cov_16.126281||full	1.000	0.093	1.000	dsDNAphage	45596	7	63.300	0.000
Phage_NC_047955_1_length_45742_cov_13.291067||full	0.993	0.133	0.993	dsDNAphage	44880	7	66.000	0.000
Phage_NC_047956_1_length_46499_cov_12.088343||full	1.000	0.200	1.000	dsDNAphage	46497	7	64.000	0.000
Phage_NC_047958_1_length_38417_cov_6.100516||full	1.000	0.240	1.000	dsDNAphage	38214	8	59.300	0.000
