ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Phage_NC_048698_1_length_41807_cov_193_345516,1,Viruses,Phage,41807
VIRSorter_Phage_NC_048806_1_length_65687_cov_107_519213,1,Viruses,Phage,65687
VIRSorter_Bacteria_NZ_CP040586_28_length_14110_cov_255_875987,2,Viruses,Bacteria,14110
VIRSorter_Bacteria_NZ_CP045702_24_length_122012_cov_14_022754,2,Viruses,Bacteria,122012
VIRSorter_Bacteria_NZ_CP059603_14_length_42632_cov_44_518449,2,Viruses,Bacteria,42632
VIRSorter_Bacteria_NZ_CP059603_21_length_4854_cov_92_492186,2,Viruses,Bacteria,4854
VIRSorter_Phage_NC_047764_1_length_73778_cov_65_596747,2,Viruses,Phage,73778
VIRSorter_Phage_NC_048099_1_length_38316_cov_1168_621834,2,Viruses,Phage,38316
VIRSorter_Phage_NC_048166_1_length_88381_cov_84_967790,2,Viruses,Phage,88381
VIRSorter_Phage_NC_048639_1_length_42160_cov_847_275003,2,Viruses,Phage,42160
VIRSorter_Phage_NC_048639_2_length_14251_cov_815_348478,2,Viruses,Phage,14251
VIRSorter_Phage_NC_048639_3_length_11572_cov_851_008683,2,Viruses,Phage,11572
VIRSorter_Phage_NC_048739_1_length_19668_cov_67_365880,2,Viruses,Phage,19668
VIRSorter_Phage_NC_049478_1_length_60179_cov_57_388397,2,Viruses,Phage,60179
VIRSorter_Phage_NC_049972_1_length_18931_cov_1706_126139,2,Viruses,Phage,18931
