ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Bacteria_NZ_AP022302_290_length_3819_cov_3_253985,1,Viruses,Bacteria,3819
VIRSorter_Bacteria_NZ_AP022302_381_length_3228_cov_3_448156,1,Viruses,Bacteria,3228
VIRSorter_Bacteria_NZ_AP022672_259_length_4113_cov_4_356580,1,Viruses,Bacteria,4113
VIRSorter_Bacteria_NZ_AP022672_361_length_3289_cov_3_391775,1,Viruses,Bacteria,3289
VIRSorter_Bacteria_NZ_CP030036_6_length_3439_cov_1_854905,1,Viruses,Bacteria,3439
VIRSorter_Bacteria_NZ_CP043571_1175_length_1199_cov_1_602273,1,Viruses,Bacteria,1199
VIRSorter_Bacteria_NZ_CP043571_903_length_1516_cov_1_791239,1,Viruses,Bacteria,1516
VIRSorter_Bacteria_NZ_CP044546_249_length_2704_cov_2_388071,1,Viruses,Bacteria,2704
VIRSorter_Bacteria_NZ_CP045554_21_length_5602_cov_2_673157,1,Viruses,Bacteria,5602
VIRSorter_Bacteria_NZ_CP045554_41_length_4695_cov_2_668966,1,Viruses,Bacteria,4695
VIRSorter_Bacteria_NZ_CP045554_47_length_4549_cov_2_953494,1,Viruses,Bacteria,4549
VIRSorter_Bacteria_NZ_CP045702_18_length_3834_cov_2_676899,1,Viruses,Bacteria,3834
VIRSorter_Bacteria_NZ_CP046673_52_length_5170_cov_2_482502,1,Viruses,Bacteria,5170
VIRSorter_Bacteria_NZ_CP048659_189_length_4579_cov_2_946950,1,Viruses,Bacteria,4579
VIRSorter_Bacteria_NZ_CP048659_244_length_4020_cov_8_618916,1,Viruses,Bacteria,4020
VIRSorter_Bacteria_NZ_CP048659_318_length_3467_cov_3_121336,1,Viruses,Bacteria,3467
VIRSorter_Bacteria_NZ_CP048659_363_length_3182_cov_2_856092,1,Viruses,Bacteria,3182
VIRSorter_Bacteria_NZ_CP048659_732_length_1539_cov_1_741240,1,Viruses,Bacteria,1539
VIRSorter_Bacteria_NZ_CP048670_306_length_3610_cov_3_483544,1,Viruses,Bacteria,3610
VIRSorter_Bacteria_NZ_CP048670_366_length_2939_cov_2_616852,1,Viruses,Bacteria,2939
VIRSorter_Bacteria_NZ_CP048810_117_length_2996_cov_1_999660,1,Viruses,Bacteria,2996
VIRSorter_Bacteria_NZ_CP048810_301_length_2248_cov_1_903329,1,Viruses,Bacteria,2248
VIRSorter_Bacteria_NZ_CP048833_960_length_1352_cov_1_515035,1,Viruses,Bacteria,1352
VIRSorter_Bacteria_NZ_CP051189_555_length_2129_cov_1_829315,1,Viruses,Bacteria,2129
VIRSorter_Bacteria_NZ_CP053015_170_length_6191_cov_4_252282,1,Viruses,Bacteria,6191
VIRSorter_Bacteria_NZ_CP053222_212_length_4820_cov_3_860441,1,Viruses,Bacteria,4820
VIRSorter_Bacteria_NZ_CP053573_112_length_4507_cov_2_050314,1,Viruses,Bacteria,4507
VIRSorter_Bacteria_NZ_CP053609_193_length_5657_cov_3_391289,1,Viruses,Bacteria,5657
VIRSorter_Bacteria_NZ_CP053609_240_length_4666_cov_3_296682,1,Viruses,Bacteria,4666
VIRSorter_Bacteria_NZ_CP053609_258_length_4366_cov_3_704477,1,Viruses,Bacteria,4366
VIRSorter_Bacteria_NZ_CP054128_884_length_1487_cov_2_363827,1,Viruses,Bacteria,1487
VIRSorter_Bacteria_NZ_CP054205_326_length_2486_cov_2_863842,1,Viruses,Bacteria,2486
VIRSorter_Bacteria_NZ_CP054572_497_length_1957_cov_2_232913,1,Viruses,Bacteria,1957
VIRSorter_Bacteria_NZ_CP054614_25_length_4320_cov_4_093318,1,Viruses,Bacteria,4320
VIRSorter_Bacteria_NZ_CP054880_26_length_4157_cov_2_677231,1,Viruses,Bacteria,4157
VIRSorter_Bacteria_NZ_CP054918_173_length_2269_cov_2_214544,1,Viruses,Bacteria,2269
VIRSorter_Bacteria_NZ_CP055418_172_length_3460_cov_2_159471,1,Viruses,Bacteria,3460
VIRSorter_Bacteria_NZ_CP055418_35_length_5766_cov_2_903169,1,Viruses,Bacteria,5766
VIRSorter_Bacteria_NZ_CP056030_591_length_1791_cov_1_865207,1,Viruses,Bacteria,1791
VIRSorter_Bacteria_NZ_CP056180_1116_length_1276_cov_1_929566,1,Viruses,Bacteria,1276
VIRSorter_Bacteria_NZ_CP056180_291_length_3068_cov_2_448058,1,Viruses,Bacteria,3068
VIRSorter_Bacteria_NZ_CP056180_349_length_2855_cov_3_891786,1,Viruses,Bacteria,2855
VIRSorter_Bacteria_NZ_CP056180_370_length_2793_cov_2_061724,1,Viruses,Bacteria,2793
VIRSorter_Bacteria_NZ_CP056180_538_length_2292_cov_3_736701,1,Viruses,Bacteria,2292
VIRSorter_Bacteria_NZ_CP056180_60_length_5117_cov_2_635124,1,Viruses,Bacteria,5117
VIRSorter_Bacteria_NZ_CP056180_78_length_4755_cov_3_359574,1,Viruses,Bacteria,4755
VIRSorter_Bacteria_NZ_CP056185_760_length_1781_cov_2_707995,1,Viruses,Bacteria,1781
VIRSorter_Bacteria_NZ_CP056200_43_length_5680_cov_3_489067,1,Viruses,Bacteria,5680
VIRSorter_Bacteria_NZ_CP056200_929_length_1556_cov_2_240506,1,Viruses,Bacteria,1556
VIRSorter_Bacteria_NZ_CP056219_110_length_4167_cov_2_551313,1,Viruses,Bacteria,4167
VIRSorter_Bacteria_NZ_CP056219_124_length_4009_cov_3_104957,1,Viruses,Bacteria,4009
VIRSorter_Bacteria_NZ_CP056219_236_length_3148_cov_2_775946,1,Viruses,Bacteria,3148
VIRSorter_Bacteria_NZ_CP056219_553_length_2180_cov_2_537882,1,Viruses,Bacteria,2180
VIRSorter_Bacteria_NZ_CP056251_20_length_5758_cov_4_661932,1,Viruses,Bacteria,5758
VIRSorter_Bacteria_NZ_CP056267_111_length_3905_cov_3_517143,1,Viruses,Bacteria,3905
VIRSorter_Bacteria_NZ_CP056267_294_length_2809_cov_3_031227,1,Viruses,Bacteria,2809
VIRSorter_Bacteria_NZ_CP056267_395_length_2498_cov_2_441261,1,Viruses,Bacteria,2498
VIRSorter_Bacteria_NZ_CP056267_69_length_4510_cov_2_983838,1,Viruses,Bacteria,4510
VIRSorter_Bacteria_NZ_CP056267_700_length_1845_cov_3_022346,1,Viruses,Bacteria,1845
VIRSorter_Bacteria_NZ_CP056269_264_length_3062_cov_2_395743,1,Viruses,Bacteria,3062
