ID,Predicted_Label,Contig_Length,True_Label
Bacteria_NZ_AP023239_1_length_123260_cov_5.664543,negative,123260,Bacteria
Bacteria_NZ_AP023239_2_length_83250_cov_5.647479,negative,83250,Bacteria
Bacteria_NZ_AP023239_3_length_73209_cov_5.376657,negative,73209,Bacteria
Bacteria_NZ_AP023239_4_length_67195_cov_5.162452,negative,67195,Bacteria
Bacteria_NZ_AP023239_5_length_64651_cov_5.696220,negative,64651,Bacteria
Bacteria_NZ_AP023239_6_length_60373_cov_6.052041,negative,60373,Bacteria
Bacteria_NZ_AP023239_7_length_59072_cov_6.359422,negative,59072,Bacteria
Bacteria_NZ_AP023239_8_length_55406_cov_5.648986,negative,55406,Bacteria
Bacteria_NZ_AP023239_9_length_54456_cov_5.605265,negative,54456,Bacteria
Bacteria_NZ_AP023239_10_length_53966_cov_5.781380,negative,53966,Bacteria
Bacteria_NZ_AP023239_11_length_52480_cov_5.628307,negative,52480,Bacteria
Bacteria_NZ_AP023239_12_length_51707_cov_5.581972,negative,51707,Bacteria
Bacteria_NZ_AP023239_13_length_51197_cov_5.896328,negative,51197,Bacteria
Bacteria_NZ_AP023239_14_length_50448_cov_5.557339,negative,50448,Bacteria
Bacteria_NZ_AP023239_15_length_50193_cov_5.409430,negative,50193,Bacteria
Bacteria_NZ_AP023239_16_length_47708_cov_5.545359,negative,47708,Bacteria
Bacteria_NZ_AP023239_17_length_46858_cov_6.210093,negative,46858,Bacteria
Bacteria_NZ_AP023239_18_length_45944_cov_5.625488,negative,45944,Bacteria
Bacteria_NZ_AP023239_19_length_45703_cov_5.699834,negative,45703,Bacteria
Bacteria_NZ_AP023239_20_length_45594_cov_6.019610,phage,45594,Bacteria
Bacteria_NZ_AP023239_21_length_45186_cov_5.668986,negative,45186,Bacteria
Bacteria_NZ_AP023239_22_length_44895_cov_5.810169,negative,44895,Bacteria
Bacteria_NZ_AP023239_23_length_44080_cov_5.134787,negative,44080,Bacteria
Bacteria_NZ_AP023239_24_length_43041_cov_6.203066,negative,43041,Bacteria
Bacteria_NZ_AP023239_25_length_42969_cov_5.436384,negative,42969,Bacteria
Bacteria_NZ_AP023239_26_length_42958_cov_7.369625,negative,42958,Bacteria
Bacteria_NZ_AP023239_27_length_42130_cov_6.867950,negative,42130,Bacteria
Bacteria_NZ_AP023239_28_length_41791_cov_5.475249,negative,41791,Bacteria
Bacteria_NZ_AP023239_29_length_41293_cov_5.448979,negative,41293,Bacteria
Bacteria_NZ_AP023239_30_length_40154_cov_5.617372,negative,40154,Bacteria
Bacteria_NZ_AP023239_31_length_40078_cov_6.503760,negative,40078,Bacteria
Bacteria_NZ_AP023239_32_length_39880_cov_5.381645,negative,39880,Bacteria
Bacteria_NZ_AP023239_33_length_39096_cov_5.807766,negative,39096,Bacteria
Bacteria_NZ_AP023239_34_length_39062_cov_5.429666,negative,39062,Bacteria
Bacteria_NZ_AP023239_35_length_37981_cov_5.098587,negative,37981,Bacteria
Bacteria_NZ_AP023239_36_length_36933_cov_5.374451,negative,36933,Bacteria
Bacteria_NZ_AP023239_37_length_36385_cov_5.540875,negative,36385,Bacteria
Bacteria_NZ_AP023239_38_length_36298_cov_5.980051,negative,36298,Bacteria
Bacteria_NZ_AP023239_39_length_36005_cov_5.517719,negative,36005,Bacteria
Bacteria_NZ_AP023239_40_length_35069_cov_6.400497,negative,35069,Bacteria
Bacteria_NZ_AP023239_41_length_34870_cov_5.905816,negative,34870,Bacteria
Bacteria_NZ_AP023239_42_length_34770_cov_5.262135,negative,34770,Bacteria
Bacteria_NZ_AP023239_43_length_34667_cov_5.140818,negative,34667,Bacteria
Bacteria_NZ_AP023239_44_length_34352_cov_5.777532,negative,34352,Bacteria
