ID,Predicted_Label,Contig_Length,True_Label
Prophage_NZ_AP023189_1_length_552821_cov_29.268289,negative,552821,Prophage
Bacteria_NZ_AP023189_2_length_485291_cov_30.074591,negative,485291,Bacteria
Bacteria_NZ_AP023189_3_length_448172_cov_29.564357,negative,448172,Bacteria
Bacteria_NZ_AP023189_4_length_389569_cov_29.888194,negative,389569,Bacteria
Bacteria_NZ_AP023189_5_length_323224_cov_29.446021,negative,323224,Bacteria
Bacteria_NZ_AP023189_6_length_252838_cov_29.632764,negative,252838,Bacteria
Bacteria_NZ_AP023189_7_length_240588_cov_30.667858,negative,240588,Bacteria
Bacteria_NZ_AP023189_8_length_237199_cov_29.379592,negative,237199,Bacteria
Bacteria_NZ_AP023189_9_length_236446_cov_28.681976,negative,236446,Bacteria
Bacteria_NZ_AP023189_10_length_209685_cov_29.396289,negative,209685,Bacteria
Bacteria_NZ_AP023189_11_length_197007_cov_30.631865,negative,197007,Bacteria
Bacteria_NZ_AP023189_12_length_190509_cov_30.311755,negative,190509,Bacteria
Bacteria_NZ_AP023189_13_length_180763_cov_29.935725,negative,180763,Bacteria
Bacteria_NZ_AP023189_14_length_176268_cov_29.234801,negative,176268,Bacteria
Bacteria_NZ_AP023189_15_length_170523_cov_30.978987,negative,170523,Bacteria
Bacteria_NZ_AP023189_16_length_161498_cov_29.664303,negative,161498,Bacteria
Bacteria_NZ_AP023189_17_length_151366_cov_29.036831,negative,151366,Bacteria
Bacteria_NZ_AP023189_18_length_149962_cov_29.202245,negative,149962,Bacteria
Bacteria_NZ_AP023189_19_length_139354_cov_29.122018,negative,139354,Bacteria
Bacteria_NZ_AP023189_20_length_137567_cov_33.620215,negative,137567,Bacteria
Bacteria_NZ_AP023189_21_length_116254_cov_28.612165,negative,116254,Bacteria
Bacteria_NZ_AP023189_22_length_110901_cov_29.899302,negative,110901,Bacteria
Bacteria_NZ_AP023189_23_length_110766_cov_30.013603,negative,110766,Bacteria
Bacteria_NZ_AP023189_24_length_101042_cov_29.643301,negative,101042,Bacteria
Bacteria_NZ_AP023189_25_length_98577_cov_28.969063,negative,98577,Bacteria
Bacteria_NZ_AP023189_26_length_95036_cov_29.587928,negative,95036,Bacteria
