ID,Predicted_Label,Contig_Length,True_Label
Prophage_NZ_AP023189_1_length_552821_cov_29.272126,negative,552821,Prophage
Bacteria_NZ_AP023189_2_length_485291_cov_30.077204,negative,485291,Bacteria
Bacteria_NZ_AP023189_3_length_448275_cov_29.567920,negative,448275,Bacteria
Bacteria_NZ_AP023189_4_length_389569_cov_29.895062,negative,389569,Bacteria
Bacteria_NZ_AP023189_5_length_323224_cov_29.458621,negative,323224,Bacteria
Bacteria_NZ_AP023189_6_length_252838_cov_29.631348,negative,252838,Bacteria
Bacteria_NZ_AP023189_7_length_245142_cov_29.441590,negative,245142,Bacteria
Bacteria_NZ_AP023189_8_length_240588_cov_30.678069,negative,240588,Bacteria
Bacteria_NZ_AP023189_9_length_237199_cov_29.386664,negative,237199,Bacteria
Bacteria_NZ_AP023189_10_length_236446_cov_28.684844,negative,236446,Bacteria
Bacteria_NZ_AP023189_11_length_209685_cov_29.400153,negative,209685,Bacteria
Bacteria_NZ_AP023189_12_length_197007_cov_30.638856,negative,197007,Bacteria
Bacteria_NZ_AP023189_13_length_190509_cov_30.322487,negative,190509,Bacteria
Bacteria_NZ_AP023189_14_length_180762_cov_29.847875,negative,180762,Bacteria
Bacteria_NZ_AP023189_15_length_176268_cov_29.186632,negative,176268,Bacteria
Bacteria_NZ_AP023189_16_length_170523_cov_30.941907,negative,170523,Bacteria
Bacteria_NZ_AP023189_17_length_161498_cov_29.669084,negative,161498,Bacteria
Bacteria_NZ_AP023189_18_length_151366_cov_29.038199,negative,151366,Bacteria
Bacteria_NZ_AP023189_19_length_139354_cov_29.123777,negative,139354,Bacteria
Bacteria_NZ_AP023189_20_length_137567_cov_33.625145,negative,137567,Bacteria
Bacteria_NZ_AP023189_21_length_116254_cov_28.607053,negative,116254,Bacteria
Bacteria_NZ_AP023189_22_length_110901_cov_29.903037,negative,110901,Bacteria
Bacteria_NZ_AP023189_23_length_110766_cov_30.017668,negative,110766,Bacteria
Bacteria_NZ_AP023189_24_length_101042_cov_29.658015,negative,101042,Bacteria
Bacteria_NZ_AP023189_25_length_98577_cov_28.977609,negative,98577,Bacteria
Bacteria_NZ_AP023189_26_length_90795_cov_30.412563,negative,90795,Bacteria
Bacteria_NZ_AP023189_27_length_86798_cov_30.465732,negative,86798,Bacteria
Bacteria_NZ_AP023189_28_length_81089_cov_28.713577,negative,81089,Bacteria
Bacteria_NZ_AP023189_29_length_68102_cov_29.515188,negative,68102,Bacteria
Bacteria_NZ_AP023189_30_length_66658_cov_29.167875,negative,66658,Bacteria
Bacteria_NZ_AP023189_31_length_64358_cov_30.141346,negative,64358,Bacteria
Bacteria_NZ_AP023189_32_length_64308_cov_30.680108,negative,64308,Bacteria
Bacteria_NZ_AP023189_33_length_59547_cov_29.086415,negative,59547,Bacteria
Bacteria_NZ_AP023189_34_length_58816_cov_29.222188,negative,58816,Bacteria
Bacteria_NZ_AP023189_35_length_54304_cov_29.504452,negative,54304,Bacteria
Bacteria_NZ_AP023189_36_length_50594_cov_29.353687,negative,50594,Bacteria
Bacteria_NZ_AP023189_37_length_42972_cov_29.511056,negative,42972,Bacteria
Bacteria_NZ_AP023189_38_length_42703_cov_29.445132,negative,42703,Bacteria
Bacteria_NZ_AP023189_39_length_41751_cov_30.730310,negative,41751,Bacteria
Bacteria_NZ_AP023189_40_length_39774_cov_28.836602,phage,39774,Bacteria
Bacteria_NZ_AP023189_41_length_39772_cov_28.892993,negative,39772,Bacteria
Bacteria_NZ_AP023189_42_length_33721_cov_29.596447,negative,33721,Bacteria
Prophage_NZ_AP023189_43_length_32433_cov_29.700476,phage,32433,Prophage
Bacteria_NZ_AP023189_44_length_24066_cov_29.357919,negative,24066,Bacteria
Prophage_NZ_AP023189_45_length_8405_cov_29.689461,phage,8405,Prophage
Prophage_NZ_AP023189_46_length_8348_cov_30.144339,phage,8348,Prophage
Prophage_NZ_AP023189_47_length_7751_cov_56.898259,phage,7751,Prophage
Bacteria_NZ_AP023189_48_length_7469_cov_28.776909,phage,7469,Bacteria
Bacteria_NZ_AP023189_49_length_6554_cov_28.258040,negative,6554,Bacteria
Bacteria_NZ_AP023189_50_length_5469_cov_116.619690,phage,5469,Bacteria
Bacteria_NZ_AP023189_51_length_5254_cov_26.149644,negative,5254,Bacteria
Bacteria_NZ_AP023189_52_length_4529_cov_61.382432,phage,4529,Bacteria
Prophage_NZ_AP023189_53_length_2864_cov_60.390174,phage,2864,Prophage
Bacteria_NZ_AP023189_54_length_2605_cov_85.767059,negative,2605,Bacteria
Bacteria_NZ_AP023189_55_length_2369_cov_79.721694,negative,2369,Bacteria
Prophage_NZ_AP023189_56_length_1833_cov_59.944319,phage,1833,Prophage
Bacteria_NZ_AP023189_57_length_1313_cov_139.198728,phage,1313,Bacteria
Prophage_NZ_AP023189_58_length_1181_cov_40.263766,negative,1181,Prophage
Prophage_NZ_AP023189_59_length_1181_cov_39.830373,negative,1181,Prophage
Bacteria_NZ_AP023440_1_length_4403_cov_4.811868,negative,4403,Bacteria
Bacteria_NZ_AP023440_2_length_3214_cov_1.735043,negative,3214,Bacteria
Bacteria_NZ_AP023440_3_length_2942_cov_2.189816,phage,2942,Bacteria
Bacteria_NZ_AP023440_4_length_2810_cov_1.670780,negative,2810,Bacteria
Bacteria_NZ_AP023440_5_length_2780_cov_1.540183,negative,2780,Bacteria
Bacteria_NZ_AP023440_6_length_2751_cov_2.282641,negative,2751,Bacteria
Bacteria_NZ_AP023440_7_length_2581_cov_1.517023,negative,2581,Bacteria
Bacteria_NZ_AP023440_8_length_2571_cov_1.857313,negative,2571,Bacteria
Bacteria_NZ_AP023440_9_length_2542_cov_2.061520,negative,2542,Bacteria
Bacteria_NZ_AP023440_10_length_2387_cov_1.433105,phage,2387,Bacteria
Bacteria_NZ_AP023440_11_length_2383_cov_1.794244,phage,2383,Bacteria
Bacteria_NZ_AP023440_12_length_2303_cov_2.247776,phage,2303,Bacteria
Bacteria_NZ_AP023440_13_length_2292_cov_1.642825,phage,2292,Bacteria
Bacteria_NZ_AP023440_14_length_2282_cov_1.612483,negative,2282,Bacteria
Bacteria_NZ_AP023440_15_length_2239_cov_2.250916,phage,2239,Bacteria
Bacteria_NZ_AP023440_16_length_2215_cov_1.890741,negative,2215,Bacteria
Bacteria_NZ_AP023440_17_length_2214_cov_2.000463,negative,2214,Bacteria
Bacteria_NZ_AP023440_18_length_2207_cov_4.732342,phage,2207,Bacteria
Bacteria_NZ_AP023440_19_length_2206_cov_1.637843,phage,2206,Bacteria
Bacteria_NZ_AP023440_20_length_2205_cov_2.047442,negative,2205,Bacteria
Bacteria_NZ_AP023440_21_length_2200_cov_1.738462,negative,2200,Bacteria
Bacteria_NZ_AP023440_22_length_2192_cov_1.367805,negative,2192,Bacteria
Bacteria_NZ_AP023440_23_length_2182_cov_1.951575,negative,2182,Bacteria
Bacteria_NZ_AP023440_24_length_2166_cov_1.922312,phage,2166,Bacteria
Bacteria_NZ_AP023440_25_length_2160_cov_1.695012,negative,2160,Bacteria
