ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Bacteria_NZ_AP022672_149_length_1945_cov_1_907937,1,Viruses,Bacteria,1945
VIRSorter_Bacteria_NZ_AP022672_262_length_1616_cov_2_283792,1,Viruses,Bacteria,1616
VIRSorter_Bacteria_NZ_AP023239_166_length_10688_cov_4_593341,1,Viruses,Bacteria,10688
VIRSorter_Bacteria_NZ_CP033507_363_length_3455_cov_2_210000,1,Viruses,Bacteria,3455
VIRSorter_Bacteria_NZ_CP043571_548_length_3408_cov_3_128542,1,Viruses,Bacteria,3408
VIRSorter_Bacteria_NZ_CP048659_236_length_4770_cov_2_998727,1,Viruses,Bacteria,4770
VIRSorter_Bacteria_NZ_CP048659_270_length_4235_cov_3_007416,1,Viruses,Bacteria,4235
VIRSorter_Bacteria_NZ_CP048659_294_length_4043_cov_3_233701,1,Viruses,Bacteria,4043
VIRSorter_Bacteria_NZ_CP048659_298_length_4020_cov_10_229256,1,Viruses,Bacteria,4020
VIRSorter_Bacteria_NZ_CP048659_405_length_3182_cov_2_856092,1,Viruses,Bacteria,3182
VIRSorter_Bacteria_NZ_CP048659_651_length_1539_cov_2_034367,1,Viruses,Bacteria,1539
VIRSorter_Bacteria_NZ_CP050308_39_length_5752_cov_3_167983,1,Viruses,Bacteria,5752
VIRSorter_Bacteria_NZ_CP050308_57_length_5355_cov_3_597925,1,Viruses,Bacteria,5355
VIRSorter_Bacteria_NZ_CP051857_281_length_6816_cov_4_085934,1,Viruses,Bacteria,6816
VIRSorter_Bacteria_NZ_CP053609_164_length_7293_cov_4_406466,1,Viruses,Bacteria,7293
VIRSorter_Bacteria_NZ_CP053609_205_length_4556_cov_4_165519,1,Viruses,Bacteria,4556
VIRSorter_Bacteria_NZ_CP054614_148_length_8312_cov_5_405353,1,Viruses,Bacteria,8312
VIRSorter_Bacteria_NZ_CP054880_144_length_1799_cov_1_717890,1,Viruses,Bacteria,1799
VIRSorter_Bacteria_NZ_CP054918_55_length_2269_cov_2_139566,1,Viruses,Bacteria,2269
VIRSorter_Bacteria_NZ_CP056030_1087_length_1791_cov_2_854263,1,Viruses,Bacteria,1791
VIRSorter_Bacteria_NZ_CP056180_157_length_1228_cov_1_531117,1,Viruses,Bacteria,1228
VIRSorter_Bacteria_NZ_CP056200_14_length_5680_cov_3_080889,1,Viruses,Bacteria,5680
VIRSorter_Bacteria_NZ_CP056219_176_length_5923_cov_3_214383,1,Viruses,Bacteria,5923
VIRSorter_Bacteria_NZ_CP056219_302_length_4527_cov_4_740832,1,Viruses,Bacteria,4527
VIRSorter_Bacteria_NZ_CP056219_736_length_2180_cov_2_735059,1,Viruses,Bacteria,2180
VIRSorter_Bacteria_NZ_CP056219_886_length_1767_cov_3_677570,1,Viruses,Bacteria,1767
VIRSorter_Bacteria_NZ_CP056251_2_length_6523_cov_3_252474,1,Viruses,Bacteria,6523
VIRSorter_Bacteria_NZ_CP056267_114_length_5619_cov_3_139468,1,Viruses,Bacteria,5619
VIRSorter_Bacteria_NZ_CP056267_1307_length_1059_cov_2_795817,1,Viruses,Bacteria,1059
VIRSorter_Bacteria_NZ_CP056267_173_length_4894_cov_3_640422,1,Viruses,Bacteria,4894
VIRSorter_Bacteria_NZ_CP056267_205_length_4628_cov_4_171004,1,Viruses,Bacteria,4628
VIRSorter_Bacteria_NZ_CP056267_570_length_2728_cov_3_208006,1,Viruses,Bacteria,2728
VIRSorter_Bacteria_NZ_CP056267_869_length_1925_cov_5_071658,1,Viruses,Bacteria,1925
VIRSorter_Bacteria_NZ_CP056267_902_length_1845_cov_3_022346,1,Viruses,Bacteria,1845
VIRSorter_Bacteria_NZ_CP056284_195_length_1394_cov_2_123973,1,Viruses,Bacteria,1394
VIRSorter_Bacteria_NZ_CP056284_1_length_3619_cov_2_235129,1,Viruses,Bacteria,3619
VIRSorter_Bacteria_NZ_CP056321_19_length_4105_cov_2_787901,1,Viruses,Bacteria,4105
VIRSorter_Bacteria_NZ_CP056321_2_length_6490_cov_3_880031,1,Viruses,Bacteria,6490
VIRSorter_Bacteria_NZ_CP056321_339_length_1756_cov_2_287478,1,Viruses,Bacteria,1756
VIRSorter_Bacteria_NZ_CP056321_37_length_3332_cov_2_690571,1,Viruses,Bacteria,3332
VIRSorter_Bacteria_NZ_CP056321_3_length_6480_cov_3_328405,1,Viruses,Bacteria,6480
