ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Phage_NC_048698_1_length_41807_cov_172_363767,1,Viruses,Phage,41807
VIRSorter_Phage_NC_048806_1_length_65678_cov_149_847462,1,Viruses,Phage,65678
VIRSorter_Bacteria_NZ_CP040586_30_length_14110_cov_144_739879,2,Viruses,Bacteria,14110
VIRSorter_Bacteria_NZ_CP045702_25_length_122012_cov_9_723927,2,Viruses,Bacteria,122012
VIRSorter_Bacteria_NZ_CP059603_14_length_42650_cov_360_672332,2,Viruses,Bacteria,42650
VIRSorter_Bacteria_NZ_CP059603_19_length_4854_cov_726_631590,2,Viruses,Bacteria,4854
VIRSorter_Phage_NC_047764_1_length_73778_cov_154_863774,2,Viruses,Phage,73778
VIRSorter_Phage_NC_048099_1_length_38314_cov_1305_836849,2,Viruses,Phage,38314
VIRSorter_Phage_NC_048166_1_length_88402_cov_1362_758022,2,Viruses,Phage,88402
VIRSorter_Phage_NC_048639_1_length_42159_cov_1522_446751,2,Viruses,Phage,42159
VIRSorter_Phage_NC_048639_2_length_14251_cov_1469_130882,2,Viruses,Phage,14251
VIRSorter_Phage_NC_048639_3_length_11572_cov_1525_872449,2,Viruses,Phage,11572
VIRSorter_Phage_NC_048739_1_length_19668_cov_107_496456,2,Viruses,Phage,19668
VIRSorter_Phage_NC_049478_1_length_60199_cov_272_698158,2,Viruses,Phage,60199
VIRSorter_Phage_NC_049972_1_length_18931_cov_1530_872113,2,Viruses,Phage,18931
