seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
Prophage_NZ_CP041372_8_length_65253_cov_6.309227||full	0.993	0.000	0.993	dsDNAphage	64969	12	41.300	8.700
Bacteria_NZ_CP045702_600_length_4386_cov_3.016624||full	0.893	0.140	0.893	dsDNAphage	4280	1	33.300	0.000
Bacteria_NZ_CP053841_17_length_8394_cov_8.659192||full	1.000	0.060	1.000	dsDNAphage	8316	5	60.000	10.000
Phage_NC_047748_1_length_43696_cov_22.339406||full	1.000	0.067	1.000	dsDNAphage	43641	8	63.200	1.800
Phage_NC_047773_1_length_41156_cov_29.523102||full	1.000	0.213	1.000	dsDNAphage	41101	11	92.000	0.000
Phage_NC_047783_1_length_44486_cov_73.864239||full	0.993	0.060	0.993	dsDNAphage	44431	8	71.400	0.000
Phage_NC_047798_1_length_40994_cov_34.190943||full	1.000	0.207	1.000	dsDNAphage	40939	11	91.700	0.000
Phage_NC_047827_1_length_40327_cov_19.886124||full	1.000	0.187	1.000	dsDNAphage	40272	15	83.300	0.000
Phage_NC_047923_1_length_39477_cov_84.897164||full	1.000	0.320	1.000	dsDNAphage	39422	12	98.000	0.000
Phage_NC_048002_1_length_39763_cov_50.260955||full	0.993	0.213	0.993	dsDNAphage	39708	12	77.100	0.000
Phage_NC_048023_1_length_39623_cov_88.015240||full	0.987	0.107	0.987	dsDNAphage	39568	11	77.400	0.000
Phage_NC_048067_1_length_41545_cov_11.782309||full	1.000	0.000	1.000	dsDNAphage	41490	8	47.400	5.300
Phage_NC_048143_1_length_49084_cov_22.683942||full	1.000	0.240	1.000	dsDNAphage	48803	15	74.000	0.000
Phage_NC_048626_1_length_66146_cov_9.837224||full	1.000	0.293	1.000	dsDNAphage	66126	26	96.800	0.000
Phage_NC_048641_1_length_41315_cov_87.903975||full	1.000	0.013	1.000	dsDNAphage	41255	11	64.500	6.500
Phage_NC_048686_1_length_45874_cov_57.715533||full	0.993	0.000	0.993	dsDNAphage	44700	1	34.400	3.300
Phage_NC_049460_1_length_30092_cov_63.595432||full	1.000	0.127	1.000	dsDNAphage	30037	12	88.600	0.000
Bacteria_NZ_CP063163_30_length_1070_cov_1.422660||full	0.960	0.960	0.960	dsDNAphage	752	0	100.000	0.000
Bacteria_NZ_CP063373_4_length_7272_cov_2.978107||full	0.647	0.040	0.647	dsDNAphage	6972	0	18.200	0.000
Bacteria_NZ_CP063373_44_length_5014_cov_2.837064||full	0.847	0.000	0.847	dsDNAphage	5012	1	20.000	0.000
Bacteria_NZ_CP063373_49_length_4843_cov_1.965121||full	0.647	0.227	0.647	dsDNAphage	4841	0	50.000	0.000
Bacteria_NZ_CP063373_153_length_3703_cov_2.595121||full	0.660	0.133	0.660	dsDNAphage	3612	0	16.700	0.000
Bacteria_NZ_CP063373_182_length_3503_cov_2.428944||full	0.793	0.380	0.793	dsDNAphage	3419	0	100.000	0.000
Bacteria_NZ_CP063373_188_length_3458_cov_2.620335||full	0.507	0.007	0.507	dsDNAphage	3457	0	33.300	16.700
Bacteria_NZ_CP063373_212_length_3345_cov_2.134954||full	0.793	0.100	0.793	dsDNAphage	3344	2	50.000	25.000
Bacteria_NZ_CP063373_218_length_3305_cov_2.534154||full	0.527	0.307	0.527	dsDNAphage	3303	0	66.700	0.000
Bacteria_NZ_CP063373_227_length_3262_cov_2.423449||full	0.873	0.253	0.873	dsDNAphage	3260	1	20.000	0.000
Bacteria_NZ_CP063373_345_length_2885_cov_3.174205||full	0.560	0.287	0.560	dsDNAphage	2884	0	33.300	0.000
Bacteria_NZ_CP063373_381_length_2778_cov_2.406170||full	0.513	0.047	0.513	dsDNAphage	2776	0	25.000	0.000
Bacteria_NZ_CP063373_472_length_2553_cov_2.224179||full	0.540	0.020	0.540	dsDNAphage	2551	0	20.000	0.000
Bacteria_NZ_CP063373_519_length_2478_cov_2.232357||full	0.607	0.340	0.607	dsDNAphage	2474	0	33.300	0.000
Bacteria_NZ_CP063373_532_length_2457_cov_2.362614||full	0.667	0.313	0.667	dsDNAphage	2455	0	25.000	0.000
Bacteria_NZ_CP063373_578_length_2379_cov_2.090792||full	0.507	0.040	0.507	dsDNAphage	2379	0	16.700	0.000
Bacteria_NZ_CP063373_621_length_2303_cov_1.998665||full	0.593	0.347	0.593	dsDNAphage	2300	0	20.000	0.000
Bacteria_NZ_CP063373_671_length_2220_cov_1.568129||full	0.587	0.180	0.587	dsDNAphage	2219	0	66.700	0.000
Bacteria_NZ_CP063373_735_length_2114_cov_2.365226||full	0.540	0.247	0.540	dsDNAphage	2110	0	33.300	0.000
Bacteria_NZ_CP063373_829_length_2027_cov_1.744422||full	0.913	0.333	0.913	dsDNAphage	2025	0	66.700	0.000
Bacteria_NZ_CP063373_970_length_1891_cov_2.081155||full	0.933	0.373	0.933	dsDNAphage	1841	1	25.000	0.000
Bacteria_NZ_CP063373_978_length_1886_cov_2.412343||full	0.700	0.360	0.700	dsDNAphage	1884	0	20.000	0.000
Bacteria_NZ_CP063373_993_length_1871_cov_2.160242||full	0.627	0.140	0.627	dsDNAphage	1850	0	33.300	0.000
Bacteria_NZ_CP063373_1001_length_1866_cov_1.831585||full	0.647	0.227	0.647	dsDNAphage	1419	0	50.000	0.000
Bacteria_NZ_CP063373_1021_length_1856_cov_2.617990||full	0.673	0.113	0.673	dsDNAphage	1853	0	33.300	0.000
Bacteria_NZ_CP063373_1035_length_1843_cov_2.506711||full	0.927	0.340	0.927	dsDNAphage	1754	0	100.000	0.000
Bacteria_NZ_CP063373_1162_length_1742_cov_2.866034||full	0.500	0.073	0.500	dsDNAphage	1676	0	33.300	0.000
Bacteria_NZ_CP063373_1169_length_1734_cov_2.075045||full	0.787	0.120	0.787	dsDNAphage	1657	0	33.300	0.000
Bacteria_NZ_CP063373_1203_length_1709_cov_2.889359||full	0.860	0.207	0.860	dsDNAphage	1709	1	33.300	0.000
Bacteria_NZ_CP063373_1332_length_1624_cov_1.320586||full	0.607	0.060	0.607	dsDNAphage	1587	0	25.000	0.000
Bacteria_NZ_CP063373_1333_length_1623_cov_2.289541||full	0.827	0.433	0.827	dsDNAphage	1623	0	66.700	0.000
Bacteria_NZ_CP063373_1427_length_1558_cov_1.654025||full	0.507	0.180	0.507	dsDNAphage	1538	0	50.000	0.000
Bacteria_NZ_CP063373_1645_length_1408_cov_2.390983||full	0.940	0.453	0.940	dsDNAphage	1366	1	50.000	0.000
Bacteria_NZ_CP063373_1688_length_1375_cov_1.688636||full	0.473	0.607	0.607	ssDNA	1313	0	50.000	0.000
Bacteria_NZ_CP063373_1727_length_1357_cov_1.380184||full	0.687	0.247	0.687	dsDNAphage	1089	0	50.000	0.000
Bacteria_NZ_CP063373_1785_length_1324_cov_1.783294||full	0.920	0.340	0.920	dsDNAphage	1208	1	50.000	0.000
Bacteria_NZ_CP063373_1828_length_1298_cov_1.495575||full	0.793	0.153	0.793	dsDNAphage	1257	0	33.300	0.000
Bacteria_NZ_CP063373_1929_length_1220_cov_2.710730||full	0.560	0.233	0.560	dsDNAphage	1219	0	33.300	0.000
Bacteria_NZ_CP063373_1947_length_1212_cov_2.663786||full	0.553	0.273	0.553	dsDNAphage	1132	0	50.000	0.000
Bacteria_NZ_CP063373_1963_length_1202_cov_2.251962||full	0.853	0.120	0.853	dsDNAphage	1200	0	33.300	0.000
Bacteria_NZ_CP063373_2025_length_1165_cov_2.087387||full	0.740	0.120	0.740	dsDNAphage	1163	0	33.300	0.000
Bacteria_NZ_CP063373_2168_length_1088_cov_2.227493||full	0.587	0.153	0.587	dsDNAphage	1087	0	33.300	0.000
Bacteria_NZ_CP063373_2295_length_1028_cov_1.348407||full	0.920	0.713	0.920	dsDNAphage	926	0	50.000	0.000
Bacteria_NZ_CP063373_2300_length_1024_cov_3.506708||full	0.553	0.380	0.553	dsDNAphage	1005	0	33.300	0.000
