ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Bacteria_NZ_CP051189_615_length_2260_cov_2_432653,1,Viruses,Bacteria,2260
VIRSorter_Bacteria_NZ_CP054490_221_length_1671_cov_2_271658,1,Viruses,Bacteria,1671
VIRSorter_Bacteria_NZ_CP056200_25_length_5680_cov_3_242667,1,Viruses,Bacteria,5680
VIRSorter_Bacteria_NZ_CP056200_46_length_4889_cov_3_744311,1,Viruses,Bacteria,4889
VIRSorter_Bacteria_NZ_CP056269_287_length_5602_cov_4_710114,1,Viruses,Bacteria,5602
VIRSorter_Bacteria_NZ_CP056269_302_length_4817_cov_5_038849,1,Viruses,Bacteria,4817
VIRSorter_Bacteria_NZ_CP056269_43_length_24071_cov_4_340856,1,Viruses,Bacteria,24071
VIRSorter_Bacteria_NZ_CP056284_122_length_12083_cov_9_196541,1,Viruses,Bacteria,12083
VIRSorter_Bacteria_NZ_CP056284_124_length_11927_cov_4_588275,1,Viruses,Bacteria,11927
VIRSorter_Bacteria_NZ_CP056284_177_length_9263_cov_3_845460,1,Viruses,Bacteria,9263
VIRSorter_Bacteria_NZ_CP056284_210_length_8083_cov_8_050698,1,Viruses,Bacteria,8083
VIRSorter_Bacteria_NZ_CP056284_221_length_7728_cov_6_744559,1,Viruses,Bacteria,7728
VIRSorter_Bacteria_NZ_CP056284_268_length_6532_cov_4_188359,1,Viruses,Bacteria,6532
VIRSorter_Bacteria_NZ_CP056284_291_length_6014_cov_3_608659,1,Viruses,Bacteria,6014
VIRSorter_Bacteria_NZ_CP056284_303_length_5731_cov_3_134778,1,Viruses,Bacteria,5731
VIRSorter_Bacteria_NZ_CP056284_306_length_5630_cov_3_916592,1,Viruses,Bacteria,5630
VIRSorter_Bacteria_NZ_CP056284_327_length_5259_cov_4_053997,1,Viruses,Bacteria,5259
VIRSorter_Bacteria_NZ_CP056284_331_length_5206_cov_4_102116,1,Viruses,Bacteria,5206
VIRSorter_Bacteria_NZ_CP056284_452_length_2847_cov_4_223138,1,Viruses,Bacteria,2847
VIRSorter_Bacteria_NZ_CP056284_75_length_16361_cov_4_978229,1,Viruses,Bacteria,16361
VIRSorter_Bacteria_NZ_CP056899_223_length_4186_cov_2_803195,1,Viruses,Bacteria,4186
VIRSorter_Bacteria_NZ_CP056899_319_length_3556_cov_3_110254,1,Viruses,Bacteria,3556
VIRSorter_Bacteria_NZ_CP056899_404_length_3221_cov_1_813329,1,Viruses,Bacteria,3221
VIRSorter_Bacteria_NZ_CP056899_89_length_5802_cov_3_045415,1,Viruses,Bacteria,5802
VIRSorter_Bacteria_NZ_CP058556_400_length_5544_cov_3_034979,1,Viruses,Bacteria,5544
VIRSorter_Bacteria_NZ_CP058556_405_length_5502_cov_3_981641,1,Viruses,Bacteria,5502
VIRSorter_Bacteria_NZ_CP058556_688_length_3817_cov_2_637427,1,Viruses,Bacteria,3817
VIRSorter_Bacteria_NZ_CP058556_715_length_3687_cov_3_343612,1,Viruses,Bacteria,3687
VIRSorter_Bacteria_NZ_CP058556_790_length_3369_cov_3_825287,1,Viruses,Bacteria,3369
VIRSorter_Bacteria_NZ_CP060404_6_length_6211_cov_2_457927,1,Viruses,Bacteria,6211
VIRSorter_Phage_NC_047826_1_length_28610_cov_5_643950,1,Viruses,Phage,28610
VIRSorter_Phage_NC_047826_2_length_11508_cov_5_801886,1,Viruses,Phage,11508
VIRSorter_Phage_NC_047952_1_length_42924_cov_22_544263-circular,1,Viruses,Phage,42924
VIRSorter_Phage_NC_047967_1_length_15446_cov_94_311546,1,Viruses,Phage,15446
VIRSorter_Phage_NC_047967_2_length_9292_cov_101_065281,1,Viruses,Phage,9292
VIRSorter_Phage_NC_047967_5_length_2738_cov_100_508386,1,Viruses,Phage,2738
VIRSorter_Phage_NC_047974_1_length_53836_cov_14_348264,1,Viruses,Phage,53836
VIRSorter_Phage_NC_047997_1_length_40699_cov_140_701555-circular,1,Viruses,Phage,40699
