ID,Predicted_Label,Contig_Length,True_Label
Bacteria_NZ_CP030047_1_length_1368538_cov_20.202233,negative,1368538,Bacteria
Bacteria_NZ_CP030047_2_length_951071_cov_20.433586,negative,951071,Bacteria
Bacteria_NZ_CP030047_3_length_802127_cov_20.338310,negative,802127,Bacteria
Bacteria_NZ_CP030047_4_length_643709_cov_19.871560,negative,643709,Bacteria
Bacteria_NZ_CP030047_5_length_518993_cov_20.316300,negative,518993,Bacteria
Bacteria_NZ_CP030047_6_length_445074_cov_20.091470,negative,445074,Bacteria
Bacteria_NZ_CP030047_7_length_383055_cov_20.174462,negative,383055,Bacteria
Bacteria_NZ_CP030047_8_length_373885_cov_20.866094,negative,373885,Bacteria
Bacteria_NZ_CP030047_9_length_363407_cov_19.969294,negative,363407,Bacteria
Bacteria_NZ_CP030047_10_length_361822_cov_20.172465,negative,361822,Bacteria
Bacteria_NZ_CP030047_11_length_358912_cov_20.826591,negative,358912,Bacteria
Bacteria_NZ_CP030047_12_length_352219_cov_20.462029,negative,352219,Bacteria
Bacteria_NZ_CP030047_13_length_294216_cov_20.249013,negative,294216,Bacteria
Bacteria_NZ_CP030047_14_length_289496_cov_19.815911,negative,289496,Bacteria
Bacteria_NZ_CP030047_15_length_286447_cov_20.473774,negative,286447,Bacteria
Bacteria_NZ_CP030047_16_length_261759_cov_20.207001,negative,261759,Bacteria
Bacteria_NZ_CP030047_17_length_215781_cov_20.062088,negative,215781,Bacteria
Bacteria_NZ_CP030047_18_length_200196_cov_20.350348,negative,200196,Bacteria
Bacteria_NZ_CP030047_19_length_154632_cov_19.586601,negative,154632,Bacteria
Bacteria_NZ_CP030047_20_length_136749_cov_20.097107,negative,136749,Bacteria
Bacteria_NZ_CP030047_21_length_91941_cov_19.457839,negative,91941,Bacteria
Bacteria_NZ_CP030047_22_length_80691_cov_21.978781,negative,80691,Bacteria
Bacteria_NZ_CP030047_23_length_74842_cov_20.461417,negative,74842,Bacteria
Bacteria_NZ_CP030047_24_length_62423_cov_19.955474,negative,62423,Bacteria
Bacteria_NZ_CP030047_25_length_51723_cov_19.933847,negative,51723,Bacteria
Bacteria_NZ_CP030047_26_length_47525_cov_20.732399,negative,47525,Bacteria
Bacteria_NZ_CP030047_27_length_43682_cov_19.641781,negative,43682,Bacteria
Bacteria_NZ_CP030047_28_length_5612_cov_19.862156,negative,5612,Bacteria
Bacteria_NZ_CP030047_29_length_2746_cov_60.500929,negative,2746,Bacteria
Bacteria_NZ_CP030047_30_length_2241_cov_24.374657,negative,2241,Bacteria
Bacteria_NZ_CP030047_31_length_1666_cov_42.693358,negative,1666,Bacteria
Bacteria_NZ_CP030047_32_length_1051_cov_19.629518,negative,1051,Bacteria
Bacteria_NZ_CP040094_1_length_416780_cov_145.042328,negative,416780,Bacteria
Bacteria_NZ_CP040094_2_length_372814_cov_157.241735,negative,372814,Bacteria
Bacteria_NZ_CP040094_3_length_354158_cov_124.462120,negative,354158,Bacteria
Bacteria_NZ_CP040094_4_length_263910_cov_98.819223,negative,263910,Bacteria
Bacteria_NZ_CP040094_5_length_240727_cov_116.133917,negative,240727,Bacteria
Bacteria_NZ_CP040094_6_length_215264_cov_101.499798,negative,215264,Bacteria
Bacteria_NZ_CP040094_7_length_210648_cov_119.829178,negative,210648,Bacteria
Bacteria_NZ_CP040094_8_length_192877_cov_136.970190,negative,192877,Bacteria
Bacteria_NZ_CP040094_9_length_182100_cov_101.106474,negative,182100,Bacteria
Bacteria_NZ_CP040094_10_length_167923_cov_112.498183,negative,167923,Bacteria
Bacteria_NZ_CP040094_11_length_167106_cov_130.332030,negative,167106,Bacteria
Bacteria_NZ_CP040094_12_length_148426_cov_97.168692,negative,148426,Bacteria
Bacteria_NZ_CP040094_13_length_147132_cov_96.764375,negative,147132,Bacteria
Bacteria_NZ_CP040094_14_length_142119_cov_126.958125,negative,142119,Bacteria
Bacteria_NZ_CP040094_15_length_133770_cov_147.848185,negative,133770,Bacteria
Bacteria_NZ_CP040094_16_length_128041_cov_98.120787,negative,128041,Bacteria
Bacteria_NZ_CP040094_17_length_126962_cov_99.281387,negative,126962,Bacteria
Bacteria_NZ_CP040094_18_length_121614_cov_159.216167,negative,121614,Bacteria
Bacteria_NZ_CP040094_19_length_120594_cov_100.245000,negative,120594,Bacteria
Bacteria_NZ_CP040094_20_length_116060_cov_99.287496,negative,116060,Bacteria
Bacteria_NZ_CP040094_21_length_109851_cov_131.982850,negative,109851,Bacteria
Bacteria_NZ_CP040094_22_length_109528_cov_133.622272,negative,109528,Bacteria
Bacteria_NZ_CP040094_23_length_107882_cov_131.421518,negative,107882,Bacteria
Bacteria_NZ_CP040094_24_length_106335_cov_96.934691,negative,106335,Bacteria
Bacteria_NZ_CP040094_25_length_103001_cov_141.199376,negative,103001,Bacteria
Bacteria_NZ_CP040094_26_length_102010_cov_172.750753,negative,102010,Bacteria
Bacteria_NZ_CP040094_27_length_100658_cov_162.625478,negative,100658,Bacteria
Bacteria_NZ_CP040094_28_length_89328_cov_96.804387,negative,89328,Bacteria
Bacteria_NZ_CP040094_29_length_88626_cov_95.557541,negative,88626,Bacteria
Bacteria_NZ_CP040094_30_length_87689_cov_117.205799,negative,87689,Bacteria
Bacteria_NZ_CP040094_31_length_87170_cov_101.258348,negative,87170,Bacteria
Bacteria_NZ_CP040094_32_length_86779_cov_140.626378,negative,86779,Bacteria
Bacteria_NZ_CP040094_33_length_86300_cov_108.097571,negative,86300,Bacteria
Bacteria_NZ_CP040094_34_length_86031_cov_100.491474,negative,86031,Bacteria
Bacteria_NZ_CP040094_35_length_80692_cov_195.126096,negative,80692,Bacteria
Bacteria_NZ_CP040094_36_length_78682_cov_104.058402,negative,78682,Bacteria
Bacteria_NZ_CP040094_37_length_76410_cov_101.500963,negative,76410,Bacteria
Bacteria_NZ_CP040094_38_length_76360_cov_98.420929,negative,76360,Bacteria
Bacteria_NZ_CP040094_39_length_73394_cov_96.411132,negative,73394,Bacteria
Bacteria_NZ_CP040094_40_length_71581_cov_105.237075,negative,71581,Bacteria
Bacteria_NZ_CP040094_41_length_70229_cov_194.288982,negative,70229,Bacteria
Bacteria_NZ_CP040094_42_length_66992_cov_96.873000,negative,66992,Bacteria
Bacteria_NZ_CP040094_43_length_64018_cov_96.575849,negative,64018,Bacteria
Bacteria_NZ_CP040094_44_length_62577_cov_218.979159,negative,62577,Bacteria
Bacteria_NZ_CP040094_45_length_57440_cov_180.006117,negative,57440,Bacteria
