ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Bacteria_NZ_AP021972_103_length_2685_cov_2_021293,1,Viruses,Bacteria,2685
VIRSorter_Bacteria_NZ_AP021972_179_length_2311_cov_2_062057,1,Viruses,Bacteria,2311
VIRSorter_Bacteria_NZ_AP021972_27_length_4056_cov_3_172207,1,Viruses,Bacteria,4056
VIRSorter_Bacteria_NZ_AP021972_443_length_1618_cov_2_324376,1,Viruses,Bacteria,1618
VIRSorter_Bacteria_NZ_AP021972_46_length_3510_cov_2_103618,1,Viruses,Bacteria,3510
VIRSorter_Bacteria_NZ_AP021972_496_length_1546_cov_2_880617,1,Viruses,Bacteria,1546
VIRSorter_Bacteria_NZ_AP022189_331_length_3874_cov_3_049228,1,Viruses,Bacteria,3874
VIRSorter_Bacteria_NZ_AP022189_344_length_3755_cov_2_638108,1,Viruses,Bacteria,3755
VIRSorter_Bacteria_NZ_AP022189_390_length_3469_cov_3_115407,1,Viruses,Bacteria,3469
VIRSorter_Bacteria_NZ_AP022189_492_length_2958_cov_2_310369,1,Viruses,Bacteria,2958
VIRSorter_Bacteria_NZ_AP022189_591_length_2547_cov_2_169342,1,Viruses,Bacteria,2547
VIRSorter_Bacteria_NZ_AP022189_811_length_1879_cov_3_079496,1,Viruses,Bacteria,1879
VIRSorter_Bacteria_NZ_AP022189_84_length_6694_cov_3_173068,1,Viruses,Bacteria,6694
VIRSorter_Bacteria_NZ_AP022201_122_length_7085_cov_3_766856,1,Viruses,Bacteria,7085
VIRSorter_Bacteria_NZ_AP022201_198_length_5590_cov_3_151762,1,Viruses,Bacteria,5590
VIRSorter_Bacteria_NZ_AP022201_339_length_4220_cov_3_378151,1,Viruses,Bacteria,4220
VIRSorter_Bacteria_NZ_AP022201_455_length_3403_cov_3_744624,1,Viruses,Bacteria,3403
VIRSorter_Bacteria_NZ_AP022201_720_length_2228_cov_3_838932,1,Viruses,Bacteria,2228
VIRSorter_Bacteria_NZ_AP022201_764_length_2057_cov_2_571928,1,Viruses,Bacteria,2057
VIRSorter_Bacteria_NZ_AP022201_843_length_1785_cov_1_932370,1,Viruses,Bacteria,1785
VIRSorter_Bacteria_NZ_CP043571_343_length_4768_cov_2_885635,1,Viruses,Bacteria,4768
