ID,Confidence,Predicted,True_Label,Contig_Length
VIRSorter_Bacteria_NZ_AP021972_150_length_6429_cov_3_365548,1,Viruses,Bacteria,6429
VIRSorter_Bacteria_NZ_AP021972_158_length_6323_cov_3_389279,1,Viruses,Bacteria,6323
VIRSorter_Bacteria_NZ_AP021972_20_length_11136_cov_4_024366,1,Viruses,Bacteria,11136
VIRSorter_Bacteria_NZ_AP021972_302_length_4656_cov_3_195392,1,Viruses,Bacteria,4656
VIRSorter_Bacteria_NZ_AP021972_318_length_4531_cov_3_086238,1,Viruses,Bacteria,4531
VIRSorter_Bacteria_NZ_AP021972_358_length_4285_cov_3_139007,1,Viruses,Bacteria,4285
VIRSorter_Bacteria_NZ_AP021972_367_length_4155_cov_3_719024,1,Viruses,Bacteria,4155
VIRSorter_Bacteria_NZ_AP021972_469_length_3503_cov_1_918213,1,Viruses,Bacteria,3503
VIRSorter_Bacteria_NZ_AP021972_760_length_2202_cov_2_717746,1,Viruses,Bacteria,2202
VIRSorter_Bacteria_NZ_AP022020_134_length_7055_cov_3_647714,1,Viruses,Bacteria,7055
VIRSorter_Bacteria_NZ_AP022020_261_length_4959_cov_3_157626,1,Viruses,Bacteria,4959
VIRSorter_Bacteria_NZ_AP022020_347_length_4272_cov_2_774959,1,Viruses,Bacteria,4272
VIRSorter_Bacteria_NZ_AP022020_486_length_3319_cov_2_825674,1,Viruses,Bacteria,3319
VIRSorter_Bacteria_NZ_AP022020_497_length_3273_cov_2_244873,1,Viruses,Bacteria,3273
VIRSorter_Bacteria_NZ_AP022020_676_length_2503_cov_2_091503,1,Viruses,Bacteria,2503
VIRSorter_Bacteria_NZ_AP022020_695_length_2444_cov_2_219339,1,Viruses,Bacteria,2444
VIRSorter_Bacteria_NZ_AP022020_81_length_8164_cov_2_976199,1,Viruses,Bacteria,8164
VIRSorter_Bacteria_NZ_AP022057_427_length_3710_cov_4_327223,1,Viruses,Bacteria,3710
VIRSorter_Bacteria_NZ_AP022057_498_length_3255_cov_3_448750,1,Viruses,Bacteria,3255
VIRSorter_Bacteria_NZ_AP022189_13_length_13591_cov_3_015736,1,Viruses,Bacteria,13591
VIRSorter_Bacteria_NZ_AP022189_483_length_3469_cov_3_389279,1,Viruses,Bacteria,3469
VIRSorter_Bacteria_NZ_AP022189_534_length_3163_cov_3_175032,1,Viruses,Bacteria,3163
VIRSorter_Bacteria_NZ_AP022189_561_length_2961_cov_3_078114,1,Viruses,Bacteria,2961
VIRSorter_Bacteria_NZ_AP022189_69_length_8894_cov_3_338839,1,Viruses,Bacteria,8894
VIRSorter_Bacteria_NZ_AP022195_214_length_5684_cov_3_161308,1,Viruses,Bacteria,5684
VIRSorter_Bacteria_NZ_AP022195_284_length_4918_cov_2_815752,1,Viruses,Bacteria,4918
VIRSorter_Bacteria_NZ_AP022195_33_length_11548_cov_3_001392,1,Viruses,Bacteria,11548
VIRSorter_Bacteria_NZ_AP022195_545_length_2970_cov_3_188679,1,Viruses,Bacteria,2970
VIRSorter_Bacteria_NZ_AP022195_96_length_8105_cov_3_380497,1,Viruses,Bacteria,8105
VIRSorter_Bacteria_NZ_AP022201_129_length_7085_cov_3_766856,1,Viruses,Bacteria,7085
VIRSorter_Bacteria_NZ_AP022201_201_length_5808_cov_3_071615,1,Viruses,Bacteria,5808
VIRSorter_Bacteria_NZ_AP022201_455_length_3403_cov_3_744624,1,Viruses,Bacteria,3403
VIRSorter_Bacteria_NZ_AP022201_458_length_3389_cov_3_491302,1,Viruses,Bacteria,3389
VIRSorter_Bacteria_NZ_AP022201_751_length_2057_cov_2_776224,1,Viruses,Bacteria,2057
VIRSorter_Bacteria_NZ_AP022201_833_length_1785_cov_1_932370,1,Viruses,Bacteria,1785
VIRSorter_Bacteria_NZ_AP022256_136_length_7174_cov_3_142436,1,Viruses,Bacteria,7174
VIRSorter_Bacteria_NZ_AP022256_218_length_5657_cov_3_284898,1,Viruses,Bacteria,5657
VIRSorter_Bacteria_NZ_CP016180_54_length_3572_cov_9_067671,1,Viruses,Bacteria,3572
VIRSorter_Bacteria_NZ_CP034105_192_length_6919_cov_3_532197,1,Viruses,Bacteria,6919
VIRSorter_Bacteria_NZ_CP034105_398_length_3083_cov_5_201453,1,Viruses,Bacteria,3083
VIRSorter_Bacteria_NZ_CP043571_1017_length_1764_cov_2_251609,1,Viruses,Bacteria,1764
VIRSorter_Bacteria_NZ_CP043571_1098_length_1621_cov_2_512771,1,Viruses,Bacteria,1621
VIRSorter_Bacteria_NZ_CP043571_175_length_5369_cov_2_997554,1,Viruses,Bacteria,5369
VIRSorter_Bacteria_NZ_CP043571_293_length_4339_cov_2_704482,1,Viruses,Bacteria,4339
VIRSorter_Bacteria_NZ_CP043571_333_length_4072_cov_2_548170,1,Viruses,Bacteria,4072
VIRSorter_Bacteria_NZ_CP043571_954_length_1890_cov_3_383651,1,Viruses,Bacteria,1890
VIRSorter_Bacteria_NZ_CP044546_588_length_2704_cov_2_388071,1,Viruses,Bacteria,2704
VIRSorter_Bacteria_NZ_CP045553_78_length_6244_cov_2_085636,1,Viruses,Bacteria,6244
VIRSorter_Bacteria_NZ_CP045554_149_length_5602_cov_3_166036,1,Viruses,Bacteria,5602
VIRSorter_Bacteria_NZ_CP045554_169_length_5234_cov_2_566132,1,Viruses,Bacteria,5234
VIRSorter_Bacteria_NZ_CP045554_290_length_4194_cov_3_349601,1,Viruses,Bacteria,4194
VIRSorter_Bacteria_NZ_CP045554_345_length_3802_cov_3_164131,1,Viruses,Bacteria,3802
VIRSorter_Bacteria_NZ_CP045554_667_length_2603_cov_2_954474,1,Viruses,Bacteria,2603
VIRSorter_Bacteria_NZ_CP045554_875_length_2014_cov_2_351200,1,Viruses,Bacteria,2014
VIRSorter_Bacteria_NZ_CP045702_76_length_4404_cov_3_406070,1,Viruses,Bacteria,4404
VIRSorter_Bacteria_NZ_CP048810_435_length_2996_cov_2_309419,1,Viruses,Bacteria,2996
VIRSorter_Bacteria_NZ_CP048810_748_length_2264_cov_2_574015,1,Viruses,Bacteria,2264
VIRSorter_Bacteria_NZ_CP048833_345_length_3407_cov_2_729117,1,Viruses,Bacteria,3407
VIRSorter_Bacteria_NZ_CP051218_102_length_7490_cov_3_177001,1,Viruses,Bacteria,7490
VIRSorter_Bacteria_NZ_CP051218_121_length_7025_cov_3_204448,1,Viruses,Bacteria,7025
VIRSorter_Bacteria_NZ_CP051218_193_length_5743_cov_3_224508,1,Viruses,Bacteria,5743
VIRSorter_Bacteria_NZ_CP051218_253_length_5126_cov_3_051666,1,Viruses,Bacteria,5126
VIRSorter_Bacteria_NZ_CP051218_28_length_10788_cov_4_281003,1,Viruses,Bacteria,10788
VIRSorter_Bacteria_NZ_CP051218_742_length_2201_cov_3_420783,1,Viruses,Bacteria,2201
VIRSorter_Bacteria_NZ_CP051857_167_length_5235_cov_2_734556,1,Viruses,Bacteria,5235
VIRSorter_Bacteria_NZ_CP051857_237_length_4566_cov_3_325427,1,Viruses,Bacteria,4566
VIRSorter_Bacteria_NZ_CP053609_161_length_4556_cov_4_390358,1,Viruses,Bacteria,4556
VIRSorter_Bacteria_NZ_CP053688_111_length_6807_cov_3_892624,1,Viruses,Bacteria,6807
VIRSorter_Bacteria_NZ_CP053688_212_length_5388_cov_3_331333,1,Viruses,Bacteria,5388
VIRSorter_Bacteria_NZ_CP053746_472_length_3328_cov_4_400550,1,Viruses,Bacteria,3328
VIRSorter_Bacteria_NZ_CP053928_278_length_5029_cov_3_203458,1,Viruses,Bacteria,5029
VIRSorter_Bacteria_NZ_CP054128_668_length_2536_cov_2_253124,1,Viruses,Bacteria,2536
VIRSorter_Bacteria_NZ_CP054205_129_length_5672_cov_2_910985,1,Viruses,Bacteria,5672
