ID,True_Label,Contig_Length,Assigned_TaxID,Predicted_Label
Bacteria_NZ_AP023239_1_length_123260_cov_5.664543,Bacteria,123260,1268072,Bacteria
Bacteria_NZ_AP023239_2_length_83250_cov_5.647479,Bacteria,83250,1268072,Bacteria
Bacteria_NZ_AP023239_3_length_73209_cov_5.376657,Bacteria,73209,1268072,Bacteria
Bacteria_NZ_AP023239_6_length_60373_cov_6.052041,Bacteria,60373,1268072,Bacteria
Bacteria_NZ_AP023239_7_length_59072_cov_6.359422,Bacteria,59072,1268072,Bacteria
Bacteria_NZ_AP023239_9_length_54456_cov_5.605265,Bacteria,54456,1268072,Bacteria
Bacteria_NZ_AP023239_10_length_53966_cov_5.781380,Bacteria,53966,1268072,Bacteria
Bacteria_NZ_AP023239_12_length_51707_cov_5.581972,Bacteria,51707,1268072,Bacteria
Bacteria_NZ_AP023239_13_length_51197_cov_5.896328,Bacteria,51197,1268072,Bacteria
Bacteria_NZ_AP023239_14_length_50448_cov_5.557339,Bacteria,50448,1268072,Bacteria
Bacteria_NZ_AP023239_16_length_47708_cov_5.545359,Bacteria,47708,1268072,Bacteria
Bacteria_NZ_AP023239_17_length_46858_cov_6.210093,Bacteria,46858,1268072,Bacteria
Bacteria_NZ_AP023239_18_length_45944_cov_5.625488,Bacteria,45944,1268072,Bacteria
Bacteria_NZ_AP023239_19_length_45703_cov_5.699834,Bacteria,45703,1268072,Bacteria
Bacteria_NZ_AP023239_20_length_45594_cov_6.019610,Bacteria,45594,1268072,Bacteria
Bacteria_NZ_AP023239_21_length_45186_cov_5.668986,Bacteria,45186,1268072,Bacteria
Bacteria_NZ_AP023239_22_length_44895_cov_5.810169,Bacteria,44895,1268072,Bacteria
Bacteria_NZ_AP023239_23_length_44080_cov_5.134787,Bacteria,44080,1268072,Bacteria
Bacteria_NZ_AP023239_24_length_43041_cov_6.203066,Bacteria,43041,1268072,Bacteria
Bacteria_NZ_AP023239_25_length_42969_cov_5.436384,Bacteria,42969,1268072,Bacteria
Bacteria_NZ_AP023239_26_length_42958_cov_7.369625,Bacteria,42958,1268072,Bacteria
Bacteria_NZ_AP023239_27_length_42130_cov_6.867950,Bacteria,42130,1268072,Bacteria
Bacteria_NZ_AP023239_28_length_41791_cov_5.475249,Bacteria,41791,1268072,Bacteria
Bacteria_NZ_AP023239_29_length_41293_cov_5.448979,Bacteria,41293,1268072,Bacteria
Bacteria_NZ_AP023239_30_length_40154_cov_5.617372,Bacteria,40154,1268072,Bacteria
Bacteria_NZ_AP023239_31_length_40078_cov_6.503760,Bacteria,40078,1268072,Bacteria
Bacteria_NZ_AP023239_33_length_39096_cov_5.807766,Bacteria,39096,1268072,Bacteria
Bacteria_NZ_AP023239_34_length_39062_cov_5.429666,Bacteria,39062,1268072,Bacteria
Bacteria_NZ_AP023239_35_length_37981_cov_5.098587,Bacteria,37981,1268072,Bacteria
Bacteria_NZ_AP023239_36_length_36933_cov_5.374451,Bacteria,36933,1268072,Bacteria
